authority_group,authority_ok,authority_violations,average_delay_per_completed_vehicle_h,centralized,completed_vehicles,computation_time_sec,controller_id,free_flow_reference_freeway_ttt,free_flow_reference_total_ttt,free_flow_reference_urban_ttt,freeway_delay,freeway_ttt,leader_enabled,network_throughput_veh_h,scenario,seed,solver_converged_rate,solver_evaluations,terminal_freeway_vehicles,terminal_onramp_vehicles,terminal_total_vehicles,terminal_urban_vehicles,total_delay,total_ttt,urban_delay,urban_ttt
proposed,True,,0.019168,True,17197.8,526.79,PROPOSED-CENTRALIZED,115.583,652.349,536.765,73.52,189.104,False,8598.9,low_demand,42,0.925,3200.0,75.9,83.6,457.7,373.7,329.642,981.991,256.122,792.887
wu,True,,0.232422,False,17711.7,0.01,WU-CD-F,156.856,872.543,715.687,2028.097,2184.953,False,8855.8,medium_demand,42,1.0,1640.0,1090.3,4252.2,6112.3,4302.0,4116.591,4989.135,2088.494,2804.182
wu,True,,0.232422,False,17711.7,60.78,WU-MATCHED-STACKELBERG,156.856,872.543,715.687,2028.097,2184.953,True,8855.8,medium_demand,42,1.0,15840.0,1090.3,4252.2,6112.3,4302.0,4116.591,4989.135,2088.494,2804.182
wu,True,,0.04291,True,22655.4,551.5,WU-CC-F,156.856,872.543,715.687,158.964,315.82,False,11327.7,medium_demand,42,0.95,3200.0,149.1,621.2,1168.6,1014.9,972.148,1844.692,813.184,1528.871
proposed,True,,0.265288,False,17382.7,23.46,PROPOSED-FOLLOWERS-ONLY,156.856,872.543,715.687,1979.76,2136.617,False,8691.4,medium_demand,42,1.0,1716.0,1088.4,4392.3,6441.3,4632.9,4611.423,5483.966,2631.662,3347.349
proposed,True,,0.105597,False,21433.5,500.81,PROPOSED-STACKELBERG,156.856,872.543,715.687,109.652,266.508,True,10716.7,medium_demand,42,1.0,39760.0,109.2,1609.4,2390.5,2265.8,2263.312,3135.855,2153.66,2869.347
proposed,True,,0.101386,True,21369.4,519.48,PROPOSED-CENTRALIZED,156.856,872.543,715.687,90.313,247.169,False,10684.7,medium_demand,42,0.975,3200.0,105.0,1965.1,2454.6,2343.2,2166.56,3039.103,2076.247,2791.934
wu,True,,0.710562,False,20724.5,0.02,WU-CD-F,233.618,1334.824,1101.206,4018.251,4251.869,False,10362.2,oversaturated_demand,42,1.0,1640.0,1578.5,10938.0,15569.7,13271.2,14726.029,16060.854,10707.778,11808.984
wu,True,,0.710303,False,20727.4,60.89,WU-MATCHED-STACKELBERG,233.618,1334.824,1101.206,4018.251,4251.869,True,10363.7,oversaturated_demand,42,1.0,15840.0,1578.5,10938.5,15566.8,13268.3,14722.691,16057.515,10704.44,11805.646
wu,True,,0.628423,True,22001.4,548.2,WU-CC-F,233.618,1334.824,1101.206,3801.967,4035.585,False,11000.7,oversaturated_demand,42,0.925,3200.0,1578.4,10973.0,14292.7,11994.3,13826.195,15161.02,10024.228,11125.435
proposed,True,,0.715139,False,21064.6,22.7,PROPOSED-FOLLOWERS-ONLY,233.618,1334.824,1101.206,3879.105,4112.723,False,10532.3,oversaturated_demand,42,1.0,770.0,1578.4,10825.8,15229.5,12931.1,15064.115,16398.94,11185.01,12286.216
proposed,True,,0.491087,False,23781.2,498.02,PROPOSED-STACKELBERG,233.618,1334.824,1101.206,107.237,340.855,True,11890.6,oversaturated_demand,42,1.0,41344.0,149.2,8052.1,12513.0,12341.1,11678.621,13013.445,11571.384,12672.59
proposed,True,,0.354332,True,26296.0,517.83,PROPOSED-CENTRALIZED,233.618,1334.824,1101.206,112.162,345.78,False,13148.0,oversaturated_demand,42,0.875,3200.0,162.8,7783.1,9998.1,9826.3,9317.524,10652.348,9205.362,10306.568
wu,True,,0.559503,False,18184.2,0.01,WU-CD-F,190.286,1080.841,890.555,3380.073,3570.359,False,9092.1,peak_demand,123,1.0,1640.0,1306.3,8098.1,11148.2,9121.9,10174.125,11254.966,6794.052,7684.607
wu,True,,0.559124,False,18192.1,57.92,WU-MATCHED-STACKELBERG,190.286,1080.841,890.555,3380.073,3570.359,True,9096.0,peak_demand,123,1.0,15840.0,1306.3,8098.9,11140.3,9114.0,10171.63,11252.471,6791.557,7682.112
wu,True,,0.37251,True,20054.3,535.61,WU-CC-F,190.286,1080.841,890.555,2410.196,2600.482,False,10027.1,peak_demand,123,0.9,3200.0,1305.5,6973.7,9278.1,7252.6,7470.416,8551.257,5060.22,5950.775
proposed,True,,0.542684,False,18474.6,23.3,PROPOSED-FOLLOWERS-ONLY,190.286,1080.841,890.555,3162.244,3352.53,False,9237.3,peak_demand,123,1.0,1001.0,1306.3,7792.2,10857.8,8831.5,10025.887,11106.727,6863.643,7754.197
proposed,True,,0.244756,False,23234.4,498.86,PROPOSED-STACKELBERG,190.286,1080.841,890.555,116.169,306.455,True,11617.2,peak_demand,123,1.0,41696.0,135.5,3969.7,6098.1,5949.1,5686.758,6767.598,5570.589,6461.143
proposed,True,,0.171404,True,24715.5,514.81,PROPOSED-CENTRALIZED,190.286,1080.841,890.555,126.287,316.574,False,12357.8,peak_demand,123,0.875,3200.0,127.3,3916.1,4616.9,4479.9,4236.349,5317.19,4110.062,5000.616
wu,True,,0.559503,False,18184.2,0.01,WU-CD-F,190.286,1080.841,890.555,3380.073,3570.359,False,9092.1,peak_demand,42,1.0,1640.0,1306.3,8098.1,11148.2,9121.9,10174.125,11254.966,6794.052,7684.607
wu,True,,0.559124,False,18192.1,61.06,WU-MATCHED-STACKELBERG,190.286,1080.841,890.555,3380.073,3570.359,True,9096.0,peak_demand,42,1.0,15840.0,1306.3,8098.9,11140.3,9114.0,10171.63,11252.471,6791.557,7682.112
wu,True,,0.374511,True,20033.1,548.17,WU-CC-F,190.286,1080.841,890.555,2427.524,2617.81,False,10016.5,peak_demand,42,1.0,3200.0,1305.5,6988.6,9299.3,7273.8,7502.605,8583.445,5075.081,5965.635
proposed,True,,0.548122,False,18382.8,23.31,PROPOSED-FOLLOWERS-ONLY,190.286,1080.841,890.555,3193.114,3383.4,False,9191.4,peak_demand,42,1.0,1012.0,1306.3,7871.0,10949.7,8923.4,10075.999,11156.84,6882.886,7773.44
proposed,True,,0.231646,False,23312.5,503.22,PROPOSED-STACKELBERG,190.286,1080.841,890.555,112.536,302.822,True,11656.2,peak_demand,42,1.0,40816.0,114.9,4042.9,6020.0,5896.0,5400.229,6481.07,5287.693,6178.248
proposed,True,,0.172794,True,24702.5,521.32,PROPOSED-CENTRALIZED,190.286,1080.841,890.555,124.688,314.974,False,12351.2,peak_demand,42,0.95,3200.0,126.8,3911.4,4630.0,4496.0,4268.434,5349.275,4143.746,5034.301
wu,True,,0.559503,False,18184.2,0.02,WU-CD-F,190.286,1080.841,890.555,3380.073,3570.359,False,9092.1,peak_demand,7,1.0,1640.0,1306.3,8098.1,11148.2,9121.9,10174.125,11254.966,6794.052,7684.607
wu,True,,0.559124,False,18192.1,56.57,WU-MATCHED-STACKELBERG,190.286,1080.841,890.555,3380.073,3570.359,True,9096.0,peak_demand,7,1.0,15840.0,1306.3,8098.9,11140.3,9114.0,10171.63,11252.471,6791.557,7682.112
wu,True,,0.373378,True,20045.3,520.07,WU-CC-F,190.286,1080.841,890.555,2419.373,2609.659,False,10022.6,peak_demand,7,0.95,3200.0,1305.5,6979.6,9287.2,7261.7,7484.462,8565.303,5065.089,5955.644
proposed,True,,0.546914,False,18413.6,23.11,PROPOSED-FOLLOWERS-ONLY,190.286,1080.841,890.555,3200.582,3390.868,False,9206.8,peak_demand,7,1.0,1001.0,1306.3,7871.5,10918.8,8892.5,10070.683,11151.524,6870.102,7760.656
proposed,True,,0.244324,False,23185.6,490.92,PROPOSED-STACKELBERG,190.286,1080.841,890.555,116.67,306.956,True,11592.8,peak_demand,7,1.0,40640.0,139.6,4018.9,6146.8,5994.5,5664.811,6745.651,5548.141,6438.696
proposed,True,,0.17132,True,24722.5,503.54,PROPOSED-CENTRALIZED,190.286,1080.841,890.555,126.768,317.054,False,12361.2,peak_demand,7,0.925,3200.0,127.5,3943.7,4609.9,4472.8,4235.455,5316.296,4108.687,4999.242
