controller_id,mean_computation_time_sec,mean_network_throughput_veh_h,mean_total_delay,mean_total_ttt,n_runs
WU-CD-F,0.01,9139.63,8464.85,9485.07,7
WU-MATCHED-STACKELBERG,59.54,9142.47,8462.74,9482.96,7
WU-CC-F,541.89,10148.63,6258.99,7279.21,7
PROPOSED-FOLLOWERS-ONLY,23.22,9199.77,8539.51,9559.73,7
PROPOSED-STACKELBERG,498.66,11078.51,5184.75,6204.96,7
PROPOSED-CENTRALIZED,517.08,11651.14,4072.46,5092.67,7
