computation_time_sec,coordination_iterations,coupling_residual,leader_candidate_count,solver_converged,solver_evaluations,step
0.004732499997771811,1.0,0.0,0.0,1.0,11.0,0
0.005719900000258349,1.0,0.0,0.0,1.0,11.0,1
0.005598499999905471,1.0,0.0,0.0,1.0,11.0,2
0.0055122999983723275,1.0,0.0,0.0,1.0,11.0,3
0.0063675000055809505,1.0,0.0,0.0,1.0,11.0,4
0.005494099998031743,1.0,0.0,0.0,1.0,11.0,5
0.005222200001298916,1.0,0.0,0.0,1.0,11.0,6
0.005838099998072721,1.0,0.0,0.0,1.0,11.0,7
0.005652700005157385,1.0,0.0,0.0,1.0,11.0,8
0.005784799999673851,1.0,0.0,0.0,1.0,11.0,9
