ablation,freeway_ttt,total_ttt,urban_ttt
FIXED_ALL_COUPLING_PLAYERS,992.137,7970.147,6978.01
FIXED_FREEWAY_COUPLING_PLAYERS,294.297,6819.385,6525.087
FIXED_URBAN_COUPLING_PLAYERS,459.211,7183.261,6724.05
FULL_COUPLING,302.822,6481.07,6178.248
LOCAL_ONLY_COUPLING_PLAYERS,361.874,6687.251,6325.377
NO_CROSS_NETWORK_INFO,361.874,6687.251,6325.377
NO_F_TO_U_INFO,304.059,6485.452,6181.393
NO_U_TO_F_INFO,365.576,6864.976,6499.4
