metric,value
Value_U_to_F_given_F_to_U,383.906
Value_F_to_U_given_U_to_F,4.382
Phi_U_to_F,292.852
Phi_F_to_U,-86.671
UrbanCouplingPlayerValue,702.191
FreewayCouplingPlayerValue,338.314
AllCouplingPlayersValue,1489.077
