N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_b2_price_A,wu_b2_price_B,wu_b2_price_C,wu_b2_price_D,wu_b2_price_F,wu_b2_price_delta_sec,wu_b2_price_enabled,wu_b2_price_ref_A,wu_b2_price_ref_B,wu_b2_price_ref_C,wu_b2_price_ref_D,wu_b2_price_ref_F,wu_b2_price_refresh_count,wu_b2_price_refreshed,wu_b2_price_trust_sec,wu_b3_cliff_both_FW_E,wu_b3_cliff_both_FW_W,wu_b3_meter_fd3_R_D_E_base,wu_b3_meter_fd3_R_D_E_cliffup,wu_b3_meter_fd3_R_D_E_curv,wu_b3_meter_fd3_R_D_E_hi,wu_b3_meter_fd3_R_D_E_lo,wu_b3_meter_fd3_R_D_E_nonlin,wu_b3_meter_fd3_R_D_W_base,wu_b3_meter_fd3_R_D_W_cliffup,wu_b3_meter_fd3_R_D_W_curv,wu_b3_meter_fd3_R_D_W_hi,wu_b3_meter_fd3_R_D_W_lo,wu_b3_meter_fd3_R_D_W_nonlin,wu_b3_meter_fd3_R_F_E_base,wu_b3_meter_fd3_R_F_E_cliffup,wu_b3_meter_fd3_R_F_E_curv,wu_b3_meter_fd3_R_F_E_hi,wu_b3_meter_fd3_R_F_E_lo,wu_b3_meter_fd3_R_F_E_nonlin,wu_b3_meter_fd3_R_F_W_base,wu_b3_meter_fd3_R_F_W_cliffup,wu_b3_meter_fd3_R_F_W_curv,wu_b3_meter_fd3_R_F_W_hi,wu_b3_meter_fd3_R_F_W_lo,wu_b3_meter_fd3_R_F_W_nonlin,wu_b3_meter_price_R_D_E,wu_b3_meter_price_R_D_W,wu_b3_meter_price_R_F_E,wu_b3_meter_price_R_F_W,wu_b3_meter_price_enabled,wu_b3_meter_price_ref_R_D_E,wu_b3_meter_price_ref_R_D_W,wu_b3_meter_price_ref_R_F_E,wu_b3_meter_price_ref_R_F_W,wu_b3_release_ratio_FW_E,wu_b3_release_ratio_FW_W,wu_b3_release_refresh,wu_b3_vsl_price_FW_E__seg0,wu_b3_vsl_price_FW_E__seg1,wu_b3_vsl_price_FW_E__seg2,wu_b3_vsl_price_FW_E__seg3,wu_b3_vsl_price_FW_E__seg4,wu_b3_vsl_price_FW_E__seg5,wu_b3_vsl_price_FW_E__seg6,wu_b3_vsl_price_FW_E__seg7,wu_b3_vsl_price_FW_W__seg0,wu_b3_vsl_price_FW_W__seg1,wu_b3_vsl_price_FW_W__seg2,wu_b3_vsl_price_FW_W__seg3,wu_b3_vsl_price_FW_W__seg4,wu_b3_vsl_price_FW_W__seg5,wu_b3_vsl_price_FW_W__seg6,wu_b3_vsl_price_FW_W__seg7,wu_b3_vsl_price_enabled,wu_b3_vsl_price_ref_FW_E__seg0,wu_b3_vsl_price_ref_FW_E__seg1,wu_b3_vsl_price_ref_FW_E__seg2,wu_b3_vsl_price_ref_FW_E__seg3,wu_b3_vsl_price_ref_FW_E__seg4,wu_b3_vsl_price_ref_FW_E__seg5,wu_b3_vsl_price_ref_FW_E__seg6,wu_b3_vsl_price_ref_FW_E__seg7,wu_b3_vsl_price_ref_FW_W__seg0,wu_b3_vsl_price_ref_FW_W__seg1,wu_b3_vsl_price_ref_FW_W__seg2,wu_b3_vsl_price_ref_FW_W__seg3,wu_b3_vsl_price_ref_FW_W__seg4,wu_b3_vsl_price_ref_FW_W__seg5,wu_b3_vsl_price_ref_FW_W__seg6,wu_b3_vsl_price_ref_FW_W__seg7,wu_b4_barrier_enabled,wu_faithful_active,wu_faithful_np_bias_ratio,wu_faithful_np_cand_lambda,wu_faithful_np_cand_lambda_applied,wu_faithful_np_feasible_max,wu_faithful_np_feasible_max_veh,wu_faithful_np_feasible_min,wu_faithful_np_feasible_min_veh,wu_faithful_np_original_target,wu_faithful_np_original_target_veh,wu_faithful_np_pd_exit,wu_faithful_np_pd_iters,wu_faithful_np_pd_lam_entry,wu_faithful_np_pd_residual,wu_faithful_np_predictor_current_interval,wu_faithful_np_predictor_legacy,wu_faithful_np_predictor_mode_code,wu_faithful_np_predictor_phase_substep,wu_faithful_np_predictor_storage_aware,wu_faithful_np_projected_target,wu_faithful_np_projected_target_veh,wu_faithful_np_projection_residual,wu_faithful_np_realized_sum_nin_veh,wu_faithful_np_sum_nin,wu_faithful_np_target,wu_faithful_np_target_error,wu_seg13_active,wu_seg13_budget_FW_E,wu_seg13_budget_FW_W,wu_seg13_evals_FW_E,wu_seg13_evals_FW_W,wu_seg13_floor_alpha_FW_E,wu_seg13_floor_alpha_FW_W,wu_seg13_floor_cong_FW_E,wu_seg13_floor_cong_FW_W,wu_seg13_meter_box_edge_FW_E,wu_seg13_meter_box_edge_FW_W,wu_seg13_meter_box_r_FW_E,wu_seg13_meter_box_r_FW_W,wu_seg13_meter_box_total_FW_E,wu_seg13_meter_box_total_FW_W,wu_seg13_postsplit_FW_E,wu_seg13_postsplit_FW_W,wu_seg13_presplit_FW_E,wu_seg13_presplit_FW_W,wu_seg13_traj_used_FW_E,wu_seg13_traj_used_FW_W,wu_seg13_vsl_box_r_FW_E,wu_seg13_vsl_box_r_FW_W
0.0,0.0,1.1299998732283711e-05,0.0,0.0,0.0,0.0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.1299998732283711e-05,0.0,0.0,0.0,0.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.3299999409355223e-05,0.0,0.0,0.0,0.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.3699987903237343e-05,0.0,0.0,0.0,0.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.3900003978051245e-05,0.0,0.0,0.0,0.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.4300007023848593e-05,0.0,0.0,0.0,0.0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438.68187163913217,6000.0,87.54809079998813,75.0,9.0,0.0,234.0,20,-0.008302510421244524,-0.034947871519006954,-0.019982492792651442,-0.0384452339450833,-0.10812194391289649,6.0,1.0,56.0,56.0,56.0,56.0,56.0,1.0,1.0,6.0,0.0,0.0,203.50598325231005,0.0,1.0207490103328496,203.50598325231005,204.5267322626429,0.0,203.50598325231005,0.0,0.6844871159555623,203.50598325231005,204.1904703682656,0.0,203.50598325231005,0.0,1.5967533371452873,203.50598325231005,205.10273658945533,0.0,203.50598325231005,0.0,1.4224565237359457,203.50598325231005,204.928439776046,0.0,-0.0034024967011094987,-0.0022816237198518743,-0.005322511123817625,-0.004741521745786486,1.0,1500.0,1500.0,1500.0,1500.0,,,0.0,0.06021242925078818,0.060871785384049026,0.06151790854680579,0.061808551733313524,0.06224197257758686,0.061972622765789076,0.06145785903712761,0.05999975193918576,0.05591545674778873,0.05652165567309941,0.05710172808623524,0.05741302014685106,0.057804688387200896,0.057620619505639147,0.05711378019974287,0.05569289667070842,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,438.68187163913217,0.0,438.68187163913217,1.0,,,24.0,24.0,,,,,2.0,2.0,300.0,300.0,2.0,2.0,,,,,,,10.0,10.0
560.401107082763,6000.0,72.24436310000601,49.0,5.0,0.0,567.0,21,-0.0046929134997085176,-0.046730193146652735,-0.024624333031726175,-0.06311006398806059,0.17104842301570483,6.0,1.0,56.0,56.0,56.0,56.0,62.0,2.0,1.0,6.0,0.0,0.0,239.38218541373894,0.0,0.02832553640024571,239.38218541373894,239.35385987733872,0.0,239.38218541373894,0.0,0.004258439541160897,239.38218541373894,239.38644385328007,0.0,239.38218541373894,0.0,0.045808019965704716,239.38218541373894,239.3363773937732,0.0,239.38218541373894,0.0,0.0244984685987788,239.38218541373894,239.40668388233775,0.0,9.441845466739097e-05,-1.4194798470441583e-05,0.00015269339988577713,-8.166156199602408e-05,1.0,1500.0,1500.0,1500.0,1500.0,,,0.0,0.10570316468098788,0.11143619667488239,0.11118747292674946,0.10867132660751544,0.10890059641593997,0.1087168037598131,0.10881616970534971,0.09993703127122248,0.10191580223256641,0.10289307582935124,0.10304218270195324,0.10405015732447342,0.1041729699166959,0.100757255774454,0.10081838540497028,0.10067182910420804,1.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,560.401107082763,0.0,560.401107082763,1.0,,,24.0,24.0,,,,,2.0,2.0,300.0,300.0,2.0,2.0,,,,,1.0,1.0,10.0,10.0
736.5135909697975,5933.641476216564,73.44200510000519,49.0,5.0,1.0,260.0,22,0.0164433373598748,-0.0653063209567402,-0.0012541469727369945,-0.07063763622786981,-0.22358805217123476,6.0,1.0,56.0,56.0,56.0,56.0,56.0,3.0,1.0,6.0,0.0,0.0,270.7312425517876,0.0,0.36301928892339674,270.7312425517876,271.094261840711,0.0,270.7312425517876,0.0,0.12567320108962576,270.7312425517876,270.85691575287717,0.0,270.7312425517876,0.0,0.5618734417026872,270.7312425517876,271.29311599349023,0.0,270.7312425517876,0.0,0.29655896488623057,270.7312425517876,271.0278015166739,0.0,-0.0012100642964113224,-0.00041891067029856306,-0.001872911472342101,-0.0009885298829542914,1.0,1500.0,1500.0,1500.0,1500.0,1.0,1.0,0.0,-0.006736611214369147,-0.007726205113944753,-0.0002849792275871014,-0.004813098543459304,0.0013851239326809761,-0.004048174997573283,-0.0046499019209541356,0.1,0.09856223165942808,-0.01470486290877986,-0.01707266868772308,0.0019337223719743338,-0.0006126716389699641,0.09999776367962987,0.1,0.1,1.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,100.0,100.0,90.0,90.0,90.0,90.0,100.0,100.0,100.0,0.0,1.0,1.0,0.0,1.0,912.5859174248146,736.5135909697975,575.0028053551512,736.5135909697975,736.5135909697975,736.5135909697975,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,736.5135909697975,736.5135909697975,0.0,736.5135909697975,736.5135909697975,736.5135909697975,0.0,1.0,2933.6414762165646,3000.0,35.0,30.0,,0.0,,0.43831335872149463,2.0,2.0,300.0,300.0,2.0,2.0,2933.6414762165646,3000.0,3000.0,3000.0,,,10.0,10.0
844.8004588659853,6000.0,85.99208130000625,49.0,5.0,0.0,663.0,23,0.019242427548019227,-0.030357510961623202,0.0032716537317489455,0.04818175235635615,0.0846481798078346,6.0,1.0,56.0,56.0,56.0,56.0,62.0,4.0,1.0,6.0,0.0,0.0,292.75510280158915,0.0,1.2012530060922018,291.6314883595535,292.6774642375326,1.0,292.75510280158915,0.0,0.21279641677733707,292.75510280158915,292.9678992183665,0.0,292.75510280158915,0.0,0.03399125621240273,293.262353956462,292.28184290292876,0.0,292.75510280158915,0.0,1.276029218065105,292.75510280158915,294.0311320196543,0.0,-0.0031393786997434923,-0.0007093213892577902,0.00294289340808942,-0.004253430726883872,1.0,1466.8207381082823,1500.0,1466.8207381082823,1500.0,,,0.0,0.049635139714818345,0.042463916128738254,0.0009802009300830857,-0.006700610369062155,-4.527173450696864e-06,0.0,0.0,0.0,0.09911048002283386,-0.018326158232865274,-0.0062762876732843885,0.01494261792701188,0.006520879138538405,0.1,0.0,0.0,1.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,100.0,90.0,90.0,90.0,90.0,100.0,90.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,844.8004588659853,0.0,844.8004588659853,1.0,,,42.0,32.0,,,,,2.0,2.0,300.0,300.0,2.0,2.0,,,,,1.0,1.0,10.0,10.0
