computation_time_sec,coordination_iterations,coupling_residual,leader_candidate_count,leader_objective,solver_converged,solver_evaluations,step
1.4315930000011576,1.0,0.0,9.0,3570.805074709091,1.0,396.0,0
1.4650082999978622,1.0,0.0,9.0,5412.900714996376,1.0,396.0,1
1.4697859000007156,1.0,0.0,9.0,7351.336928859063,1.0,396.0,2
1.5022112999977253,1.0,0.0,9.0,9112.258043829044,1.0,396.0,3
1.472022800000559,1.0,0.0,9.0,10576.123730437499,1.0,396.0,4
1.4663469000006444,1.0,0.0,9.0,12042.381615153528,1.0,396.0,5
1.519143299999996,1.0,0.0,9.0,13410.541147188073,1.0,396.0,6
1.4946365999967384,1.0,0.0,9.0,14829.815079232418,1.0,396.0,7
1.4942737000019406,1.0,0.0,9.0,16131.990652718485,1.0,396.0,8
1.5033103999994637,1.0,0.0,9.0,17493.606408854972,1.0,396.0,9
1.5963971999990463,1.0,0.0,9.0,18746.914387892964,1.0,396.0,10
1.5583184999995865,1.0,0.0,9.0,20055.58899125084,1.0,396.0,11
1.4617887000022165,1.0,0.0,9.0,21304.52905680273,1.0,396.0,12
1.4678573000019242,1.0,0.0,9.0,22574.8709314238,1.0,396.0,13
1.4822696000010183,1.0,0.0,9.0,23797.79183519761,1.0,396.0,14
1.50986550000016,1.0,0.0,9.0,25033.033760844635,1.0,396.0,15
1.5229397000002791,1.0,0.0,9.0,26223.286009474883,1.0,396.0,16
1.6227118000024348,1.0,0.0,9.0,27473.466816027983,1.0,396.0,17
1.5520279000011215,1.0,0.0,9.0,28625.420569080477,1.0,396.0,18
1.5253578000010748,1.0,0.0,9.0,29848.296527493298,1.0,396.0,19
1.5328673000003619,1.0,0.0,9.0,31048.110692863243,1.0,396.0,20
1.4736367000004975,1.0,0.0,9.0,32269.519254574792,1.0,396.0,21
1.5155727999990631,1.0,0.0,9.0,33506.62927172763,1.0,396.0,22
1.5627320000021427,1.0,0.0,9.0,34750.49839902348,1.0,396.0,23
1.6038496000001032,1.0,0.0,9.0,36025.274673975604,1.0,396.0,24
1.5609274999987974,1.0,0.0,9.0,37280.89325104115,1.0,396.0,25
1.6007820999984688,1.0,0.0,9.0,38559.21604022927,1.0,396.0,26
1.5226351999990584,1.0,0.0,9.0,39778.88538000599,1.0,396.0,27
1.5006216000001587,1.0,0.0,9.0,41005.85650222206,1.0,396.0,28
1.4890305000008084,1.0,0.0,9.0,42165.58634391945,1.0,396.0,29
1.5888139999988198,1.0,0.0,9.0,43333.631266177916,1.0,396.0,30
1.530580700000428,1.0,0.0,9.0,44434.95480171259,1.0,396.0,31
1.5789197000012791,1.0,0.0,9.0,45544.38683592795,1.0,396.0,32
1.5238123999988602,1.0,0.0,9.0,46586.983916214995,1.0,396.0,33
1.4945139000010386,1.0,0.0,9.0,47637.39162625656,1.0,396.0,34
1.5839027000001806,1.0,0.0,9.0,48623.930788588674,1.0,396.0,35
1.5128852000016195,1.0,0.0,9.0,49618.72592396156,1.0,396.0,36
1.5253397999986191,1.0,0.0,9.0,50549.34085079191,1.0,396.0,37
1.5181271000001288,1.0,0.0,9.0,51487.554701013934,1.0,396.0,38
1.5500004999994417,1.0,0.0,9.0,52382.57972936957,1.0,396.0,39
