computation_time_sec,coordination_iterations,leader_candidate_count,leader_objective,solver_converged,solver_evaluations,step
11.990784199999325,5.0,16.0,2488.5064386863387,1.0,928.0,0
12.561593500002346,6.0,16.0,2908.869339081629,1.0,1104.0,1
12.503035800000362,6.0,16.0,3217.812775157225,1.0,1104.0,2
12.69175019999966,6.0,16.0,3609.264377131901,1.0,1104.0,3
12.856326300003275,7.0,16.0,4056.0791405160744,1.0,1280.0,4
12.82274310000139,6.0,16.0,4464.764655873847,1.0,1104.0,5
12.760120700000698,5.0,16.0,4760.915024401855,1.0,928.0,6
12.783836200000223,6.0,16.0,5093.933711594515,1.0,1104.0,7
12.527568299999984,6.0,16.0,5568.505892193576,1.0,1104.0,8
12.28807819999929,5.0,16.0,5882.290056778673,1.0,928.0,9
12.466799699999683,8.0,16.0,6342.965053449941,1.0,1456.0,10
12.321326000001136,6.0,16.0,6721.291756536217,1.0,1104.0,11
12.307999600001494,6.0,16.0,7284.30299850608,1.0,1104.0,12
12.451391599999624,6.0,16.0,7717.575215486862,1.0,1104.0,13
12.588515399998869,6.0,16.0,8189.5194508660725,1.0,1104.0,14
12.486202500000218,6.0,16.0,8593.321828876913,1.0,1104.0,15
12.415656400000444,5.0,16.0,9160.152207677656,1.0,928.0,16
12.414551800000481,5.0,16.0,9601.34598727869,1.0,928.0,17
12.382939700000861,5.0,16.0,10126.329703652833,1.0,928.0,18
12.447625500000868,6.0,16.0,10804.563399533992,1.0,1104.0,19
12.341644699998142,5.0,16.0,11248.670615907948,1.0,928.0,20
12.538442699998996,6.0,16.0,11759.34315866508,1.0,1104.0,21
12.466143300000113,6.0,16.0,12352.922103515824,1.0,1104.0,22
12.790941199997178,5.0,16.0,12853.24730183749,1.0,928.0,23
12.752833899998222,6.0,16.0,13373.942660077815,1.0,1104.0,24
12.565834600001835,5.0,16.0,13680.199020639247,1.0,928.0,25
12.835784700000659,6.0,16.0,14227.25431645065,1.0,1104.0,26
12.499064600000565,5.0,16.0,14736.24050470814,1.0,928.0,27
12.272643100001005,5.0,16.0,15325.046469066208,1.0,928.0,28
12.42316690000007,5.0,16.0,15529.943350595417,1.0,928.0,29
12.353352299996914,5.0,16.0,15861.832008609097,1.0,928.0,30
12.505031599997892,6.0,16.0,16207.382976420093,1.0,1104.0,31
12.420910299999377,6.0,16.0,16699.694936769458,1.0,1104.0,32
12.37776920000033,6.0,16.0,16974.575871941026,1.0,1104.0,33
12.346598000000085,5.0,16.0,17364.59902124991,1.0,928.0,34
12.11652210000102,5.0,16.0,17561.811086654143,1.0,928.0,35
12.054246300001978,6.0,16.0,17839.673335656455,1.0,1104.0,36
12.030273000000307,5.0,16.0,18179.455614514853,1.0,928.0,37
12.604337099997792,6.0,16.0,18352.497002537693,1.0,1104.0,38
12.498866199999611,5.0,16.0,18572.443038338788,1.0,928.0,39
