metric,value
Value_U_to_F_given_F_to_U,-109.488
Value_F_to_U_given_U_to_F,-291.595
Phi_U_to_F,61.894
Phi_F_to_U,-120.214
UrbanCouplingPlayerValue,74.465
FreewayCouplingPlayerValue,-99.644
AllCouplingPlayersValue,4073.057
