ablation,freeway_ttt,total_ttt,urban_ttt
FIXED_ALL_COUPLING_PLAYERS,3632.178,17086.502,13454.325
FIXED_FREEWAY_COUPLING_PLAYERS,311.952,12913.801,12601.849
FIXED_URBAN_COUPLING_PLAYERS,1411.798,13087.91,11676.112
FULL_COUPLING,340.855,13013.445,12672.59
LOCAL_ONLY_COUPLING_PLAYERS,390.559,12955.125,12564.565
NO_CROSS_NETWORK_INFO,390.559,12955.125,12564.565
NO_F_TO_U_INFO,326.995,12721.85,12394.855
NO_U_TO_F_INFO,396.616,12903.957,12507.341
