computation_time_sec,coordination_iterations,leader_candidate_count,leader_objective,solver_converged,solver_evaluations,step
12.162243999999191,6.0,16.0,1568.7151417595906,1.0,1104.0,0
12.158338499997626,5.0,16.0,1452.5391464033564,1.0,928.0,1
12.079713200000697,5.0,16.0,1530.4860100572587,1.0,928.0,2
12.133869099998265,6.0,16.0,1594.2253060871453,1.0,1104.0,3
12.057251999998698,6.0,16.0,1711.4252652973364,1.0,1104.0,4
12.047437000001082,5.0,16.0,1670.4245234867233,1.0,928.0,5
11.967732099998102,6.0,16.0,1826.7079847690911,1.0,1104.0,6
12.00715879999916,5.0,16.0,1819.6613059767328,1.0,928.0,7
12.04937809999683,5.0,16.0,1771.8833522445127,1.0,928.0,8
12.092908999999054,6.0,16.0,1872.1400419951487,1.0,1104.0,9
