computation_time_sec,controller_id,solver_converged_rate,solver_evaluations
0.01,WU-CD-F,1.0,1640.0
57.92,WU-MATCHED-STACKELBERG,1.0,15840.0
535.61,WU-CC-F,0.9,3200.0
23.3,PROPOSED-FOLLOWERS-ONLY,1.0,1001.0
498.86,PROPOSED-STACKELBERG,1.0,41696.0
514.81,PROPOSED-CENTRALIZED,0.875,3200.0
