computation_time_sec,coordination_iterations,leader_candidate_count,leader_objective,solver_converged,solver_evaluations,step
10.813879100000122,6.0,16.0,2552.156699221292,1.0,1104.0,0
10.85651770000004,5.0,16.0,2907.0213276951336,1.0,928.0,1
10.930390399999851,6.0,16.0,3414.17539239354,1.0,1104.0,2
10.912016100000073,5.0,16.0,3907.4454421746204,1.0,928.0,3
11.084109200000057,6.0,16.0,4361.212927137237,1.0,1104.0,4
11.252796200000375,6.0,16.0,4734.717510328274,1.0,1104.0,5
11.454496599999857,6.0,16.0,5186.8145488936,1.0,1104.0,6
11.139864100000068,7.0,16.0,5442.870333570102,1.0,1280.0,7
11.069069600000148,6.0,16.0,5890.793254686749,1.0,1104.0,8
11.373387999999977,5.0,16.0,5931.444372445229,1.0,928.0,9
