computation_time_sec,controller_id,solver_converged_rate,solver_evaluations
0.01,WU-CD-F,1.0,1640.0
61.06,WU-MATCHED-STACKELBERG,1.0,15840.0
548.17,WU-CC-F,1.0,3200.0
23.31,PROPOSED-FOLLOWERS-ONLY,1.0,1012.0
503.22,PROPOSED-STACKELBERG,1.0,40816.0
521.32,PROPOSED-CENTRALIZED,0.95,3200.0
