N_P_star,N_UF_star,controller_id,cumulative_freeway_ttt,cumulative_total_ttt,cumulative_urban_ttt,mean_B_sum_step,step,step_freeway_ttt,step_total_ttt,step_urban_ttt,terminal_total_vehicles,time_sec,scenario,scenario_label,controller_label,controller_compute_time_sec,leader_fallback_guard_selected,leader_mfd_storage_excess_veh,leader_mfd_storage_penalty,leader_selected_N_P_star,leader_selected_N_UF_star,leader_selected_objective,leader_selected_stage_fallback,leader_selected_stage_fallback_no_control,leader_selected_stage_fallback_pfo,wall_time_sec
0.0,0.0,NO-CONTROL,6.363302506633708,17.616411845088862,11.253109338455156,0.1098857034132006,0,6.363302506633708,17.616411845088862,11.253109338455156,399.3821095008574,180.0,medium_demand,Median,No control,,,,,,,,,,,
0.0,0.0,NO-CONTROL,13.224798071450843,38.977791029466246,25.752992958015405,0.1869708815010099,1,6.861495564817135,21.361379184377384,14.499883619560247,431.1502748644211,360.0,medium_demand,Median,No control,,,,,,,,,,,
0.0,0.0,NO-CONTROL,20.39674246558829,61.2122832783332,40.81554081274491,0.1081036228327724,2,7.171944394137443,22.23449224886695,15.062547854729509,455.6320438711929,540.0,medium_demand,Median,No control,,,,,,,,,,,
0.0,0.0,NO-CONTROL,28.086472155251403,84.05857931121436,55.97210715596296,0.1851568751189219,3,7.689729689663117,22.846296032881167,15.15656634321805,456.7528535498623,720.0,medium_demand,Median,No control,,,,,,,,,,,
0.0,0.0,NO-CONTROL,35.95999298802158,107.81604064982636,71.85604766180478,0.1075708123731388,4,7.873520832770182,23.757461338612003,15.88394050584182,489.9131079688125,900.0,medium_demand,Median,No control,,,,,,,,,,,
0.0,0.0,NO-CONTROL,44.37162468928755,132.29740526048082,87.92578057119327,0.1838780618461032,5,8.411631701265966,24.48136461065446,16.06973290938849,488.6730100655667,1080.0,medium_demand,Median,No control,,,,,,,,,,,
0.0,0.0,NO-CONTROL,52.95872443971888,157.6000708066374,104.64134636691853,0.1070726820971924,6,8.587099750431326,25.302665546156582,16.715565795725258,520.5151706409649,1260.0,medium_demand,Median,No control,,,,,,,,,,,
0.0,0.0,NO-CONTROL,62.083986201474985,183.5148848433,121.43089864182498,0.1829651665142608,7,9.125261761756107,25.91481403666257,16.78955227490646,516.0451248969998,1440.0,medium_demand,Median,No control,,,,,,,,,,,
0.0,0.0,NO-CONTROL,71.35005398521488,210.09741680795665,138.74736282274176,0.1067645350980121,8,9.2660677837399,26.582531964656688,17.31646418091679,545.296680174441,1620.0,medium_demand,Median,No control,,,,,,,,,,,
0.0,0.0,NO-CONTROL,81.12980647532225,237.11920989641345,155.9894034210912,0.1825210561404726,9,9.779752490107372,27.021793088456803,17.242040598349433,536.5797410736177,1800.0,medium_demand,Median,No control,,,,,,,,,,,
