N_P_star,N_UF_star,freeway_ttt,offramp_accepted_veh,offramp_blocked_veh,onramp_approach_queue_veh,onramp_transfer_veh,ramp_queue_veh,step,urban_ttt
469.1529,4000.0,6.163541591163489,29.61834789808473,0.0,86.06912859797673,101.64337625595992,101.62524292262655,0,16.098885967381413
469.1529,6000.0,10.27873540568271,44.59706654827358,0.0,126.32155212204674,199.12782618760315,21.45463120866334,1,27.173148729358942
547.34505,4000.0,8.698509944310148,46.437603975666235,0.0,224.822467245668,135.63004923981757,20.825644527240293,2,35.382646757377245
469.1529,5322.017866423703,7.881316073028421,44.67725775122925,0.0,306.45493690397734,162.1907577454274,36.86123821140075,3,40.51423057047039
469.1529,6000.0,7.6678288543779765,43.75770236784879,0.0,405.9175920256644,132.85871131965573,12.322180633874757,4,46.03716823080822
469.1529,4000.0,7.653153840572026,43.99810137641984,0.0,497.46245061631,160.90261190088194,34.77223637995913,5,52.07000220751175
495.21695,5700.0,8.166687317521202,47.24689705358797,0.0,572.8178532255696,169.6669998779441,4.9588831600241985,6,57.37615007961658
495.21695,6000.0,8.72624349269419,43.302532668803615,0.0,652.2163166068622,175.6526695240168,93.69900251667747,7,61.82800842865991
469.1529,5700.0,9.732611115142586,46.231466128382586,0.0,761.718774074906,135.36394476106912,28.45683654576245,8,68.97308078284048
469.1529,4000.0,8.988131993600875,43.77487956457685,0.0,860.1486967371047,142.6351431163784,90.43283021338057,9,77.17923507714268
495.21695,5231.516032623048,10.344869265759257,44.34560835585877,0.0,968.0492036001427,155.2424531733571,63.28296783407305,10,85.45025915119844
469.1529,4000.0,9.566972938818164,47.643278919820325,0.0,1102.9924348668198,126.55812687768595,26.033773827754448,11,93.01976456002348
495.21695,4000.0,8.535045514587148,46.25524866047114,0.0,1229.0958678988773,137.7151177382021,36.7332256412314,12,101.83582412542745
486.5289333333333,4739.218225183007,9.473960243370623,47.17391255143396,0.0,1315.440389929298,187.6259085581529,51.99939855304577,13,109.25533553457862
469.1529,3879.526841389926,9.449466969348318,47.32283803806141,0.0,1443.4176373912283,127.04793813677239,30.67754373037536,14,116.45082186744483
486.5289333333333,4964.395481874912,9.83927261432824,46.41351972338252,0.0,1533.8148465767383,176.10302006080988,62.1962254487719,15,123.06661356254179
495.21695,5000.952877579353,10.015649909849598,48.33567069467365,0.0,1658.2410057285688,132.6250350044839,28.69433005834708,16,130.71471284000387
469.1529,5500.2700480544945,10.386776738009836,48.34160009082239,0.0,1723.0569078228,196.1206617114002,59.11997553427614,17,137.9887606646251
495.21695,4000.0,11.241760284159284,47.96573140787655,0.0,1855.9633706873706,146.48289340403645,33.601352852373886,18,146.4415999470039
495.21695,4000.0,10.26801790265801,46.36742542418503,0.0,2014.531765052439,112.55784908011913,25.357252796327316,19,156.44756844526617
495.21695,6000.0,10.464768917017752,47.44771908749912,0.0,2085.932925741039,177.17037690253278,35.63476807484973,20,165.02089248585233
469.1529,4000.0,10.82828797585311,46.77498667022817,0.0,2233.4905803352194,130.693874196095,22.595655736546377,21,173.78186697823526
503.9049666666666,6000.0,11.190769365312113,46.39546554384134,0.0,2340.3376363568127,161.90676136995302,62.45428090169658,22,182.2659724794309
469.1529,2000.0,10.996975166529994,45.245242331591996,0.0,2518.990806815571,100.66754750519266,63.117153187141774,23,190.4551570547698
503.9049666666666,3922.2155348395236,10.497070096724714,47.75519001227838,0.0,2643.9720374759545,156.6092072092253,46.43583658351096,24,199.4977153293971
486.5289333333333,4000.0,9.811863559876493,48.26352783696284,0.0,2778.428895607324,137.16541460342333,23.55560299431358,25,207.2467326319585
469.1529,4000.0,8.504875013961579,46.768795014488575,0.0,2918.039232599944,118.9709222573648,11.103122573280173,26,216.73443057986483
486.5289333333333,4000.0,8.580056037486479,47.77395874610438,0.0,3012.156805946867,172.57847435222138,15.544424867072678,27,225.36413097086643
469.1529,4000.0,7.899051399103699,47.199657469174745,0.0,3153.5838873483776,125.51717241382984,8.433206792725931,28,233.76854153491615
486.5289333333333,6000.0,7.308455242150094,45.033568782438365,0.0,3252.253845511201,140.1534647456261,16.473642154935547,29,241.51542950527497
469.1529,4000.0,7.39778365145679,43.47377021254521,0.0,3391.949093493644,128.20391416399883,25.655683151173776,30,250.51373811905935
469.1529,4500.047441374024,8.560945758586033,43.67229662910653,0.0,3455.3833656174043,177.23609169064252,80.46116354876291,31,257.18429704133223
469.1529,5256.308597405642,9.802393615542371,47.431821744824354,0.0,3561.740387823438,157.27894577808334,19.286903127461002,32,264.1431537831666
486.5289333333333,6000.0,9.046892756161503,47.804022296213205,0.0,3652.2615191955706,165.19381306220097,32.32272023625292,33,270.47419558407023
486.5289333333333,6000.0,8.462928170695724,45.43920087873066,0.0,3755.2719613656063,145.93411310687674,39.85428367851808,34,276.3271268527265
495.21695,6000.0,8.12022563956555,43.7499550642908,0.0,3851.136711639858,136.42274437506674,44.86689411468378,35,283.39455492970467
469.1529,6000.0,8.732532047220074,45.90271770467617,0.0,3896.4366403147824,190.6863884290015,45.30468023424232,36,289.16730166155793
469.1529,6000.0,9.564644868027692,47.810753604425976,0.0,3944.742708355621,192.48207673308943,23.463153296327796,37,292.124448591159
503.9049666666666,6000.0,8.905986680969924,46.77379312009747,0.0,4024.571143288511,154.60542398980618,21.658304869727264,38,296.1521498213964
486.5289333333333,4000.0,7.820778844130318,41.86812833239341,0.0,4135.708461197486,124.96964133143999,29.835499003448383,39,300.9644171667876
