scenario,controller,total_ttt,completed_vehicles,terminal_vehicles,att_min_per_completed,compute_s_per_step
sweet_122,NC,1433.8,28364.1,634.0,3.03,0.0
sweet_122,PFO,1384.3,28430.8,571.9,2.92,5.21
sweet_122,P-Stack,1357.6,28436.9,566.0,2.86,77.03
sweet_122,Centralized,1331.4,28459.5,557.4,2.81,28.07
sweet_155,NC,8611.8,23379.9,13428.9,22.1,0.0
sweet_155,PFO,4513.7,32524.0,4238.3,8.33,5.06
sweet_155,P-Stack,4310.3,32742.6,4036.9,7.9,77.53
sweet_155,Centralized,4051.6,33243.2,3551.2,7.31,82.88
sweet_155_incident,NC,10207.4,21814.4,14994.3,28.08,0.0
sweet_155_incident,PFO,9169.4,24754.7,12041.5,22.22,7.42
sweet_155_incident,P-Stack,8988.0,24731.6,12061.6,21.81,70.7
sweet_155_incident,Centralized,8879.3,24879.3,11934.6,21.41,95.41
sweet_155_skew,NC,7127.9,26721.3,10069.9,16.0,0.0
sweet_155_skew,PFO,4911.9,31937.1,4835.3,9.23,5.64
sweet_155_skew,P-Stack,4480.9,32746.8,4032.1,8.21,77.65
sweet_155_skew,Centralized,4403.9,32898.9,3905.4,8.03,70.49
sweet_170,NC,16699.9,18668.7,21676.9,53.67,0.0
sweet_170,PFO,8761.8,30473.1,9820.3,17.25,4.48
sweet_170,P-Stack,7904.0,31442.9,8853.9,15.08,77.35
sweet_170,Centralized,7317.7,31936.2,8377.8,13.75,92.03
sweet_170_incident,NC,16936.7,18461.8,21883.6,55.04,0.0
sweet_170_incident,PFO,12372.6,24599.6,15716.9,30.18,4.83
sweet_170_incident,P-Stack,12350.4,24593.5,15751.0,30.13,72.41
sweet_170_incident,Centralized,11711.9,25314.8,15021.8,27.76,83.6
sweet_190,NC,25170.6,15921.5,29139.1,94.86,0.0
sweet_190,PFO,13627.3,29675.5,15354.8,27.55,4.29
sweet_190,P-Stack,11457.8,32159.3,12827.1,21.38,81.72
sweet_190,Centralized,10728.8,33260.2,11685.0,19.35,96.18
