step,time_sec,step_total_ttt,step_urban_ttt,step_freeway_ttt,cumulative_total_ttt,cumulative_urban_ttt,cumulative_freeway_ttt,computation_time_sec
0,180.0,24.785860738900226,9.276018479787327,15.509842259112897,24.785860738900226,9.276018479787327,15.509842259112897,2.629996743053198e-05
1,360.0,22.46947972442454,9.116860546354225,13.352619178070317,47.255340463324764,18.39287902614155,28.862461437183214,2.4800014216452837e-05
2,540.0,20.904514465412205,8.372388612432076,12.532125852980132,68.15985492873696,26.765267638573626,41.394587290163344,2.929999027401209e-05
3,720.0,20.816095434082506,8.083556336996137,12.732539097086367,88.97595036281948,34.848823975569765,54.12712638724971,2.7699978090822697e-05
4,900.0,20.72752253934334,8.207587539894659,12.519934999448681,109.70347290216282,43.056411515464426,66.6470613866984,3.5299977753311396e-05
5,1080.0,20.7219301366708,8.087843967691633,12.634086168979167,130.42540303883362,51.14425548315606,79.28114755567756,35.56804339995142
6,1260.0,32.80011432950277,13.528918017284747,19.271196312218024,163.2255173683364,64.67317350044081,98.55234386789559,38.12658740003826
7,1440.0,63.94734635811322,26.33641056054698,37.61093579756624,227.17286372644963,91.00958406098779,136.16327966546183,38.0489310999983
8,1620.0,94.90039286730773,41.17290922833798,53.72748363896975,322.0732565937574,132.18249328932578,189.89076330443157,36.39976299996488
9,1800.0,117.10416060427113,51.36205593774071,65.74210466653041,439.1774171980285,183.54454922706648,255.63286797096197,39.883373800024856
10,1980.0,136.42190017704965,62.276869279905775,74.14503089714388,575.5993173750782,245.82141850697226,329.77789886810586,52.7919503999874
11,2160.0,155.55772606376473,72.29014390580318,83.26758215796157,731.157043438843,318.11156241277547,413.0454810260674,39.18028899998171
12,2340.0,175.55299575500425,82.51779589919803,93.0351998558062,906.7100391938471,400.62935831197353,506.0806808818736,38.9706893999828
13,2520.0,196.1994414810149,91.08646614783697,105.11297533317794,1102.9094806748622,491.7158244598105,611.1936562150515,50.268880199990235
