step,time_sec,step_total_ttt,step_urban_ttt,step_freeway_ttt,cumulative_total_ttt,cumulative_urban_ttt,cumulative_freeway_ttt,computation_time_sec
0,180.0,24.785860738900226,9.276018479787327,15.509842259112897,24.785860738900226,9.276018479787327,15.509842259112897,1.7499958630651236e-05
1,360.0,22.46947972442454,9.116860546354225,13.352619178070317,47.255340463324764,18.39287902614155,28.862461437183214,3.350002225488424e-05
2,540.0,20.904514465412205,8.372388612432076,12.532125852980132,68.15985492873696,26.765267638573626,41.394587290163344,3.120000474154949e-05
3,720.0,20.816095434082506,8.083556336996137,12.732539097086367,88.97595036281948,34.848823975569765,54.12712638724971,2.9999995604157448e-05
4,900.0,20.72752253934334,8.207587539894659,12.519934999448681,109.70347290216282,43.056411515464426,66.6470613866984,2.19999928958714e-05
5,1080.0,20.724177860223556,8.008225561157188,12.71595229906637,130.42765076238638,51.064637076621615,79.36301368576477,36.299693599983584
6,1260.0,30.253927369688153,12.293398889055283,17.96052848063287,160.68157813207455,63.3580359656769,97.32354216639764,37.769611199968494
7,1440.0,54.67997712454961,22.191413968036926,32.48856315651268,215.36155525662414,85.54944993371382,129.81210532291033,44.487981499987654
8,1620.0,78.17981208130169,33.542618420505775,44.637193660795916,293.5413673379258,119.09206835421959,174.44929898370623,44.90715159999672
9,1800.0,93.50698544519544,40.779412439551834,52.727573005643606,387.04835278312123,159.8714807937714,227.17687198934982,46.36602309998125
10,1980.0,104.89238871271209,47.58503224919192,57.30735646352017,491.9407414958333,207.45651304296334,284.48422845287,65.79092729999684
11,2160.0,114.59052463167671,52.92150896083606,61.669015670840665,606.5312661275101,260.3780220037994,346.1532441237107,39.054556099988986
12,2340.0,124.55479782759241,59.72162806747651,64.83316976011591,731.0860639551024,320.0996500712759,410.9864138838266,41.53243259998271
13,2520.0,135.51062657786053,65.75104898580022,69.75957759206031,866.596690532963,385.8506990570761,480.74599147588685,40.187781499989796
14,2700.0,146.4704297377404,73.10637088484272,73.36405885289767,1013.0671202707033,458.9570699419188,554.1100503287845,50.62429369997699
15,2880.0,157.31850942012744,80.04283135893593,77.2756780611915,1170.3856296908307,538.9999013008547,631.385728389976,49.13846370001556
16,3060.0,167.81611744408085,88.0899501477228,79.72616729635804,1338.2017471349116,627.0898514485775,711.111895686334,41.17081070004497
17,3240.0,178.0998625180797,95.83875945719637,82.26110306088333,1516.3016096529914,722.9286109057739,793.3729987472174,50.23801230004756
18,3420.0,188.7882319642197,106.13873335881893,82.64949860540078,1705.089841617211,829.0673442645929,876.0224973526182,51.044130700000096
19,3600.0,199.525682877176,115.32517142184787,84.20051145532813,1904.615524494387,944.3925156864407,960.2230088079464,40.47920770000201
20,3780.0,210.23680243143247,126.13483155905566,84.10197087237681,2114.8523269258194,1070.5273472454962,1044.3249796803232,78.51692010002444
21,3960.0,220.96276341555082,135.75603425190135,85.20672916364947,2335.8150903413703,1206.2833814973976,1129.5317088439726,50.01674180000555
22,4140.0,231.8052424636399,145.72312847927498,86.08211398436494,2567.62033280501,1352.0065099766725,1215.6138228283376,52.85903510003118
23,4320.0,242.65412011613023,154.46494975838633,88.18917035774389,2810.2744529211404,1506.471459735059,1303.8029931860815,47.42164710001089
24,4500.0,254.87897103710824,166.4669873937292,88.41198364337905,3065.153423958249,1672.938447128788,1392.2149768294605,41.24688479996985
25,4680.0,268.4187377511068,179.6985986354744,88.72013911563236,3333.572161709355,1852.6370457642624,1480.9351159450928,41.3703688000096
26,4860.0,282.438968154425,193.43779968423485,89.0011684701902,3616.0111298637803,2046.0748454484974,1569.936284415283,50.544468600011896
27,5040.0,296.6675038770196,205.6863223033666,90.98118157365302,3912.6786337408,2251.761167751864,1660.9174659889359,50.39108849997865
28,5220.0,301.80003838905134,214.49558850816692,87.30444988088445,4214.4786721298515,2466.2567562600307,1748.2219158698204,40.668453100021
29,5400.0,289.9934376143139,212.85756214202087,77.13587547229302,4504.472109744165,2679.1143184020516,1825.3577913421134,50.58755940000992
30,5580.0,272.75851535410646,209.16107150356396,63.597443850542504,4777.230625098271,2888.2753899056156,1888.955235192656,53.335014900017995
31,5760.0,258.8360934189814,207.06664705151636,51.769446367465065,5036.066718517252,3095.3420369571318,1940.7246815601209,35.7910992000252
32,5940.0,246.90962103870555,206.27361123446215,40.63600980424339,5282.9763395559585,3301.615648191594,1981.3606913643644,37.09844620001968
33,6120.0,236.47616771419763,205.14732903740986,31.32883867678778,5519.452507270156,3506.762977229004,2012.6895300411522,37.21461919997819
34,6300.0,229.60401255525926,203.67293605002095,25.931076505238295,5749.056519825415,3710.4359132790246,2038.6206065463905,36.57463639997877
35,6480.0,223.8400600217836,201.7797553273389,22.060304694444692,5972.896579847198,3912.2156686063636,2060.680911240835,36.956679499999154
36,6660.0,220.11546769672955,199.65645682042953,20.459010876300034,6193.012047543928,4111.872125426793,2081.139922117135,40.54938260000199
37,6840.0,216.96219738362686,196.4962308239874,20.465966559639455,6409.9742449275545,4308.36835625078,2101.6058886767746,40.007711000042036
38,7020.0,213.7846857006235,193.25286183216403,20.531823868459476,6623.758930628179,4501.621218082944,2122.137712545234,39.39452299999539
39,7200.0,209.7614932421628,187.29360096455753,22.467892277605277,6833.520423870341,4688.914819047502,2144.6056048228393,35.94423610001104
40,7380.0,200.94101822355648,176.82121236329422,24.119805860262264,7034.461442093897,4865.7360314107955,2168.7254106831015,48.13725569995586
41,7560.0,185.9294138933389,162.47360686421848,23.455807029120436,7220.390855987236,5028.209638275014,2192.181217712222,39.852334399998654
42,7740.0,167.7032603566839,145.69549267779027,22.007767678893636,7388.09411634392,5173.905130952804,2214.1889853911157,35.70360730000539
43,7920.0,149.71305246103535,127.85794246594442,21.855109995090917,7537.807168804955,5301.763073418749,2236.0440953862067,40.86096289998386
44,8100.0,132.71319359418584,111.15876704892322,21.554426545262626,7670.520362399142,5412.921840467672,2257.5985219314693,44.0949848999735
45,8280.0,116.39531849976652,95.33705096364265,21.058267536123857,7786.915680898908,5508.258891431315,2278.656789467593,40.81555810000282
46,8460.0,102.45543607921766,81.83496257226847,20.6204735069492,7889.371116978125,5590.093854003583,2299.2772629745423,35.43024160002824
47,8640.0,90.59864938773109,70.30713751626396,20.291511871467115,7979.969766365856,5660.400991519847,2319.5687748460095,39.201538200024515
48,8820.0,79.84950395107091,61.024777774250424,18.824726176820498,8059.819270316928,5721.425769294097,2338.39350102283,42.92014519998338
49,9000.0,70.9948984532846,54.0153948600195,16.9795035932651,8130.814168770212,5775.441164154116,2355.3730046160954,43.958703899988905
50,9180.0,63.99602018139578,48.18234977769206,15.81367040370372,8194.810188951607,5823.623513931809,2371.186675019799,60.54557939997176
51,9360.0,59.15270643503191,43.606618948577434,15.546087486454477,8253.96289538664,5867.230132880386,2386.7327625062535,42.38298750005197
52,9540.0,55.03595291258442,39.4320503358732,15.603902576711222,8308.998848299223,5906.662183216259,2402.336665082965,40.506802599993534
53,9720.0,51.10246524900498,35.408551663194615,15.693913585810366,8360.101313548228,5942.070734879454,2418.030578668775,42.13334890000988
54,9900.0,46.791355494283266,30.926958347068826,15.864397147214442,8406.892669042512,5972.997693226523,2433.8949758159893,42.66287010000087
55,10080.0,42.473211823926555,26.530334451478502,15.94287737244805,8449.365880866439,5999.528027678001,2449.8378531884373,40.084628899989184
56,10260.0,37.77048056836004,21.760545556196867,16.009935012163172,8487.1363614348,6021.288573234198,2465.8477882006005,38.95833009999478
57,10440.0,33.342959891442064,17.52513126072988,15.817828630712185,8520.47932132624,6038.813704494928,2481.6656168313125,40.21460710000247
58,10620.0,29.23652575629513,14.263949147269289,14.97257660902584,8549.715847082536,6053.077653642197,2496.6381934403385,32.15813270001672
59,10800.0,26.268999061012895,11.74610786858334,14.522891192429555,8575.984846143549,6064.823761510781,2511.161084632768,19.49454639997566
60,10980.0,23.877461336344943,9.620723530527915,14.256737805817028,8599.862307479894,6074.444485041309,2525.417822438585,42.51883479999378
61,11160.0,22.120923719067505,8.596056894419124,13.524866824648383,8621.983231198963,6083.0405419357285,2538.9426892632337,17.12339600000996
62,11340.0,21.42301429309613,8.341919541488181,13.081094751607951,8643.406245492059,6091.382461477217,2552.0237840148416,30.84013580001192
63,11520.0,21.433961423756394,8.450124101199078,12.983837322557314,8664.840206915815,6099.832585578416,2565.007621337399,31.08607649995247
64,11700.0,21.31829739539944,8.42776998873025,12.890527406669191,8686.158504311215,6108.260355567147,2577.8981487440683,31.053115500020795
65,11880.0,21.450045055116632,8.447563409907893,13.002481645208738,8707.608549366332,6116.707918977055,2590.900630389277,16.147908899991307
66,12060.0,21.388072455350482,8.453768785642888,12.934303669707592,8728.996621821683,6125.1616877626975,2603.834934058985,16.244515900034457
67,12240.0,21.460194680738844,8.453450929709996,13.006743751028848,8750.456816502421,6133.6151386924075,2616.8416778100136,15.719598299998324
68,12420.0,21.389110370479045,8.455170621810908,12.93393974866814,8771.8459268729,6142.070309314218,2629.775617558682,15.97761800000444
69,12600.0,21.46078055568683,8.453649613357562,13.007130942329269,8793.306707428586,6150.523958927576,2642.782748501011,15.847990499984007
70,12780.0,21.389282451219493,8.455242251193694,12.934040200025798,8814.695989879807,6158.9792011787695,2655.716788701037,39.57256960001541
71,12960.0,21.460822812476074,8.4536712314418,13.007151581034272,8836.156812692283,6167.4328724102115,2668.723940282071,16.127221300033852
72,13140.0,21.389291987799083,8.455247704487352,12.934044283311733,8857.546104680081,6175.888120114699,2681.657984565383,16.244721799972467
73,13320.0,21.4608249417013,8.453672418425818,13.007152523275483,8879.006929621783,6184.341792533124,2694.6651370886584,15.70165060000727
74,13500.0,21.389292591702525,8.45524798575781,12.934044605944715,8900.396222213485,6192.797040518882,2707.599181694603,15.364249899983406
75,13680.0,21.460825087808004,8.453672491539505,13.007152596268499,8921.857047301293,6201.250713010421,2720.6063342908715,15.455663100001402
76,13860.0,21.389292627879247,8.455248004010505,12.934044623868742,8943.246339929172,6209.7059610144315,2733.5403789147404,15.603151899995282
77,14040.0,21.46082509693661,8.453672496463746,13.007152600472866,8964.70716502611,6218.159633510895,2746.5475315152134,15.746818599989638
78,14220.0,21.389292630055472,8.455248005102838,12.934044624952632,8986.096457656164,6226.614881515998,2759.481576140166,15.864081699983217
79,14400.0,21.460825097495096,8.453672496748473,13.007152600746624,9007.55728275366,6235.068554012746,2772.488728740913,16.03574419999495
