computation_time_sec,controller_id,solver_converged_rate,solver_evaluations
0.02,WU-CD-F,1.0,1640.0
56.57,WU-MATCHED-STACKELBERG,1.0,15840.0
520.07,WU-CC-F,0.95,3200.0
23.11,PROPOSED-FOLLOWERS-ONLY,1.0,1001.0
490.92,PROPOSED-STACKELBERG,1.0,40640.0
503.54,PROPOSED-CENTRALIZED,0.925,3200.0
