N_P_star,N_UF_star,freeway_ttt,offramp_accepted_veh,offramp_blocked_veh,onramp_approach_queue_veh,onramp_transfer_veh,ramp_queue_veh,step,urban_ttt
469.1529,4000.0,5.622606284514372,39.76604378372343,0.0,61.14732485856977,137.02777777777777,4.666666666666668,0,15.377428519070016
495.21695,5098.333333333334,6.548535729725538,43.67184733355573,0.0,141.78615396644668,164.60481450648734,6.103623954064112,1,27.848617719440078
469.1529,4000.0,6.924523210420197,45.217024961660734,0.0,225.16810158870783,148.89712860258598,4.666666666666668,2,37.08769902114967
495.21695,4078.666666666667,7.4789789001833356,46.7473939326986,0.0,327.5616996618282,168.29590845864632,6.23149418366047,3,44.900495727843094
495.21695,4613.8376774785465,7.806710820687071,47.53075826141456,0.0,428.97465275433325,150.17514029874692,4.666666666666667,4,53.41669887582163
521.281,2000.0,8.244959186689162,48.314748949329534,0.0,538.1449601815135,169.9683305280974,6.265190972222221,5,61.389469585571256
495.21695,6000.0,8.350096168480103,48.21981319230792,0.0,638.3837872779641,150.19797580612104,4.666666666666667,6,69.67442995707762
495.21695,2000.0,8.412426490386219,48.286720320947715,0.0,734.6746962465751,168.97358470862557,6.23149418366047,7,77.1838510901455
469.1529,1764.134820211785,7.9845714944633865,47.52291789664216,0.0,827.8260524341101,148.91726184521187,4.666666666666668,8,84.53721075834132
495.21695,4078.666666666667,7.440908968604718,46.62010006220399,0.0,919.1083456949063,165.65197920127218,6.103623954064112,9,90.66373458838558
