computation_time_sec,coordination_iterations,coupling_residual,leader_candidate_count,leader_objective,solver_converged,solver_evaluations,step
0.00039370000013150275,1.0,0.0,0.0,0.0,1.0,41.0,0
0.0003493000003800262,1.0,0.0,0.0,0.0,1.0,41.0,1
0.0003606999998737592,1.0,0.0,0.0,0.0,1.0,41.0,2
0.0003471000018180348,1.0,0.0,0.0,0.0,1.0,41.0,3
0.0003614999986893963,1.0,0.0,0.0,0.0,1.0,41.0,4
0.0004039000014017802,1.0,0.0,0.0,0.0,1.0,41.0,5
0.00036299999919719994,1.0,0.0,0.0,0.0,1.0,41.0,6
0.0009934000008797739,1.0,0.0,0.0,0.0,1.0,41.0,7
0.0003866000006382819,1.0,0.0,0.0,0.0,1.0,41.0,8
0.0005694999999832362,1.0,0.0,0.0,0.0,1.0,41.0,9
0.0003814000010606833,1.0,0.0,0.0,0.0,1.0,41.0,10
0.0004186000005574897,1.0,0.0,0.0,0.0,1.0,41.0,11
0.00039900000047055073,1.0,0.0,0.0,0.0,1.0,41.0,12
0.00039029999970807694,1.0,1.740104659004327e-16,0.0,0.0,1.0,41.0,13
0.00038869999843882397,1.0,0.0,0.0,0.0,1.0,41.0,14
0.000559899999643676,1.0,0.0,0.0,0.0,1.0,41.0,15
0.0003741000000445638,1.0,0.0,0.0,0.0,1.0,41.0,16
0.00039000000106170774,1.0,0.0,0.0,0.0,1.0,41.0,17
0.00038560000029974617,1.0,0.0,0.0,0.0,1.0,41.0,18
0.00039340000148513354,1.0,0.0,0.0,0.0,1.0,41.0,19
0.00040020000233198516,1.0,0.0,0.0,0.0,1.0,41.0,20
0.0003981000008934643,1.0,0.0,0.0,0.0,1.0,41.0,21
0.0003799999976763502,1.0,1.7401046590043271e-16,0.0,0.0,1.0,41.0,22
0.00039180000021588057,1.0,1.7401046590043271e-16,0.0,0.0,1.0,41.0,23
0.00038639999911538325,1.0,0.0,0.0,0.0,1.0,41.0,24
0.0003906999991158955,1.0,1.740104659004327e-16,0.0,0.0,1.0,41.0,25
0.00038189999759197235,1.0,1.740104659004327e-16,0.0,0.0,1.0,41.0,26
0.0003460000007180497,1.0,0.0,0.0,0.0,1.0,41.0,27
0.0005838999968545977,1.0,0.0,0.0,0.0,1.0,41.0,28
0.00037770000199088827,1.0,0.0,0.0,0.0,1.0,41.0,29
0.000378400000045076,1.0,0.0,0.0,0.0,1.0,41.0,30
0.00037769999835290946,1.0,1.7401046590043271e-16,0.0,0.0,1.0,41.0,31
0.0003867999985232018,1.0,0.0,0.0,0.0,1.0,41.0,32
0.00038270000004558824,1.0,1.7401046590043271e-16,0.0,0.0,1.0,41.0,33
0.0003974999999627471,1.0,0.0,0.0,0.0,1.0,41.0,34
0.0003744999994523823,1.0,0.0,0.0,0.0,1.0,41.0,35
0.00036980000004405156,1.0,0.0,0.0,0.0,1.0,41.0,36
0.000374399998690933,1.0,0.0,0.0,0.0,1.0,41.0,37
0.00036719999843626283,1.0,0.0,0.0,0.0,1.0,41.0,38
0.0003630999999586493,1.0,0.0,0.0,0.0,1.0,41.0,39
