baseline_controller,comparison,computation_time_ratio,delay_improvement_abs,delay_improvement_pct,negative_delay_flag,other_controller,terminal_total_difference,throughput_difference,ttt_difference
WU-CD-F,WuLeaderValue,3044.5,3.338,0.02,False,WU-MATCHED-STACKELBERG,-2.9,1.5,3.339
PROPOSED-FOLLOWERS-ONLY,ProposedLeaderValue,21.94,3385.494,22.47,False,PROPOSED-STACKELBERG,-2716.5,1358.3,3385.495
WU-CD-F,WuCentralizationGap,27410.0,899.834,6.11,False,WU-CC-F,-1277.0,638.5,899.834
PROPOSED-STACKELBERG,ProposedCentralizationGap,1.04,2361.097,20.22,False,PROPOSED-CENTRALIZED,-2514.9,1257.4,2361.097
WU-CD-F,FollowerPackageDifference,1135.0,-338.086,-2.3,False,PROPOSED-FOLLOWERS-ONLY,-340.2,170.1,-338.086
WU-MATCHED-STACKELBERG,LeaderPackageDifference,8.18,3044.07,20.68,False,PROPOSED-STACKELBERG,-3053.8,1526.9,3044.07
