computation_time_sec,leader_candidate_count,solver_converged,solver_evaluations,step
12.833803199999238,0.0,1.0,80.0,0
12.862718100001075,0.0,1.0,80.0,1
12.79695780000111,0.0,1.0,80.0,2
12.892988299998251,0.0,1.0,80.0,3
12.9898011999976,0.0,1.0,80.0,4
13.212013199998182,0.0,1.0,80.0,5
13.003472899999906,0.0,0.0,80.0,6
13.28524599999946,0.0,1.0,80.0,7
13.131380399998307,0.0,1.0,80.0,8
13.00371720000112,0.0,1.0,80.0,9
13.075462799999514,0.0,1.0,80.0,10
12.77703979999933,0.0,1.0,80.0,11
12.728454700001748,0.0,1.0,80.0,12
12.71598509999967,0.0,1.0,80.0,13
12.663158800001838,0.0,1.0,80.0,14
12.759929200001352,0.0,1.0,80.0,15
12.847965599998133,0.0,1.0,80.0,16
12.871883600000729,0.0,0.0,80.0,17
12.936332900000707,0.0,1.0,80.0,18
12.966679299999669,0.0,0.0,80.0,19
12.884019799999805,0.0,1.0,80.0,20
13.186520200000814,0.0,1.0,80.0,21
13.08024210000076,0.0,1.0,80.0,22
13.382258000001457,0.0,1.0,80.0,23
13.164905899997393,0.0,1.0,80.0,24
13.291388300000108,0.0,1.0,80.0,25
13.315079299998615,0.0,1.0,80.0,26
12.805429399999412,0.0,1.0,80.0,27
12.892954799997824,0.0,0.0,80.0,28
12.812292999999045,0.0,0.0,80.0,29
12.704138600001897,0.0,1.0,80.0,30
12.711309500002244,0.0,1.0,80.0,31
12.662649199999578,0.0,1.0,80.0,32
12.874588400001812,0.0,1.0,80.0,33
12.920891999998275,0.0,1.0,80.0,34
12.977640600001905,0.0,1.0,80.0,35
12.975604100000055,0.0,1.0,80.0,36
12.922770499997569,0.0,1.0,80.0,37
12.862306200000603,0.0,1.0,80.0,38
13.049232199999096,0.0,1.0,80.0,39
