computation_time_sec,coordination_iterations,coupling_residual,leader_candidate_count,leader_objective,solver_converged,solver_evaluations,step
1.3527462999991258,1.0,0.0,9.0,1542.0223566564036,1.0,396.0,0
1.4291649000006146,1.0,0.0,9.0,1648.4844819260547,1.0,396.0,1
1.4789677000007941,1.0,0.0,9.0,1672.7820116409716,1.0,396.0,2
1.491041999997833,1.0,0.0,9.0,1717.4133510252068,1.0,396.0,3
1.4922354999980598,1.0,0.0,9.0,1745.9420208148726,1.0,396.0,4
1.4944733000011183,1.0,0.0,9.0,1788.4325466134974,1.0,396.0,5
1.5105584000011731,1.0,0.0,9.0,1818.6643797103332,1.0,396.0,6
1.5036788999968849,1.0,0.0,9.0,1867.9384819111,1.0,396.0,7
1.5229525000031572,1.0,0.0,9.0,1914.0921948884816,1.0,396.0,8
1.496632900001714,1.0,0.0,9.0,2002.833493809193,1.0,396.0,9
1.5206070999993244,1.0,0.0,9.0,2155.8473924366253,1.0,396.0,10
1.5789418999993359,1.0,0.0,9.0,2556.0119008751385,1.0,396.0,11
1.4951464000005217,1.0,0.0,9.0,3200.8755640427207,1.0,396.0,12
1.5181279000025825,1.0,0.0,9.0,3983.927935682808,1.0,396.0,13
1.5409739999995509,1.0,0.0,9.0,4677.131314576167,1.0,396.0,14
1.527065099999163,1.0,0.0,9.0,5277.645099415014,1.0,396.0,15
1.4762957999992068,1.0,0.0,9.0,5893.968337001675,1.0,396.0,16
1.4737451000000874,1.0,0.0,9.0,6748.24288915575,1.0,396.0,17
1.4659004999994067,1.0,0.0,9.0,7799.5983243380515,1.0,396.0,18
1.5425372999998217,1.0,0.0,9.0,8941.27650436757,1.0,396.0,19
1.5080629000003682,1.0,0.0,9.0,9937.967684221487,1.0,396.0,20
1.5787875999994867,1.0,0.0,9.0,10810.991928960108,1.0,396.0,21
1.5157457999994222,1.0,0.0,9.0,11589.776815134572,1.0,396.0,22
1.555836100000306,1.0,0.0,9.0,12357.249071748003,1.0,396.0,23
1.6340267000014137,1.0,0.0,9.0,13071.31630170184,1.0,396.0,24
1.5600378000017372,1.0,0.0,9.0,13773.741583198676,1.0,396.0,25
1.5454342999983055,1.0,0.0,9.0,14438.640754505761,1.0,396.0,26
1.56025370000134,1.0,0.0,9.0,15087.744664381024,1.0,396.0,27
1.5406021999988297,1.0,0.0,9.0,15720.348875445146,1.0,396.0,28
1.5940395000034187,1.0,0.0,9.0,16326.352981233671,1.0,396.0,29
1.6091778000009072,1.0,0.0,9.0,16917.694390564597,1.0,396.0,30
1.5524774000004982,1.0,0.0,9.0,17483.03825731585,1.0,396.0,31
1.4568872999989253,1.0,0.0,9.0,18035.58568660558,1.0,396.0,32
1.5184876999992412,1.0,0.0,9.0,18564.033576233523,1.0,396.0,33
1.5077945000011823,1.0,0.0,9.0,19081.66839523378,1.0,396.0,34
1.4780786000010266,1.0,0.0,9.0,19576.85471092975,1.0,396.0,35
1.548708499998611,1.0,0.0,9.0,20062.71986700314,1.0,396.0,36
1.5091104000021005,1.0,0.0,9.0,20533.923743130017,1.0,396.0,37
1.534696900002018,1.0,0.0,9.0,20995.571988324227,1.0,396.0,38
1.5562401999995927,1.0,0.0,9.0,21464.59655898202,1.0,396.0,39
