N_P_star,N_UF_star,freeway_ttt,offramp_accepted_veh,offramp_blocked_veh,onramp_approach_queue_veh,onramp_transfer_veh,ramp_queue_veh,step,urban_ttt
469.1529,4000.0,5.810468679853352,38.5995988647509,0.0,61.14732485856977,137.02777777777777,12.708796296296315,0,15.358125156404268
495.21695,6000.0,6.7773245640846564,44.62334047540502,0.0,142.28479631791043,164.60481450648734,6.103623954064112,1,27.82658391479959
469.1529,4000.0,6.982558460469703,45.34302270903999,0.0,228.01444725682518,148.89712860258598,4.666666666666668,2,37.094355283207676
469.1529,4000.0,7.536580180110156,46.606577820910914,0.0,325.280475822178,168.29590845864632,6.510280463012028,3,45.14948506458956
469.1529,6000.0,7.853296376319609,47.67791579629978,0.0,434.1413637312523,150.17514029874692,4.666666666666668,4,53.753685350190565
495.21695,3059.0,8.354382400831312,47.93722125925452,0.0,535.1273076859405,169.9683305280974,15.994326370331105,5,61.59435312455821
469.1529,4170.209051924965,8.509338520807148,48.27990442885418,0.0,640.6341748727278,150.19797580612104,4.666666666666666,6,70.30132251075705
469.1529,3351.613127481574,8.646865818498938,47.91840146199722,0.0,739.164249278119,168.97358470862557,14.177441749509601,7,78.00992895802574
495.21695,3562.5,8.290280444537752,47.5469874292707,0.0,829.7766403842633,148.91726184521187,4.666666666666667,8,85.9207219287271
469.1529,6000.0,7.756995026763145,46.59163739001242,0.0,920.1823146742953,165.65197920127218,6.103623954064112,9,92.13261246030378
