computation_time_sec,coordination_iterations,coupling_residual,leader_candidate_count,solver_converged,solver_evaluations,step
0.5751486000008299,5.0,0.0007601981537951048,0.0,1.0,55.0,0
0.6085861000028672,5.0,0.0006406726095604586,0.0,1.0,55.0,1
0.5923762999991595,6.0,0.00031501349719293494,0.0,1.0,66.0,2
0.5883567000018957,5.0,0.0009169027169779819,0.0,1.0,55.0,3
0.5892282999993768,5.0,0.0006268208011401173,0.0,1.0,55.0,4
0.6042692999981227,5.0,0.0006470909806020842,0.0,1.0,55.0,5
0.5885755000017525,5.0,0.00030139357099056587,0.0,1.0,55.0,6
0.5822533999998996,5.0,0.00043162060278728354,0.0,1.0,55.0,7
0.59010390000185,5.0,0.00027855028523707655,0.0,1.0,55.0,8
0.5747169999995094,5.0,0.0009722770524384757,0.0,1.0,55.0,9
0.5816594999996596,5.0,0.0006435782450084477,0.0,1.0,55.0,10
0.6149429000033706,5.0,0.00027375298825592365,0.0,1.0,55.0,11
0.5912716999991972,6.0,0.0002777717650479624,0.0,1.0,66.0,12
0.5949877999992168,1.0,0.0,0.0,1.0,11.0,13
0.5641085999995994,1.0,0.0,0.0,1.0,11.0,14
0.5770013999972434,1.0,0.0,0.0,1.0,11.0,15
0.5710386999999173,1.0,0.0,0.0,1.0,11.0,16
0.6174793000027421,1.0,0.0,0.0,1.0,11.0,17
0.559193499997491,1.0,0.0,0.0,1.0,11.0,18
0.5959667999995872,1.0,0.0,0.0,1.0,11.0,19
0.558495799999946,1.0,0.0,0.0,1.0,11.0,20
0.5959365999988222,1.0,0.0,0.0,1.0,11.0,21
0.5874186000000918,1.0,0.0,0.0,1.0,11.0,22
0.5594894999994722,1.0,0.0,0.0,1.0,11.0,23
0.5897226999986742,1.0,0.0,0.0,1.0,11.0,24
0.5814687999991293,1.0,0.0,0.0,1.0,11.0,25
0.5666289000000688,1.0,0.0,0.0,1.0,11.0,26
0.5894384999992326,1.0,0.0,0.0,1.0,11.0,27
0.6067089999996824,1.0,0.0,0.0,1.0,11.0,28
0.5787157999984629,1.0,0.0,0.0,1.0,11.0,29
0.564189599997917,1.0,0.0,0.0,1.0,11.0,30
0.588413400000718,1.0,0.0,0.0,1.0,11.0,31
0.5808792000025278,1.0,0.0,0.0,1.0,11.0,32
0.5727034999981697,1.0,0.0,0.0,1.0,11.0,33
0.5534359000012046,1.0,0.0,0.0,1.0,11.0,34
0.5534000000006927,1.0,0.0,0.0,1.0,11.0,35
0.5599306000003708,1.0,0.0,0.0,1.0,11.0,36
0.5648317999985011,1.0,0.0,0.0,1.0,11.0,37
0.5652184999999008,1.0,0.0,0.0,1.0,11.0,38
0.5720607000002929,1.0,0.0,0.0,1.0,11.0,39
