computation_time_sec,leader_candidate_count,solver_converged,solver_evaluations,step
12.841772399999172,0.0,1.0,80.0,0
13.17379129999972,0.0,1.0,80.0,1
13.210582700001396,0.0,1.0,80.0,2
13.368361699998786,0.0,1.0,80.0,3
14.012918399999762,0.0,1.0,80.0,4
13.10747519999859,0.0,1.0,80.0,5
13.004003600002761,0.0,1.0,80.0,6
12.888461200000165,0.0,1.0,80.0,7
13.384596600000805,0.0,1.0,80.0,8
13.744084199999634,0.0,1.0,80.0,9
14.086755100001028,0.0,1.0,80.0,10
13.680524700001115,0.0,1.0,80.0,11
13.625607400001172,0.0,1.0,80.0,12
13.81394790000195,0.0,1.0,80.0,13
13.161271600001783,0.0,1.0,80.0,14
13.232361899998068,0.0,1.0,80.0,15
13.264862199997879,0.0,1.0,80.0,16
12.975913499998569,0.0,1.0,80.0,17
13.069808599997486,0.0,1.0,80.0,18
13.439097599999513,0.0,1.0,80.0,19
13.535254899998108,0.0,1.0,80.0,20
13.197381299996778,0.0,1.0,80.0,21
13.242162700000335,0.0,1.0,80.0,22
13.19555059999766,0.0,1.0,80.0,23
13.18533209999805,0.0,1.0,80.0,24
13.242235300000175,0.0,1.0,80.0,25
13.359859100000904,0.0,1.0,80.0,26
13.310859500001243,0.0,1.0,80.0,27
13.663450500000181,0.0,1.0,80.0,28
13.753905999998096,0.0,1.0,80.0,29
13.704727799999091,0.0,1.0,80.0,30
13.98687919999793,0.0,1.0,80.0,31
13.299662199999148,0.0,1.0,80.0,32
13.181977799999004,0.0,1.0,80.0,33
12.673051000001578,0.0,1.0,80.0,34
12.842959199999314,0.0,1.0,80.0,35
13.250552100002096,0.0,1.0,80.0,36
13.309618900002533,0.0,1.0,80.0,37
13.087942199999816,0.0,1.0,80.0,38
13.535587200000009,0.0,1.0,80.0,39
