computation_time_sec,coordination_iterations,coupling_residual,leader_candidate_count,solver_converged,solver_evaluations,step
0.5643291999986104,6.0,0.0002366898523660739,0.0,1.0,66.0,0
0.5742738000008103,5.0,0.0007596205192261135,0.0,1.0,55.0,1
0.6059139000026335,6.0,0.00043493078945786555,0.0,1.0,66.0,2
0.5951935000011872,5.0,0.0007141782037908862,0.0,1.0,55.0,3
0.6372205000006943,6.0,0.00021935802879133424,0.0,1.0,66.0,4
0.5940685999994457,5.0,0.0007530480942862206,0.0,1.0,55.0,5
0.5954129999990982,5.0,0.00023730750971165997,0.0,1.0,55.0,6
0.6178522000009252,5.0,0.0009381651391468608,0.0,1.0,55.0,7
0.6138305000022228,5.0,0.0002266973930044834,0.0,1.0,55.0,8
0.5966093999995792,5.0,0.00021669902842497298,0.0,1.0,55.0,9
0.6092915999979596,5.0,0.0005873474518769089,0.0,1.0,55.0,10
0.5950613999993948,5.0,0.0002196417240776137,0.0,1.0,55.0,11
0.5781610000012734,1.0,0.0,0.0,1.0,11.0,12
0.5728275000001304,1.0,0.0,0.0,1.0,11.0,13
0.5574081999984628,1.0,0.0,0.0,1.0,11.0,14
0.5744677000002412,1.0,0.0,0.0,1.0,11.0,15
0.5946967000018049,1.0,0.0,0.0,1.0,11.0,16
0.5883666000008816,1.0,0.0,0.0,1.0,11.0,17
0.5946482999970613,1.0,0.0,0.0,1.0,11.0,18
0.6139227999992727,1.0,0.0,0.0,1.0,11.0,19
0.5781107999973756,1.0,0.0,0.0,1.0,11.0,20
0.6072468000020308,1.0,0.0,0.0,1.0,11.0,21
0.5634728999975778,1.0,0.0,0.0,1.0,11.0,22
0.5730140999985451,1.0,0.0,0.0,1.0,11.0,23
0.589476500001183,1.0,0.0,0.0,1.0,11.0,24
0.573241499998403,1.0,0.0,0.0,1.0,11.0,25
0.5625732999978936,1.0,0.0,0.0,1.0,11.0,26
0.5842627000020002,1.0,0.0,0.0,1.0,11.0,27
0.5558724000002258,1.0,0.0,0.0,1.0,11.0,28
0.583458500001143,1.0,0.0,0.0,1.0,11.0,29
0.564671799998905,1.0,0.0,0.0,1.0,11.0,30
0.5701609999996435,1.0,0.0,0.0,1.0,11.0,31
0.5646138000010978,1.0,0.0,0.0,1.0,11.0,32
0.5703342999986489,1.0,0.0,0.0,1.0,11.0,33
0.570387200001278,1.0,0.0,0.0,1.0,11.0,34
0.5628203999985999,1.0,0.0,0.0,1.0,11.0,35
0.5541076000008616,1.0,0.0,0.0,1.0,11.0,36
0.580017799999041,1.0,0.0,0.0,1.0,11.0,37
0.5518021999996563,1.0,0.0,0.0,1.0,11.0,38
0.562692400002561,1.0,0.0,0.0,1.0,11.0,39
