computation_time_sec,leader_candidate_count,solver_converged,solver_evaluations,step
13.947974599999725,0.0,1.0,80.0,0
13.568206500000088,0.0,1.0,80.0,1
13.377652299997862,0.0,1.0,80.0,2
13.436426600001141,0.0,1.0,80.0,3
13.189786400002049,0.0,0.0,80.0,4
13.418859999997949,0.0,1.0,80.0,5
13.841021000000183,0.0,1.0,80.0,6
13.650762799999939,0.0,1.0,80.0,7
13.78271339999992,0.0,1.0,80.0,8
14.150019199998496,0.0,1.0,80.0,9
14.078185800000938,0.0,1.0,80.0,10
13.978549800001929,0.0,1.0,80.0,11
14.138007800000196,0.0,1.0,80.0,12
14.467160799998965,0.0,1.0,80.0,13
14.950786999997945,0.0,1.0,80.0,14
14.332374300000083,0.0,1.0,80.0,15
14.615509300001577,0.0,1.0,80.0,16
14.688234100001864,0.0,1.0,80.0,17
13.99183610000182,0.0,1.0,80.0,18
13.438697900000989,0.0,1.0,80.0,19
13.53733260000081,0.0,1.0,80.0,20
13.89165420000063,0.0,1.0,80.0,21
13.80207370000062,0.0,1.0,80.0,22
13.974755299997923,0.0,1.0,80.0,23
14.07548499999757,0.0,1.0,80.0,24
13.838057700002537,0.0,1.0,80.0,25
14.226081899996643,0.0,1.0,80.0,26
13.868405600002006,0.0,1.0,80.0,27
13.680443000001105,0.0,1.0,80.0,28
13.895508300000074,0.0,1.0,80.0,29
14.323811399997794,0.0,1.0,80.0,30
14.241384299999481,0.0,1.0,80.0,31
14.247821599998133,0.0,1.0,80.0,32
14.507813800002623,0.0,1.0,80.0,33
13.960676499998954,0.0,1.0,80.0,34
13.842747800001234,0.0,1.0,80.0,35
13.216079199999513,0.0,1.0,80.0,36
13.223902699999599,0.0,1.0,80.0,37
13.408647699998255,0.0,1.0,80.0,38
13.196068400000513,0.0,1.0,80.0,39
