computation_time_sec,coordination_iterations,coupling_residual,leader_candidate_count,leader_objective,solver_converged,solver_evaluations,step
0.0004898000006505754,1.0,0.0,0.0,0.0,1.0,41.0,0
0.00034220000088680536,1.0,0.0,0.0,0.0,1.0,41.0,1
0.00033059999987017363,1.0,0.0,0.0,0.0,1.0,41.0,2
0.00033150000308523886,1.0,0.0,0.0,0.0,1.0,41.0,3
0.0003904000004695263,1.0,0.0,0.0,0.0,1.0,41.0,4
0.0003635000030044466,1.0,0.0,0.0,0.0,1.0,41.0,5
0.0003476000019873027,1.0,0.0,0.0,0.0,1.0,41.0,6
0.00032869999995455146,1.0,0.0,0.0,0.0,1.0,41.0,7
0.0005970000020170119,1.0,0.0,0.0,0.0,1.0,41.0,8
0.0003259999975853134,1.0,0.0,0.0,0.0,1.0,41.0,9
0.000338400001055561,1.0,0.0,0.0,0.0,1.0,41.0,10
0.0003361999988555908,1.0,0.0,0.0,0.0,1.0,41.0,11
0.0003385999989404809,1.0,0.0,0.0,0.0,1.0,41.0,12
0.0005498999998962972,1.0,0.0,0.0,0.0,1.0,41.0,13
0.0003409000019019004,1.0,0.0,0.0,0.0,1.0,41.0,14
0.0003451000011409633,1.0,0.0,0.0,0.0,1.0,41.0,15
0.0003313999986858107,1.0,0.0,0.0,0.0,1.0,41.0,16
0.0003381000024091918,1.0,0.0,0.0,0.0,1.0,41.0,17
0.0004487999976845458,1.0,0.0,0.0,0.0,1.0,41.0,18
0.00033989999792538583,1.0,0.0,0.0,0.0,1.0,41.0,19
0.0003339000031701289,1.0,0.0,0.0,0.0,1.0,41.0,20
0.00032789999750093557,1.0,0.0,0.0,0.0,1.0,41.0,21
0.00032669999927747995,1.0,0.0,0.0,0.0,1.0,41.0,22
0.000338400001055561,1.0,0.0,0.0,0.0,1.0,41.0,23
0.00034589999995660037,1.0,0.0,0.0,0.0,1.0,41.0,24
0.0003333999993628822,1.0,0.0,0.0,0.0,1.0,41.0,25
0.0003383999974175822,1.0,0.0,0.0,0.0,1.0,41.0,26
0.0004852999991271645,1.0,0.0,0.0,0.0,1.0,41.0,27
0.00033460000122431666,1.0,0.0,0.0,0.0,1.0,41.0,28
0.0003226999979233369,1.0,0.0,0.0,0.0,1.0,41.0,29
0.0003349999969941564,1.0,0.0,0.0,0.0,1.0,41.0,30
0.00033340000300086103,1.0,0.0,0.0,0.0,1.0,41.0,31
0.0003371999991941266,1.0,0.0,0.0,0.0,1.0,41.0,32
0.0004025000016554259,1.0,0.0,0.0,0.0,1.0,41.0,33
0.00035659999775816686,1.0,0.0,0.0,0.0,1.0,41.0,34
0.0003510000024107285,1.0,0.0,0.0,0.0,1.0,41.0,35
0.0005834000003233086,1.0,0.0,0.0,0.0,1.0,41.0,36
0.00033350000012433156,1.0,0.0,0.0,0.0,1.0,41.0,37
0.00034779999987222254,1.0,0.0,0.0,0.0,1.0,41.0,38
0.0003375999986019451,1.0,0.0,0.0,0.0,1.0,41.0,39
