computation_time_sec,controller_id,solver_converged_rate,solver_evaluations
0.01,WU-CD-F,1.0,1640.0
58.05,WU-MATCHED-STACKELBERG,1.0,15840.0
533.65,WU-CC-F,1.0,3200.0
23.25,PROPOSED-FOLLOWERS-ONLY,1.0,1034.0
499.52,PROPOSED-STACKELBERG,1.0,40464.0
515.76,PROPOSED-CENTRALIZED,0.925,3200.0
