authority_group,authority_ok,authority_violations,average_delay_per_completed_vehicle_h,centralized,completed_vehicles,computation_time_sec,controller_id,free_flow_reference_freeway_ttt,free_flow_reference_total_ttt,free_flow_reference_urban_ttt,freeway_delay,freeway_ttt,leader_enabled,network_throughput_veh_h,solver_converged_rate,solver_evaluations,terminal_freeway_vehicles,terminal_onramp_vehicles,terminal_total_vehicles,terminal_urban_vehicles,total_delay,total_ttt,urban_delay,urban_ttt
wu,True,,0.545689,False,17706.9,0.01,WU-CD-F,184.502,1039.272,854.77,3237.441,3421.943,False,8853.5,1.0,1640.0,1251.9,7883.8,10721.2,8749.3,9662.465,10701.738,6425.025,7279.795
wu,True,,0.545048,False,17720.5,58.05,WU-MATCHED-STACKELBERG,184.502,1039.272,854.77,3237.441,3421.943,True,8860.2,1.0,15840.0,1251.9,7885.5,10707.6,8735.8,9658.522,10697.794,6421.081,7275.851
wu,True,,0.316394,True,20025.9,533.65,WU-CC-F,184.502,1039.272,854.77,2022.959,2207.461,False,10012.9,1.0,3200.0,1249.1,6292.2,8402.3,6433.2,6336.067,7375.339,4313.108,5167.878
proposed,True,,0.534509,False,17906.7,23.25,PROPOSED-FOLLOWERS-ONLY,184.502,1039.272,854.77,3049.967,3234.469,False,8953.4,1.0,1034.0,1251.8,7657.2,10521.4,8549.6,9571.299,10610.572,6521.332,7376.103
proposed,True,,0.218685,False,23070.0,499.52,PROPOSED-STACKELBERG,184.502,1039.272,854.77,118.406,302.908,True,11535.0,1.0,40464.0,119.9,3621.0,5358.2,5227.4,5045.062,6084.334,4926.656,5781.426
proposed,True,,0.163951,True,24112.4,515.76,PROPOSED-CENTRALIZED,184.502,1039.272,854.77,114.636,299.138,False,12056.2,0.925,3200.0,121.0,3741.5,4315.7,4185.1,3953.247,4992.519,3838.611,4693.381
