computation_time_sec,controller_id,solver_converged_rate,solver_evaluations
0.01,WU-CD-F,1.0,1640.0
61.53,WU-MATCHED-STACKELBERG,1.0,15840.0
556.0,WU-CC-F,0.975,3200.0
23.44,PROPOSED-FOLLOWERS-ONLY,1.0,2409.0
499.29,PROPOSED-STACKELBERG,1.0,40464.0
526.79,PROPOSED-CENTRALIZED,0.925,3200.0
