N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_faithful_active,wu_faithful_np_bias_ratio,wu_faithful_np_cand_lambda,wu_faithful_np_cand_lambda_applied,wu_faithful_np_feasible_max,wu_faithful_np_feasible_min,wu_faithful_np_original_target,wu_faithful_np_pd_exit,wu_faithful_np_pd_iters,wu_faithful_np_pd_lam_entry,wu_faithful_np_pd_residual,wu_faithful_np_predictor_current_interval,wu_faithful_np_predictor_legacy,wu_faithful_np_predictor_mode_code,wu_faithful_np_predictor_phase_substep,wu_faithful_np_predictor_storage_aware,wu_faithful_np_projected_target,wu_faithful_np_projection_residual,wu_faithful_np_sum_nin,wu_faithful_np_target,wu_faithful_np_target_error
0.0,0.0,1.999997766688466e-05,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.8600025214254856e-05,0.0,0.0,0.0,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.6300007700920105e-05,0.0,0.0,0.0,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.5700003132224083e-05,0.0,0.0,0.0,0.0,3,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.6700010746717453e-05,0.0,0.0,0.0,0.0,4,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.8929012000444345,0.0,0.0,0.0,356.0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,459.6955537746088,0.0,459.6955537746088
0.0,0.0,2.3882839999860153,0.0,0.0,0.0,382.0,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,585.4302254696803,0.0,585.4302254696803
0.0,0.0,2.8202404000330716,0.0,0.0,0.0,411.0,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,749.4667282067793,0.0,749.4667282067793
0.0,0.0,2.7153491999488324,0.0,0.0,0.0,372.0,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,824.4189796638054,0.0,824.4189796638054
0.0,0.0,2.6492859999998473,0.0,0.0,0.0,360.0,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,875.3044209221073,0.0,875.3044209221073
0.0,0.0,2.761701899988111,0.0,0.0,0.0,369.0,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,855.6802214957743,0.0,855.6802214957743
0.0,0.0,3.003872500034049,0.0,0.0,0.0,402.0,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,798.3276269745927,0.0,798.3276269745927
0.0,0.0,3.059169300016947,0.0,0.0,0.0,426.0,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,788.0724780186781,0.0,788.0724780186781
0.0,0.0,3.0305187000194564,0.0,0.0,0.0,445.0,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,831.3462115585492,0.0,831.3462115585492
0.0,0.0,3.374017800029833,0.0,0.0,0.0,460.0,14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,942.781517469996,0.0,942.781517469996
0.0,0.0,2.852658199961297,0.0,0.0,0.0,422.0,15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,971.2332878651089,0.0,971.2332878651089
0.0,0.0,3.071603399992455,0.0,0.0,0.0,469.0,16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1051.9034064527962,0.0,1051.9034064527962
0.0,0.0,2.948388500022702,0.0,0.0,0.0,441.0,17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1133.301835380518,0.0,1133.301835380518
0.0,0.0,2.904478200012818,0.0,0.0,0.0,437.0,18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1294.7507740101855,0.0,1294.7507740101855
0.0,0.0,2.90193970000837,0.0,0.0,0.0,416.0,19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1393.2709541069005,0.0,1393.2709541069005
0.0,0.0,2.5404332000180148,0.0,0.0,0.0,399.0,20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1444.5839443552195,0.0,1444.5839443552195
0.0,0.0,3.0877425000071526,0.0,0.0,0.0,426.0,21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1495.9312684896177,0.0,1495.9312684896177
0.0,0.0,3.0762181999743916,0.0,0.0,0.0,448.0,22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1480.7491029260188,0.0,1480.7491029260188
0.0,0.0,3.4570605999906547,0.0,0.0,0.0,437.0,23,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1492.7409671176335,0.0,1492.7409671176335
0.0,0.0,3.211932199948933,0.0,0.0,0.0,441.0,24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1481.8366282915424,0.0,1481.8366282915424
0.0,0.0,3.192992599972058,0.0,0.0,0.0,430.0,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1505.8925938702353,0.0,1505.8925938702353
0.0,0.0,3.2006464000442065,0.0,0.0,0.0,424.0,26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1433.70100048873,0.0,1433.70100048873
0.0,0.0,3.1881259999936447,0.0,0.0,0.0,412.0,27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1336.8355373577942,0.0,1336.8355373577942
0.0,0.0,3.1839218999957666,0.0,0.0,0.0,421.0,28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1156.2749711987242,0.0,1156.2749711987242
0.0,0.0,3.0665669000009075,0.0,0.0,0.0,395.0,29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1087.224677907158,0.0,1087.224677907158
0.0,0.0,2.999418599996716,0.0,0.0,0.0,387.0,30,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,933.878747326409,0.0,933.878747326409
0.0,0.0,2.5729893000097945,0.0,0.0,0.0,361.0,31,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,840.0713308047691,0.0,840.0713308047691
0.0,0.0,2.5425664000213146,0.0,0.0,0.0,355.0,32,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,812.6131547146758,0.0,812.6131547146758
0.0,0.0,2.442447600013111,0.0,0.0,0.0,335.0,33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,773.5406263869942,0.0,773.5406263869942
0.0,0.0,2.4287026000092737,0.0,0.0,0.0,365.0,34,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,717.6920055090457,0.0,717.6920055090457
0.0,0.0,2.4499233000096865,0.0,0.0,0.0,367.0,35,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,678.2944689092027,0.0,678.2944689092027
0.0,0.0,2.351836199988611,0.0,0.0,0.0,340.0,36,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,622.4457990919481,0.0,622.4457990919481
0.0,0.0,2.442058700020425,0.0,0.0,0.0,360.0,37,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,539.2351965107201,0.0,539.2351965107201
0.0,0.0,2.5381542000104673,0.0,0.0,0.0,377.0,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,422.8695607362107,0.0,422.8695607362107
0.0,0.0,2.440001900016796,0.0,0.0,0.0,335.0,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,365.2399300910966,0.0,365.2399300910966
0.0,0.0,2.688927999988664,0.0,0.0,0.0,350.0,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,275.88698144099556,0.0,275.88698144099556
0.0,0.0,2.4286519999732263,0.0,0.0,0.0,313.0,41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,238.953989464441,0.0,238.953989464441
0.0,0.0,2.570270799973514,0.0,0.0,0.0,346.0,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,158.8927409231621,0.0,158.8927409231621
