computation_time_sec,leader_candidate_count,solver_converged,solver_evaluations,step
13.776246299999912,0.0,1.0,80.0,0
13.461046699998406,0.0,1.0,80.0,1
13.124594000000798,0.0,1.0,80.0,2
13.064532000000327,0.0,1.0,80.0,3
13.042183699999441,0.0,1.0,80.0,4
13.22415109999929,0.0,1.0,80.0,5
13.686482200002501,0.0,1.0,80.0,6
13.486175900001399,0.0,1.0,80.0,7
13.5686953000004,0.0,1.0,80.0,8
13.546516500002326,0.0,1.0,80.0,9
13.626451600001019,0.0,1.0,80.0,10
14.071157700000185,0.0,1.0,80.0,11
14.2946755999983,0.0,1.0,80.0,12
14.153280700000323,0.0,1.0,80.0,13
14.094663200001378,0.0,1.0,80.0,14
14.194155900000624,0.0,1.0,80.0,15
14.51421780000237,0.0,1.0,80.0,16
14.358668699998816,0.0,1.0,80.0,17
14.381351500000164,0.0,1.0,80.0,18
13.254662399998779,0.0,1.0,80.0,19
13.539088300000003,0.0,1.0,80.0,20
13.23576029999822,0.0,1.0,80.0,21
13.47460080000019,0.0,1.0,80.0,22
13.45102709999992,0.0,1.0,80.0,23
14.02572119999968,0.0,1.0,80.0,24
13.70107260000077,0.0,1.0,80.0,25
13.757360299998254,0.0,1.0,80.0,26
13.763995900000737,0.0,1.0,80.0,27
13.820886800000153,0.0,1.0,80.0,28
13.691913499998918,0.0,1.0,80.0,29
14.497274500001367,0.0,1.0,80.0,30
13.781971399999748,0.0,1.0,80.0,31
14.379633500000637,0.0,1.0,80.0,32
13.97846440000285,0.0,1.0,80.0,33
13.50790059999781,0.0,1.0,80.0,34
13.829757600000448,0.0,1.0,80.0,35
13.594724400001724,0.0,1.0,80.0,36
13.001841199999035,0.0,1.0,80.0,37
13.220510499999364,0.0,1.0,80.0,38
12.991409499998554,0.0,1.0,80.0,39
