control,directional_accuracy,event_id,mediator_change,outcome_actual_ttt,outcome_counterfactual_ttt,outcome_gain,response_delay_intervals,shifted_subsystem_delta,status,t0_step,threshold,trigger_value
allocation_green,True,allocation_green_0,"{""delta_B_in"": -0.05923450664689258, ""delta_departures"": 364.3317885269164}",382.21412253760093,369.8829298293996,-12.331192708201343,0,-28.17597491167686,ACTIVATED_BUT_INEFFECTIVE,0,0.03,0.06291316098178595
offset,True,offset_1,"{""delta_urban_ttt_rate"": 0.0}",466.9070297816825,467.5400391027599,0.6330093210773953,0,-0.5864346874869568,CONGESTION_SHIFT,1,0.25,0.6360902906638776
offset,True,offset_3,"{""delta_urban_ttt_rate"": 0.0}",623.3454549897806,623.882735573949,0.5372805841684567,0,-0.22063857780764806,MECHANISM_REPRODUCED,3,0.25,0.2743666907699652
offset,True,offset_6,"{""delta_urban_ttt_rate"": 0.0}",865.1656597741726,867.0837464532626,1.9180866790900382,0,0.679736998583067,MECHANISM_REPRODUCED,6,0.25,0.26876049908120925
offset,True,offset_12,"{""delta_urban_ttt_rate"": 0.0}",1430.5567098064193,1432.6429198808773,2.086210074457995,0,0.9603451794423421,MECHANISM_REPRODUCED,12,0.25,0.4005277175618914
vsl,False,vsl_1,"{""delta_density_exceedance"": 3.0}",466.9070297816825,466.7007915533689,-0.20623822831362304,1,-0.21142816855613233,WRONG_DIRECTION,1,0.85,1.0
vsl,True,vsl_6,"{""delta_density_exceedance"": 0.0}",865.1656597741726,864.8110212466848,-0.3546385274877366,0,-0.3723057849376161,ACTIVATED_BUT_INEFFECTIVE,6,0.85,1.0
vsl,False,vsl_12,"{""delta_density_exceedance"": 6.5}",1430.5567098064193,1430.4707888087273,-0.08592099769202832,1,-0.08875546910403642,WRONG_DIRECTION,12,0.85,1.0
vsl,False,vsl_17,"{""delta_density_exceedance"": 31.25}",1924.5375007859557,1922.6909681616535,-1.846532624302199,1,-2.0104236697551485,WRONG_DIRECTION,17,0.85,1.0
metering,True,metering_2,"{""delta_receiving"": 0.00030468443187703365, ""delta_ramp_queue"": -13.01541209626971}",545.6349164172375,545.2521629562825,-0.382753460954973,0,-0.4041119259266637,ACTIVATED_BUT_INEFFECTIVE,2,0.15,0.2652794658460079
metering,True,metering_6,"{""delta_receiving"": 0.0, ""delta_ramp_queue"": -1.8742753570615633}",865.1656597741726,864.641896099288,-0.5237636748845489,0,-0.5622510957037576,ACTIVATED_BUT_INEFFECTIVE,6,0.15,0.2338934482275089
metering,True,metering_9,"{""delta_receiving"": 0.0, ""delta_ramp_queue"": 7.240541794922775}",1137.6943736053272,1136.3968321395841,-1.297541465743052,0,-1.3657175451140375,ACTIVATED_BUT_INEFFECTIVE,9,0.15,0.21996707801595206
metering,False,metering_13,"{""delta_receiving"": -0.0011856844774029707, ""delta_ramp_queue"": -1.815474487948169}",1528.452110599475,1526.7921973448692,-1.6599132546057263,0,-1.7576122898536468,WRONG_DIRECTION,13,0.15,0.24514424291206094
