challenged_event_count,congestion_shift_event_count,control,correctly_inactive_event_count,directional_accuracy,mean_outcome_gain_veh_h,mechanism_success_rate,outcome_success_rate,response_delay_mean_intervals,unnecessary_activation_rate
1,0,allocation_green,0,1.0,14.213180892558,1.0,1.0,0.0,0.0
4,0,offset,0,1.0,2.352695371875427,0.5,0.5,0.0,0.5
4,0,vsl,0,0.0,-0.44597970548267085,0.0,0.0,0.5,0.0
4,0,metering,0,0.25,-0.5421774675152022,0.0,0.0,0.0,0.25
