computation_time_sec,leader_candidate_count,solver_converged,solver_evaluations,step
12.753343100001075,0.0,1.0,80.0,0
12.992617899999459,0.0,0.0,80.0,1
13.080081000000064,0.0,0.0,80.0,2
13.08938230000058,0.0,1.0,80.0,3
13.124364200000855,0.0,1.0,80.0,4
12.958969200000865,0.0,1.0,80.0,5
12.855064499999571,0.0,1.0,80.0,6
12.64109549999921,0.0,1.0,80.0,7
12.625019999999495,0.0,1.0,80.0,8
12.674918299999263,0.0,1.0,80.0,9
12.668367599999328,0.0,0.0,80.0,10
12.68481040000188,0.0,0.0,80.0,11
12.936369099999865,0.0,1.0,80.0,12
12.944919199999276,0.0,1.0,80.0,13
12.887902100002975,0.0,0.0,80.0,14
12.714849099997082,0.0,1.0,80.0,15
12.704438099997788,0.0,1.0,80.0,16
12.838167599998997,0.0,1.0,80.0,17
12.75530770000114,0.0,1.0,80.0,18
12.91892690000168,0.0,1.0,80.0,19
13.041652100000647,0.0,1.0,80.0,20
13.239518499998667,0.0,1.0,80.0,21
13.081525800000236,0.0,1.0,80.0,22
13.100321200003236,0.0,1.0,80.0,23
13.06741350000084,0.0,1.0,80.0,24
12.788466699999844,0.0,1.0,80.0,25
12.779249399998662,0.0,1.0,80.0,26
12.645721199998661,0.0,1.0,80.0,27
12.56677800000034,0.0,1.0,80.0,28
12.803334699998231,0.0,1.0,80.0,29
12.900961400002416,0.0,1.0,80.0,30
12.975765199997113,0.0,1.0,80.0,31
12.909780499998305,0.0,1.0,80.0,32
12.92951720000201,0.0,1.0,80.0,33
12.787944600000628,0.0,1.0,80.0,34
12.767492799997854,0.0,1.0,80.0,35
12.760783099998662,0.0,1.0,80.0,36
12.819969600001059,0.0,1.0,80.0,37
12.834712899999431,0.0,1.0,80.0,38
13.161954800001695,0.0,1.0,80.0,39
