N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_faithful_active
0.0,0.0,2.700003096833825e-05,0.0,0.0,0.0,0.0,0,0.0
0.0,0.0,3.300001844763756e-05,0.0,0.0,0.0,0.0,1,0.0
0.0,0.0,1.6300007700920105e-05,0.0,0.0,0.0,0.0,2,0.0
0.0,0.0,1.6600009985268116e-05,0.0,0.0,0.0,0.0,3,0.0
0.0,0.0,1.71000137925148e-05,0.0,0.0,0.0,0.0,4,0.0
0.0,0.0,8.272324200021103,0.0,0.0,0.0,0.0,5,0.0
0.0,0.0,9.712399000010919,0.0,0.0,0.0,0.0,6,0.0
0.0,0.0,7.702104900032282,0.0,0.0,0.0,0.0,7,0.0
0.0,0.0,7.926009699993301,0.0,0.0,0.0,0.0,8,0.0
0.0,0.0,7.738198399951216,0.0,0.0,0.0,0.0,9,0.0
0.0,0.0,18.798012599989306,0.0,0.0,0.0,0.0,10,0.0
0.0,0.0,10.122413099976256,0.0,0.0,0.0,0.0,11,0.0
0.0,0.0,11.84473579999758,0.0,0.0,0.0,0.0,12,0.0
0.0,0.0,10.051270099997055,0.0,0.0,0.0,0.0,13,0.0
0.0,0.0,9.011466500000097,0.0,0.0,0.0,0.0,14,0.0
0.0,0.0,9.229600100021344,0.0,0.0,0.0,0.0,15,0.0
0.0,0.0,8.07650810002815,0.0,0.0,0.0,0.0,16,0.0
0.0,0.0,10.376872799999546,0.0,0.0,0.0,0.0,17,0.0
0.0,0.0,9.89335209998535,0.0,0.0,0.0,0.0,18,0.0
0.0,0.0,9.919096700032242,0.0,0.0,0.0,0.0,19,0.0
0.0,0.0,23.4944229000248,0.0,0.0,0.0,0.0,20,0.0
0.0,0.0,8.861818899982609,0.0,0.0,0.0,0.0,21,0.0
0.0,0.0,9.889384499983862,0.0,0.0,0.0,0.0,22,0.0
0.0,0.0,10.185837600030936,0.0,0.0,0.0,0.0,23,0.0
0.0,0.0,10.444408099981956,0.0,0.0,0.0,0.0,24,0.0
0.0,0.0,10.732980899978429,0.0,0.0,0.0,0.0,25,0.0
0.0,0.0,10.16210959997261,0.0,0.0,0.0,0.0,26,0.0
0.0,0.0,9.94571519998135,0.0,0.0,0.0,0.0,27,0.0
0.0,0.0,10.01041260000784,0.0,0.0,0.0,0.0,28,0.0
0.0,0.0,10.00652799999807,0.0,0.0,0.0,0.0,29,0.0
0.0,0.0,20.00738329999149,0.0,0.0,0.0,0.0,30,0.0
0.0,0.0,9.991318000014871,0.0,0.0,0.0,0.0,31,0.0
0.0,0.0,9.163005199981853,0.0,0.0,0.0,0.0,32,0.0
0.0,0.0,9.271241799986456,0.0,0.0,0.0,0.0,33,0.0
0.0,0.0,9.573384599993005,0.0,0.0,0.0,0.0,34,0.0
0.0,0.0,10.931818499986548,0.0,0.0,0.0,0.0,35,0.0
0.0,0.0,8.849797500006389,0.0,0.0,0.0,0.0,36,0.0
0.0,0.0,8.277396799996495,0.0,0.0,0.0,0.0,37,0.0
0.0,0.0,6.971087299985811,0.0,0.0,0.0,0.0,38,0.0
0.0,0.0,7.503870000015013,0.0,0.0,0.0,0.0,39,0.0
0.0,0.0,21.401565600011963,0.0,0.0,0.0,0.0,40,0.0
0.0,0.0,10.075156600039918,0.0,0.0,0.0,0.0,41,0.0
0.0,0.0,10.173556499998085,0.0,0.0,0.0,0.0,42,0.0
0.0,0.0,10.74224759999197,0.0,0.0,0.0,0.0,43,0.0
0.0,0.0,9.820663299993612,0.0,0.0,0.0,0.0,44,0.0
0.0,0.0,8.966050299990457,0.0,0.0,0.0,0.0,45,0.0
0.0,0.0,9.609508500027005,0.0,0.0,0.0,0.0,46,0.0
0.0,0.0,9.557948900037445,0.0,0.0,0.0,0.0,47,0.0
0.0,0.0,9.71577419998357,0.0,0.0,0.0,0.0,48,0.0
0.0,0.0,9.855480499973055,0.0,0.0,0.0,0.0,49,0.0
0.0,0.0,25.41910309996456,0.0,0.0,0.0,0.0,50,0.0
0.0,0.0,10.751592200016603,0.0,0.0,0.0,0.0,51,0.0
0.0,0.0,10.519857199979015,0.0,0.0,0.0,0.0,52,0.0
0.0,0.0,10.314636099967174,0.0,0.0,0.0,0.0,53,0.0
0.0,0.0,9.805343099986203,0.0,0.0,0.0,0.0,54,0.0
0.0,0.0,10.03733199997805,0.0,0.0,0.0,0.0,55,0.0
0.0,0.0,9.949997699994128,0.0,0.0,0.0,0.0,56,0.0
0.0,0.0,10.059231400024146,0.0,0.0,0.0,0.0,57,0.0
0.0,0.0,10.092986200004816,0.0,0.0,0.0,0.0,58,0.0
0.0,0.0,10.479447899968363,0.0,0.0,0.0,0.0,59,0.0
0.0,0.0,22.59421370003838,0.0,0.0,0.0,0.0,60,0.0
0.0,0.0,7.9085147000150755,0.0,0.0,0.0,0.0,61,0.0
0.0,0.0,8.26416360004805,0.0,0.0,0.0,0.0,62,0.0
0.0,0.0,10.363311199995223,0.0,0.0,0.0,0.0,63,0.0
0.0,0.0,10.082986599998549,0.0,0.0,0.0,0.0,64,0.0
0.0,0.0,10.133603399968706,0.0,0.0,0.0,0.0,65,0.0
0.0,0.0,10.287135599995963,0.0,0.0,0.0,0.0,66,0.0
0.0,0.0,10.564359200012404,0.0,0.0,0.0,0.0,67,0.0
0.0,0.0,10.923678400053177,0.0,0.0,0.0,0.0,68,0.0
0.0,0.0,10.805756599991582,0.0,0.0,0.0,0.0,69,0.0
0.0,0.0,23.825876100047026,0.0,0.0,0.0,0.0,70,0.0
0.0,0.0,9.896989900036715,0.0,0.0,0.0,0.0,71,0.0
0.0,0.0,9.941550299990922,0.0,0.0,0.0,0.0,72,0.0
0.0,0.0,10.37202419998357,0.0,0.0,0.0,0.0,73,0.0
0.0,0.0,9.619978000002448,0.0,0.0,0.0,0.0,74,0.0
0.0,0.0,9.77658300002804,0.0,0.0,0.0,0.0,75,0.0
0.0,0.0,9.958312100032344,0.0,0.0,0.0,0.0,76,0.0
0.0,0.0,10.026830699993297,0.0,0.0,0.0,0.0,77,0.0
0.0,0.0,9.914448399969842,0.0,0.0,0.0,0.0,78,0.0
0.0,0.0,10.190052299993113,0.0,0.0,0.0,0.0,79,0.0
