N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_faithful_active,wu_p15_auto_active_count,wu_p15_sat_D,wu_p15_sat_F
0.0,0.0,11.607150799944066,0.0,0.0,0.0,796.0,0,1.0,0.0,1.7701160714285713,1.822136904761905
0.0,0.0,11.89323070005048,0.0,0.0,0.0,803.0,1,1.0,0.0,1.0262015542328042,1.2356050925925928
0.0,0.0,11.891698300023563,0.0,0.0,0.0,806.0,2,1.0,0.0,0.9808074292707942,1.4332021613254071
0.0,0.0,11.943972400040366,0.0,0.0,0.0,810.0,3,1.0,0.0,0.9890695318341585,1.3975109576086167
0.0,0.0,11.616625200025737,0.0,0.0,0.0,806.0,4,1.0,0.0,1.1487785450288552,1.459301932537039
0.0,0.0,11.509776399936527,0.0,0.0,0.0,809.0,5,1.0,0.0,1.0199514862233252,1.06101898771503
0.0,0.0,11.528890699963085,0.0,0.0,0.0,807.0,6,1.0,0.0,1.0941046831191523,1.5955941135273441
0.0,0.0,11.635325500043109,0.0,0.0,0.0,814.0,7,1.0,0.0,0.9895087569517582,0.9972865433974439
0.0,0.0,11.406263299984857,0.0,0.0,0.0,814.0,8,1.0,0.0,1.0667566693256039,1.9235432235852232
0.0,0.0,11.402296500047669,0.0,0.0,0.0,806.0,9,1.0,0.0,0.9055415792182188,1.5397495546131503
0.0,0.0,11.379814799991436,0.0,0.0,0.0,812.0,10,1.0,0.0,1.0423358944780277,1.375752202035562
0.0,0.0,8.455024000024423,0.0,0.0,0.0,693.0,11,1.0,0.0,0.8284489282332701,1.2033868525913711
0.0,0.0,9.640770200057887,0.0,0.0,0.0,745.0,12,1.0,0.0,1.3422699936729756,1.25867379858952
0.0,0.0,11.548296799999662,0.0,0.0,0.0,816.0,13,1.0,0.0,1.4661703467334974,1.10698786535689
0.0,0.0,10.147109600016847,0.0,0.0,0.0,774.0,14,1.0,0.0,1.4960557149355376,1.645519550280023
0.0,0.0,11.464845700073056,0.0,0.0,0.0,812.0,15,1.0,0.0,1.4251818923671433,1.6147281305804768
0.0,0.0,11.445023999898694,0.0,0.0,0.0,814.0,16,1.0,0.0,1.5201017961304137,2.0893082309757176
0.0,0.0,11.931941699935123,0.0,0.0,0.0,823.0,17,1.0,0.0,1.4418315513609006,1.9236074291528953
0.0,0.0,11.946930700098164,0.0,0.0,0.0,818.0,18,1.0,0.0,1.6868113548973924,2.0459919889885305
0.0,0.0,11.718477699905634,0.0,0.0,0.0,816.0,19,1.0,0.0,1.4923371174085962,1.7814983980245416
