N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_faithful_active,wu_p15_auto_active_count,wu_p15_sat_D,wu_p15_sat_F
0.0,0.0,11.698942800052464,0.0,0.0,0.0,806.0,0,1.0,0.0,1.8475654761904763,1.8825119047619046
0.0,0.0,11.743113300064579,0.0,0.0,0.0,802.0,1,1.0,0.0,1.2784342592592592,1.1666595568783067
0.0,0.0,11.775260400027037,0.0,0.0,0.0,811.0,2,1.0,0.0,1.2953224988360763,1.2966669637982353
0.0,0.0,9.18787619995419,0.0,0.0,0.0,706.0,3,1.0,0.0,0.9901467582971522,1.5717341762979924
0.0,0.0,10.090396400075406,0.0,0.0,0.0,751.0,4,1.0,0.0,1.1705046910192747,1.1004197333746553
0.0,0.0,8.131757199997082,0.0,0.0,0.0,680.0,5,1.0,0.0,1.4507699886260776,1.0798302180219617
0.0,0.0,8.137622700072825,0.0,0.0,0.0,690.0,6,1.0,0.0,1.9671337996525609,1.5317284922876426
0.0,0.0,8.40947099996265,0.0,0.0,0.0,694.0,7,1.0,0.0,1.6750676054972145,1.8009272942482777
0.0,0.0,7.062969300081022,0.0,0.0,0.0,645.0,8,1.0,0.0,3.208051345603593,2.4445020391429706
0.0,0.0,7.74156629992649,0.0,0.0,0.0,663.0,9,1.0,0.0,2.8955662246172897,2.032196526315503
0.0,0.0,9.4506803000113,0.0,0.0,0.0,731.0,10,1.0,0.0,3.0654690249421432,2.802772239831771
0.0,0.0,5.328716599964537,0.0,0.0,0.0,580.0,11,1.0,0.0,2.599008161842217,2.6356098619902486
0.0,0.0,6.614475199952722,0.0,0.0,0.0,620.0,12,1.0,0.0,3.6363696394667695,2.4424798492365767
0.0,0.0,7.54286080005113,0.0,0.0,0.0,666.0,13,1.0,0.0,3.026568442546106,2.857195910386659
0.0,0.0,9.142797300009988,0.0,0.0,0.0,725.0,14,1.0,0.0,3.433954861373379,2.748303875900103
0.0,0.0,8.780691400053911,0.0,0.0,0.0,718.0,15,1.0,0.0,3.190492665103365,2.4095559186116247
0.0,0.0,8.499459799961187,0.0,0.0,0.0,704.0,16,1.0,0.0,3.4107762007312536,3.188767173679992
0.0,0.0,9.762067900039256,0.0,0.0,0.0,761.0,17,1.0,0.0,3.375652453775016,2.5505705590696586
0.0,0.0,8.500584000023082,0.0,0.0,0.0,705.0,18,1.0,0.0,4.271676226704873,1.8238957691215667
0.0,0.0,11.386861900100484,0.0,0.0,0.0,813.0,19,1.0,0.0,3.5145055194593797,2.0921688103073306
