N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_faithful_active,wu_p15_auto_active_count,wu_p15_sat_D,wu_p15_sat_F
0.0,0.0,11.85013770009391,0.0,0.0,0.0,800.0,0,1.0,0.0,1.7044,1.7622285714285713
0.0,0.0,11.876086400006898,0.0,0.0,0.0,809.0,1,1.0,0.0,0.9580066137566137,1.0160330687830688
0.0,0.0,11.72053239995148,0.0,0.0,0.0,805.0,2,1.0,0.0,0.7181845095326361,1.0447275220174106
0.0,0.0,11.466036200057715,0.0,0.0,0.0,803.0,3,1.0,0.0,0.6799491207722036,1.0408155022488554
0.0,0.0,11.339963100035675,0.0,0.0,0.0,800.0,4,1.0,0.0,0.7820667672764474,1.1588086059236586
0.0,0.0,11.422066100058146,0.0,0.0,0.0,803.0,5,1.0,0.0,0.7197836671673534,1.1874253154965657
0.0,0.0,11.357097000000067,0.0,0.0,0.0,806.0,6,1.0,0.0,0.8242757534934492,1.2308373616466364
0.0,0.0,11.377376399934292,0.0,0.0,0.0,801.0,7,1.0,0.0,0.7530690569660751,1.2819905495161243
0.0,0.0,11.393119400017895,0.0,0.0,0.0,811.0,8,1.0,0.0,0.8762753422684997,1.2736944287815803
0.0,0.0,11.271342599997297,0.0,0.0,0.0,800.0,9,1.0,0.0,0.820063033576456,0.9504638363188807
0.0,0.0,11.476920400047675,0.0,0.0,0.0,815.0,10,1.0,0.0,0.9001253295087458,1.374920693644206
0.0,0.0,11.391062200069427,0.0,0.0,0.0,805.0,11,1.0,0.0,0.8414390271825845,0.9638726648852932
0.0,0.0,11.383127999957651,0.0,0.0,0.0,804.0,12,1.0,0.0,0.9461125048827079,1.0617854385452932
0.0,0.0,11.387836699956097,0.0,0.0,0.0,813.0,13,1.0,0.0,0.8554007977812591,0.9798394645484783
0.0,0.0,11.492814900004305,0.0,0.0,0.0,813.0,14,1.0,0.0,0.9455204816555653,1.1471597186620197
0.0,0.0,11.841083500068635,0.0,0.0,0.0,811.0,15,1.0,0.0,0.8414550326858141,1.0381698590120314
0.0,0.0,11.805955599993467,0.0,0.0,0.0,812.0,16,1.0,0.0,0.9242549902144885,1.0642523986782069
0.0,0.0,11.600174599909224,0.0,0.0,0.0,816.0,17,1.0,0.0,0.7962329776440982,1.0487745973469278
0.0,0.0,11.651888700085692,0.0,0.0,0.0,812.0,18,1.0,0.0,0.8689616210314424,1.1172609618634075
0.0,0.0,11.890240099979565,0.0,0.0,0.0,814.0,19,1.0,0.0,0.7583760648167028,0.9822215006571533
