computation_time_sec,leader_candidate_count,solver_converged,solver_evaluations,step
13.342694500002835,0.0,1.0,80.0,0
13.407206299998506,0.0,1.0,80.0,1
13.328077099999064,0.0,1.0,80.0,2
13.291218200000003,0.0,0.0,80.0,3
13.202991899997869,0.0,1.0,80.0,4
13.264327999997477,0.0,0.0,80.0,5
13.233714099995268,0.0,1.0,80.0,6
13.231683600002725,0.0,1.0,80.0,7
13.280040599995118,0.0,1.0,80.0,8
13.219335800000408,0.0,1.0,80.0,9
13.260203899997578,0.0,1.0,80.0,10
13.274169299998903,0.0,1.0,80.0,11
13.310317899995425,0.0,1.0,80.0,12
13.235686800006079,0.0,1.0,80.0,13
13.323145300004398,0.0,1.0,80.0,14
13.261036500000046,0.0,1.0,80.0,15
13.230118400002539,0.0,1.0,80.0,16
13.361082600000373,0.0,1.0,80.0,17
13.346071699997992,0.0,1.0,80.0,18
13.308332600005087,0.0,1.0,80.0,19
