B_in,B_out,CV_boundary,MaxMin_boundary,OverflowRatio_boundary,boundary_balance_controllable,boundary_balance_degenerate,boundary_empty_ratio,boundary_in_empty_ratio,boundary_in_load_veh,boundary_in_saturation_ratio,boundary_out_empty_ratio,boundary_out_load_veh,boundary_out_saturation_ratio,boundary_out_sink_veh,boundary_saturation_ratio,buffer_down_end_rho_FW_E,buffer_down_end_rho_FW_W,buffer_down_max_rho_FW_E,buffer_down_max_rho_FW_W,buffer_up_max_rho_FW_E,buffer_up_max_rho_FW_W,capacity_drop_active,capacity_drop_lane_loss_FW_E_last,capacity_drop_lane_loss_FW_E_seg0,capacity_drop_lane_loss_FW_E_seg1,capacity_drop_lane_loss_FW_E_seg2,capacity_drop_lane_loss_FW_E_seg3,capacity_drop_lane_loss_FW_E_seg4,capacity_drop_lane_loss_FW_E_seg5,capacity_drop_lane_loss_FW_E_seg6,capacity_drop_lane_loss_FW_E_seg7,capacity_drop_lane_loss_FW_W_last,capacity_drop_lane_loss_FW_W_seg0,capacity_drop_lane_loss_FW_W_seg1,capacity_drop_lane_loss_FW_W_seg2,capacity_drop_lane_loss_FW_W_seg3,capacity_drop_lane_loss_FW_W_seg4,capacity_drop_lane_loss_FW_W_seg5,capacity_drop_lane_loss_FW_W_seg6,capacity_drop_lane_loss_FW_W_seg7,computation_time_sec,coupling_aggregate_urban_model,coupling_freeway_substeps,coupling_movement_urban_model,coupling_nested_order_active,coupling_offramp_arrivals_accepted_veh,coupling_offramp_arrivals_rejected_veh,coupling_offramp_storage_active,coupling_offramp_storage_ttt_moved_to_freeway,coupling_onramp_sync_active,coupling_onramp_two_reservoir_active,coupling_urban_substeps,cumulative_freeway_ttt,cumulative_total_ttt,cumulative_urban_ttt,density_exceedance_count,density_projection_count,inbound_service_veh,incident_lane_closure_active,lambda_eff_FW_E_last,lambda_eff_FW_E_seg0,lambda_eff_FW_E_seg1,lambda_eff_FW_E_seg2,lambda_eff_FW_E_seg3,lambda_eff_FW_E_seg4,lambda_eff_FW_E_seg5,lambda_eff_FW_E_seg6,lambda_eff_FW_E_seg7,lambda_eff_FW_W_last,lambda_eff_FW_W_seg0,lambda_eff_FW_W_seg1,lambda_eff_FW_W_seg2,lambda_eff_FW_W_seg3,lambda_eff_FW_W_seg4,lambda_eff_FW_W_seg5,lambda_eff_FW_W_seg6,lambda_eff_FW_W_seg7,mainline_exit_flow_total,mainline_origin_queue_total_veh,mean_ramp_receiving_factor,mean_segment_flow,metering_over_release_flow,metering_shortfall_flow,metering_target_infeasible,movement_queue_model_active,movement_queue_projection_protected_veh,movement_queue_projection_veh,net_inflow,net_inflow_target,net_inflow_tracking_error,nuf_target_flow,offramp_blocked_flow_FW_E,offramp_blocked_flow_FW_W,offramp_blocked_flow_OR_D_E,offramp_blocked_flow_OR_D_W,offramp_blocked_flow_OR_F_E,offramp_blocked_flow_OR_F_W,offramp_blocked_flow_total,offramp_departures_OR_D_E_veh,offramp_departures_OR_D_W_veh,offramp_departures_OR_F_E_veh,offramp_departures_OR_F_W_veh,offramp_departures_veh,offramp_flow_FW_E,offramp_flow_FW_W,offramp_flow_OR_D_E,offramp_flow_OR_D_W,offramp_flow_OR_F_E,offramp_flow_OR_F_W,offramp_flow_total,offramp_occupancy_ratio_OR_D_E,offramp_occupancy_ratio_OR_D_W,offramp_occupancy_ratio_OR_F_E,offramp_occupancy_ratio_OR_F_W,offramp_storage_binding,offramp_storage_occupancy_veh,offramp_storage_ttt,onramp_approach_queue_veh,onramp_arrivals_veh,onramp_green_release_request_veh,onramp_green_release_shortfall_veh,onramp_green_releases_veh,onramp_two_reservoir_active,outbound_service_veh,queue_overflow_count,ramp_metering_release_actual_R_D_E_veh,ramp_metering_release_actual_R_D_W_veh,ramp_metering_release_actual_R_F_E_veh,ramp_metering_release_actual_R_F_W_veh,ramp_metering_release_request_R_D_E_veh,ramp_metering_release_request_R_D_W_veh,ramp_metering_release_request_R_F_E_veh,ramp_metering_release_request_R_F_W_veh,ramp_metering_release_request_veh,ramp_metering_release_shortfall_R_D_E_veh,ramp_metering_release_shortfall_R_D_W_veh,ramp_metering_release_shortfall_R_F_E_veh,ramp_metering_release_shortfall_R_F_W_veh,ramp_metering_release_shortfall_veh,ramp_metering_releases_veh,ramp_queue_overflow_count,ramp_queue_veh,speed_projection_count,step,step_freeway_ttt,step_total_ttt,step_urban_ttt,time_sec,total_metering_error,total_metering_flow,total_no_meter_flow,total_ramp_queue_end_veh,total_ramp_queue_start_veh,urban_accumulation_abs_error_veh,urban_accumulation_error_veh,urban_accumulation_initial_error_veh,urban_accumulation_initial_veh,urban_accumulation_mean_veh,urban_accumulation_target_disabled,urban_accumulation_target_veh,urban_accumulation_veh,urban_demand_arrivals_veh,urban_gate_inflow_veh,urban_link_occupancy_veh,urban_net_inflow_target_veh,urban_net_inflow_target_veh_h,urban_net_inflow_tracking_error_veh_h,urban_storage_active,urban_storage_occupancy,urban_substep_active,urban_total_departures_veh,urban_total_vehicles_veh,urban_uncontrolled_node_movement_queue_veh,urban_uncontrolled_node_storage_occupancy_veh,urban_uncontrolled_node_ttt,urban_uncontrolled_node_vehicles_veh
0.11742961999699952,0.0006760411032990521,1.1736139884544934,8.076923076923078,0.0,1.0,0.0,0.42857142857142855,0.42857142857142855,23.333333333333336,0.0,0.0,10.033333333333335,0.0,93.564351782825,0.0,87.18538985543594,87.17034156760886,252.65501548399473,252.31680783698948,65.69602905275929,62.55148929163214,1.0,0.0,0.0,0.0,0.000419759579280828,0.0,0.0036658532239406405,0.0,0.0,0.0,0.0,0.0,0.0,0.0004196711102185915,0.0,0.0036263575146802734,0.0,0.0,0.0,2.1700048819184303e-05,0.0,18.0,1.0,1.0,61.801309178218446,0.0,1.0,0.19153930159428842,1.0,1.0,36.0,15.509161330867732,24.78662612764044,9.277464796772705,0.0,0.0,290.59512879596645,0.0,2.0,2.0,2.0,1.9995802404207192,2.0,1.9963341467760596,2.0,2.0,2.0,2.0,2.0,2.0,1.9995803288897815,2.0,1.9963736424853198,2.0,2.0,2.0,1846.825954141759,0.0,1.0,1681.7462855408917,1682.6146723646723,0.0,0.0,1.0,0.0,0.0,3174.573531067022,0.0,3174.573531067022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.380416330159015,11.351941710368088,18.795534366455676,18.650569722317,60.17846212929979,620.2454355650584,615.7807479993097,233.4735807795227,232.63042552862225,386.7718547855356,383.1503224706875,1236.026183564368,0.008061101876143005,0.008060544920776937,0.023180490973316842,0.02306146496775839,0.0,0.0,0.0,10.033333333333335,60.2,86.01709401709402,0.0,86.01709401709402,1.0,131.8664522426153,0.0,21.6892094017094,20.561431623931625,21.503935185185185,20.37615740740741,21.6892094017094,20.561431623931625,21.503935185185185,20.37615740740741,84.13073361823362,0.0,0.0,0.0,0.0,0.0,84.13073361823362,0.0,1.886360398860399,0.0,0,15.509161330867732,24.78662612764044,9.277464796772705,180.0,1682.6146723646723,1682.6146723646723,1682.6146723646725,1.886360398860399,0.0,0.0,0.0,0.0,160.9054774341026,131.74117701926227,1.0,0.0,161.18034966271446,113.75000000000001,213.88931623931626,134.9911135516034,0.0,0.0,3174.573531067022,1.0,134.9911135516034,1.0,480.14746437094055,194.5470163293812,0.0,78.81114962924144,2.232079466714366,78.81114962924144
0.19428571428571434,0.0006174549110405381,0.8034545947226569,5.416666666666668,0.0,0.0,1.0,0.5714285714285714,0.5714285714285714,14.583333333333336,0.0,0.0,14.644579104344729,0.0,121.34093520356927,0.0,172.24172632846768,168.96267468313218,173.46547277399694,170.15631551892804,68.4480623267096,65.13320581609909,1.0,0.0,0.0,0.0,0.0010009138728319532,0.0,0.0017330962707440894,0.0,0.0,0.0,0.0,0.0,0.0,0.0009091110987121923,0.0,0.0015502231642909254,0.0,0.0,0.0,1.8400023691356182e-05,0.0,18.0,1.0,1.0,36.99071183225423,0.0,1.0,0.21977574824661616,1.0,1.0,36.0,28.858440797889173,47.26733620600993,18.408895408120756,0.0,0.0,145.44314617350454,0.0,2.0,2.0,2.0,1.998999086127168,2.0,1.998266903729256,2.0,2.0,2.0,2.0,2.0,2.0,1.9990908889012877,2.0,1.998449776835709,2.0,2.0,2.0,4186.542284474524,0.0,1.0,1054.946139730428,1890.1663934533926,0.0,0.0,1.0,0.0,0.0,-1020.0243886520634,0.0,1020.0243886520634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.998766731089049,4.769005457485804,6.75408807443587,6.421285910493815,22.943146173504537,379.06820885230866,360.746027792776,161.23023244907935,153.73045648490884,217.83797640322928,207.01557130786716,739.8142366450846,0.01612257272187727,0.01536475390470934,0.021486941413787167,0.020284314708498268,0.0,13.026879675389495,0.018092888438040966,14.644579104344729,60.2,95.00562241403618,0.0,95.00562241403618,1.0,196.4443656061077,0.0,24.721133697529204,23.321133697529202,23.93302613880562,22.53302613880562,24.721133697529204,23.321133697529202,23.93302613880562,22.53302613880562,94.50831967266964,0.0,0.0,0.0,0.0,0.0,94.50831967266964,0.0,2.383663140226935,0.0,1,13.349279467021441,22.48071007836949,9.13143061134805,360.0,1890.1663934533926,1890.1663934533926,1890.1663934533926,2.383663140226935,1.8863603988603992,0.0,0.0,0.0,146.52894954816168,163.8623874537,1.0,0.0,145.86569244760088,113.75000000000001,109.44529914529917,120.6734528288703,0.0,0.0,1020.0243886520634,1.0,120.6734528288703,1.0,485.54112929978515,175.09360488527892,0.0,57.32979112352953,3.5618502012761937,57.32979112352953
0.11742961999699952,0.0007966327229156356,0.7572072822016056,8.076923076923078,0.0,1.0,0.0,0.42857142857142855,0.42857142857142855,23.333333333333336,0.0,0.0,13.049387122854544,0.0,129.6916123308613,0.0,110.44782396558068,104.50617482850552,122.54037678399618,116.0023510982948,68.49255471417706,65.17171547719343,1.0,0.0,0.0,0.0,0.0006524286396367213,0.0,0.0011157249748387807,0.0,0.0,0.0,0.0,0.0,0.0,0.000591265665778224,0.0,0.0009956130691443324,0.0,0.0,0.0,1.6600009985268116e-05,0.0,18.0,1.0,1.0,39.99932901654755,0.0,1.0,0.12868366960956334,1.0,1.0,36.0,41.393890437777806,68.19444526528561,26.8005548275078,0.0,0.0,158.31574464648673,0.0,2.0,2.0,2.0,1.9993475713603632,2.0,1.9988842750251612,2.0,2.0,2.0,2.0,2.0,2.0,1.9994087343342217,2.0,1.9990043869308556,2.0,2.0,2.0,2673.4836280921572,0.0,1.0,1133.6806890105477,1897.771048176367,0.0,0.0,1.0,0.0,0.0,-734.612850905784,0.0,734.612850905784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5336747350795,10.985476519158794,15.801673383192337,14.994920009056099,53.315744646486735,410.2589737345689,389.72760659638186,173.44266791802045,165.1836874375334,236.8163058165484,224.5439191588485,799.9865803309508,0.009404578412275542,0.008951548727927465,0.012303053733336592,0.011596041655839403,0.0,0.0,0.0,13.049387122854544,60.2,94.41794397084699,0.0,94.41794397084699,1.0,195.04638719177592,0.0,24.269833753134783,22.869833753134785,24.574442451274397,23.174442451274395,24.269833753134783,22.869833753134785,24.574442451274397,23.174442451274395,94.88855240881836,0.0,0.0,0.0,0.0,0.0,94.88855240881836,0.0,1.913054702255565,0.0,2,12.535449639888634,20.92710905927568,8.391659419387043,540.0,1897.771048176367,1897.771048176367,1897.771048176367,1.913054702255565,2.383663140226935,0.0,0.0,0.0,142.269694311894,147.5711526848673,1.0,0.0,141.8670727738684,113.75000000000001,98.47264957264959,112.29501786538253,0.0,0.0,734.612850905784,1.0,112.29501786538253,1.0,464.40359354363443,178.24979323005624,0.0,53.61787196753258,2.7278977024145874,53.61787196753258
0.19428571428571434,0.0005658422465729118,0.7948074244605322,5.416666666666668,0.0,0.0,1.0,0.5714285714285714,0.5714285714285714,14.583333333333336,0.0,0.0,15.276040756108149,0.0,118.04589542193663,0.0,116.00890838322191,109.5398276712694,121.7845902747465,115.05481968166806,68.49295728094562,65.1720432274067,1.0,0.0,0.0,0.0,0.001307927308759788,0.0,0.0022324300480206626,0.0,0.0,0.0,0.0,0.0,0.0,0.001185360351511375,0.0,0.0019897594305142955,0.0,0.0,0.0,1.7499958630651236e-05,0.0,18.0,1.0,1.0,39.95572219458021,0.0,1.0,0.25498597695245734,1.0,1.0,36.0,54.12875604434592,89.02812770620707,34.899371661861146,0.0,0.0,149.11714180510305,0.0,2.0,2.0,2.0,1.99869207269124,2.0,1.9977675699519795,2.0,2.0,2.0,2.0,2.0,2.0,1.9988146396484885,2.0,1.998010240569486,2.0,2.0,2.0,2805.627680489352,0.0,1.0,1126.0697400239706,1886.2148441873837,0.0,0.0,1.0,0.0,0.0,-836.6557039517143,0.0,836.6557039517143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.775580720244584,5.500552705131263,7.8740635515480175,7.466944828179175,26.61714180510304,409.7604329022469,389.3540109893571,173.1286016662876,164.8851034673143,236.63183123595934,224.46890752204277,799.114443891604,0.01883262868426537,0.01792592146000236,0.024672945191167483,0.023244872923660363,0.0,13.170793950788266,0.018292769376094815,15.276040756108149,60.2,94.81561431963253,0.0,94.81561431963253,1.0,190.94992700268875,0.0,24.4963454021967,23.0963454021967,24.059025702487897,22.6590257024879,24.4963454021967,23.0963454021967,24.059025702487897,22.6590257024879,94.3107422093692,0.0,0.0,0.0,0.0,0.0,94.3107422093692,0.0,2.417926812518899,0.0,3,12.734865606568116,20.833682440921464,8.098816834353347,720.0,1886.2148441873837,1886.2148441873837,1886.2148441873842,2.417926812518899,1.913054702255565,0.0,0.0,0.0,136.19248878620462,143.60073021458751,1.0,0.0,136.09605120414656,113.75000000000001,109.44529914529917,112.34952239711919,0.0,0.0,836.6557039517143,1.0,112.34952239711919,1.0,452.61747937288453,165.95542529358806,0.0,55.08014206060179,2.8043343610153606,55.08014206060179
0.11742961999699952,0.0007967969124534902,0.747745284268642,8.076923076923078,0.0,1.0,0.0,0.42857142857142855,0.42857142857142855,23.333333333333336,0.0,0.0,13.038421776262,0.0,122.22425530142623,0.0,114.75586615960843,108.26132723793815,120.96531351021373,114.28303123595414,68.49295558088497,65.17204179880022,1.0,0.0,0.0,0.0,0.0006536339091298817,0.0,0.0011052800877626846,0.0,0.0,0.0,0.0,0.0,0.0,0.0005923765864796174,0.0,0.0009848273188757866,0.0,0.0,0.0,1.750001683831215e-05,0.0,18.0,1.0,1.0,39.751117459914674,0.0,1.0,0.12843673434535283,1.0,1.0,36.0,66.65290087775838,109.77983643601615,43.12693555825777,0.0,0.0,158.10945106107113,0.0,2.0,2.0,2.0,1.99934636609087,2.0,1.9988947199122373,2.0,2.0,2.0,2.0,2.0,2.0,1.9994076234135203,2.0,1.9990151726811243,2.0,2.0,2.0,2778.1120436642223,0.0,1.0,1121.9437341085804,1863.6860949117665,0.0,0.0,1.0,0.0,0.0,-569.7428798696169,0.0,569.7428798696169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.550229745362188,11.000220636551944,15.686244129420235,14.87275654973677,53.10945106107114,407.7634776655707,387.2588715327231,173.38474317013092,165.12725525463682,234.37873449543974,222.13161627808626,795.0223491982938,0.009413850173506806,0.008960563853852115,0.012268411685088482,0.011555970798111574,0.0,0.0,0.0,13.038421776262,60.2,92.68555216152158,0.0,92.68555216152158,1.0,186.59659505455198,0.0,23.856943545088484,22.456943545088485,24.13520882770568,22.735208827705677,23.856943545088484,22.456943545088485,24.13520882770568,22.735208827705677,93.18430474558832,0.0,0.0,0.0,0.0,0.0,93.18430474558832,0.0,1.9191742284521556,0.0,4,12.52414483341247,20.751708729809096,8.227563896396628,900.0,1863.6860949117665,1863.6860949117665,1863.6860949117665,1.9191742284521556,2.417926812518899,0.0,0.0,0.0,142.09912570733223,144.81258920887558,1.0,0.0,141.7333137821149,113.75000000000001,98.47264957264959,112.19779383589307,0.0,0.0,569.7428798696169,1.0,112.19779383589307,1.0,453.629001445508,178.10506889171023,0.0,53.36590553403573,2.784758543394396,53.36590553403573
0.19428571428571434,0.0005615288430215193,0.7952538205319732,5.416666666666668,0.0,0.0,1.0,0.5714285714285714,0.5714285714285714,14.583333333333336,0.0,0.0,15.331395778423087,0.0,118.22502485383448,0.0,114.42772494477957,107.9503443506874,120.94863733444365,114.2549563784073,68.49295386526627,65.17204035665132,1.0,0.0,0.0,0.0,0.00130744469928443,0.0,0.0022123534532350795,0.0,0.0,0.0,0.0,0.0,0.0,0.0011849159500230504,0.0,0.0019712231395285404,0.0,0.0,0.0,2.0199979189783335e-05,0.0,18.0,1.0,1.0,39.911870201249755,0.0,1.0,0.25420017334447537,1.0,1.0,36.0,79.32497629480619,130.51754042892662,51.192564134120445,0.0,0.0,149.0553360625777,0.0,2.0,2.0,2.0,1.9986925553007155,2.0,1.9977876465467648,2.0,2.0,2.0,2.0,2.0,2.0,1.9988150840499772,2.0,1.9980287768604714,2.0,2.0,2.0,2767.889642740787,0.0,1.0,1123.7060957073618,1885.589215529659,0.0,0.0,1.0,0.0,0.0,-844.3163087841763,0.0,844.3163087841763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.774994019001234,5.49999396554832,7.843507196474929,7.4368408815532145,26.555336062577698,409.31617194898234,388.9212320760126,173.11442668635434,164.87196546252645,236.201745262628,224.0492666134861,798.2374040249949,0.01882906327665306,0.017922450250660513,0.024550350580149274,0.02312474102796435,0.0,13.167696265444292,0.018288467035339293,15.331395778423087,60.2,94.78033112333532,0.0,94.78033112333532,1.0,191.27115150178653,0.0,24.48758904691982,23.087589046919817,24.052141341321658,22.652141341321656,24.48758904691982,23.087589046919817,24.052141341321658,22.652141341321656,94.27946077648295,0.0,0.0,0.0,0.0,0.0,94.27946077648295,0.0,2.4200445753045265,0.0,5,12.672075417047813,20.73770399291049,8.065628575862679,1080.0,1885.589215529659,1885.589215529659,1885.589215529659,2.4200445753045265,1.9191742284521556,0.0,0.0,0.0,135.5713546638184,142.95385060287606,1.0,0.0,135.69031986535987,113.75000000000001,109.44529914529917,112.12427594143315,0.0,0.0,844.3163087841763,1.0,112.12427594143315,1.0,452.15959785815375,165.60504897711633,0.0,54.834951707823905,2.7843520807245876,54.834951707823905
0.11614439412769678,0.0008307031916646168,0.9482720441614957,18.120726495726494,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285,52.09375,0.0,0.0,25.97711924032135,0.0,146.3239546680939,0.0,115.37448389997539,108.86504574891461,140.33189242337534,132.68410515210107,149.47453231292815,142.06431583115292,1.0,0.0,0.0,0.0,0.0006506461715593979,0.0,0.001448826038896684,0.0,0.0,0.0,0.0,0.0,0.0,0.0005892989548192827,0.0,0.001283428222641356,0.0,0.0,0.0,1.910002902150154e-05,0.0,18.0,1.0,1.0,46.771844896581406,0.0,1.0,0.13979631607376866,1.0,1.0,36.0,96.15666740769501,158.87988268026982,62.72321527257479,0.0,0.0,271.41917665928156,0.0,2.0,2.0,2.0,1.9993493538284406,2.0,1.9985511739611033,2.0,2.0,2.0,2.0,2.0,2.0,1.999410701045181,2.0,1.9987165717773587,2.0,2.0,2.0,2783.173587401447,0.0,1.0,1389.9651084597708,3275.8878241876837,0.0,0.0,1.0,0.0,0.0,87.99967560970799,0.0,87.99967560970799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.186443159824059,11.612311415530435,17.903020179845395,16.977818570748358,58.67959332594825,479.16057399948426,456.2763239321439,191.75942438695796,182.97915044915746,287.4011496125263,273.2971734829864,935.4368979316282,0.009392955538861074,0.008939359553915298,0.014076720391273969,0.013217229877414114,0.0,0.0,0.0,25.97711924032135,132.44000000000003,165.01737692699277,0.0,165.01737692699277,1.0,267.01919287879616,0.0,42.30644708016762,39.59589152461207,42.30130408008003,39.59074852452448,42.30644708016762,39.59589152461207,42.30130408008003,39.59074852452448,163.7943912093842,0.0,0.0,0.0,0.0,0.0,163.7943912093842,0.0,3.6430302929131058,0.0,6,16.831691112888823,28.362342251343165,11.530651138454342,1260.0,3275.8878241876837,3275.8878241876837,3275.8878241876837,3.6430302929131058,2.4200445753045265,0.0,0.0,0.0,217.48101842859194,185.49932889941508,1.0,0.0,217.56244146765656,250.25,198.3794123931624,174.95157290752567,0.0,0.0,87.99967560970799,1.0,174.95157290752567,1.0,658.2540144173382,295.6333107079779,0.0,82.05373870000068,3.439157038939419,82.05373870000068
0.12936636021752446,0.001496663948724608,0.8529550972452892,18.56699074074074,0.0,1.0,0.0,0.0,0.0,58.594711538461546,0.0,0.0,53.886750552741915,0.0,220.91071951559022,0.0,159.19668388057937,150.9154339942469,232.9345927280263,220.6863721775706,241.65663809864571,228.79601313830733,1.0,0.0,0.0,0.0,0.005388737842137497,0.0,0.009557827438064092,0.0,0.0,0.0,0.0,0.0,0.0,0.004950384962584696,0.0,0.008676396622266935,0.0,0.0,0.0,1.6600009985268116e-05,0.0,18.0,1.0,1.0,83.57825157154387,0.0,1.0,0.524666789683286,1.0,1.0,36.0,125.10271316650244,206.7672722579164,81.66455909141396,0.0,0.0,431.1006999475957,0.0,2.0,2.0,2.0,1.9946112621578627,2.0,1.990442172561936,2.0,2.0,2.0,2.0,2.0,2.0,1.9950496150374153,2.0,1.991323603377733,2.0,2.0,2.0,3691.703320225787,0.0,1.0,2368.60727073145,5046.009220230387,0.0,0.0,1.0,0.0,0.0,117.42795903523984,0.0,117.42795903523984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.22538079869601,10.742714082137715,14.805262787036167,14.0783038181873,50.851661486057196,855.3880848416788,816.176946589199,367.6308388137797,351.8749680340379,487.75724602789916,464.30197855516116,1671.5650314308778,0.037595265481532074,0.03602349420314571,0.0504617385546135,0.048053115964771055,0.0,30.845829726406897,0.04284143017556514,53.886750552741915,204.68,265.78883151125814,0.0,265.78883151125814,1.0,425.2293019958337,0.0,64.82205507815944,62.23496998637921,63.40878983272188,61.834646114258796,64.82205507815944,62.23496998637921,63.40878983272188,61.834646114258796,252.30046101151933,0.0,0.0,0.0,0.0,0.0,252.30046101151933,0.0,17.131400792651917,0.0,7,28.94604575880743,47.88738957764661,18.94134381883918,1440.0,5046.009220230387,5046.009220230387,5046.009220230387,17.131400792651917,3.6430302929131058,0.0,0.0,0.0,338.9733584778311,295.10733542476123,1.0,0.0,338.7339590759849,386.75000000000006,339.77946581196585,293.6809922843803,0.0,0.0,117.42795903523984,1.0,293.6809922843803,1.0,1062.905032436069,451.21542116718837,0.0,138.17661399102528,5.687139628779125,138.17661399102528
0.1343875034989231,0.007999786874570924,0.9026867014158594,40.00000000000004,0.0,1.0,0.0,0.0,0.0,94.02847222222229,0.0,0.0,73.0552768190372,0.0,329.1409501500709,0.0,246.27426802790615,236.58540998027965,355.6126622935399,340.3112951153893,258.21378453376707,243.07813234249892,1.0,0.0,0.0,0.0,0.006128012900903158,0.0,0.009659916095792111,0.0,0.0,0.0,0.0,0.0,0.0,0.00568432994901834,0.0,0.008916696593867044,0.0,0.0,0.0,2.5999965146183968e-05,0.0,18.0,1.0,1.0,118.88693422666981,0.0,1.0,0.4399147809091137,1.0,1.0,36.0,165.4759123246554,273.0625263575759,107.58661403292048,0.0,0.0,499.5902687795599,0.0,2.0,2.0,2.0,1.9938719870990969,2.0,1.9903400839042078,2.0,2.0,2.0,2.0,2.0,2.0,1.9943156700509814,2.0,1.991083303406133,2.0,2.0,2.0,5436.865013547194,0.0,1.0,3268.0032631103504,5702.290375768813,0.0,0.0,1.0,0.0,0.0,-327.7868731563394,0.0,327.7868731563394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.12268131577295,31.797991958368023,42.393295654157846,40.960060535021846,148.27402946332066,1209.4924006124609,1168.246283920935,535.7913799726318,514.510373574674,673.701020639829,653.735910346261,2377.738684533396,0.029199851299751382,0.02795032287310345,0.03829766588921349,0.036450890223390014,0.0,0.0,0.0,73.0552768190372,204.68,278.6037111241714,0.0,278.6037111241714,1.0,515.9796124373769,0.0,73.47847867014026,71.59240513185624,71.51611061507458,68.52752437136955,73.47847867014026,71.59240513185624,71.51611061507458,68.52752437136955,285.11451878844065,0.0,0.0,0.0,0.0,0.0,285.11451878844065,0.0,10.620593128382637,0.0,8,40.373199158152964,66.29525409965949,25.92205494150652,1620.0,5702.290375768813,5702.290375768813,5702.290375768813,10.620593128382637,17.131400792651917,0.0,0.0,0.0,420.633222076871,399.28190544046606,1.0,0.0,416.0910403150095,386.75000000000006,329.12324786324785,321.714622842513,0.0,0.0,327.7868731563394,1.0,321.714622842513,1.0,1312.3456229744068,583.1747893562689,0.0,150.7565110379771,7.607146187278889,150.7565110379771
0.10363155194906326,0.009309336939453128,0.7518803883276001,23.879223646723748,0.0,1.0,0.0,0.0,0.0,75.64599358974368,0.0,0.0,96.51527122775437,0.0,371.483820157995,0.0,330.6840656400409,321.47229114198996,451.333494991946,432.87264138500655,260.89450191073144,245.16473208289528,1.0,0.0,0.0,0.0,0.014499691374721131,0.0,0.0235664007500309,0.0,0.0,0.0,0.0,0.0,0.0,0.013282005754114522,0.0,0.022190518363820737,0.0,0.0,0.0,2.3600005079060793e-05,0.0,18.0,1.0,1.0,130.5049180269398,0.0,1.0,0.8917841346624769,1.0,1.0,36.0,213.3389047484077,349.96818158483893,136.62927683643125,27.0,0.0,491.5681163432108,0.0,2.0,2.0,2.0,1.985500308625279,2.0,1.9764335992499693,2.0,2.0,2.0,2.0,2.0,2.0,1.9867179942458852,2.0,1.9778094816361795,2.0,2.0,2.0,6821.32852353,0.0,0.995979522062663,3552.794721119481,5747.175281265776,0.0,0.0,1.0,0.0,0.0,-2111.509744517689,0.0,2111.509744517689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.411188213594613,18.542711606342117,24.641732013475085,23.840005877320383,86.4356377107322,1330.668685733576,1279.42967480522,584.5808092657053,558.186715484353,746.0878764678706,721.2429593208668,2610.098360538796,0.06370570693033875,0.06073457618687417,0.082826238188327,0.08014007865570022,0.0,43.90786040669001,0.06098313945373613,96.51527122775437,204.68,300.9132471908413,0.0,300.9132471908413,1.0,597.1436035690953,0.0,74.45392646171598,71.7742725875855,70.95333333333333,70.177231680654,74.45392646171598,71.7742725875855,70.95333333333333,70.177231680654,287.3587640632888,0.0,0.0,0.0,0.0,0.0,287.3587640632888,0.0,24.175076255935068,0.0,9,47.862992423752296,76.90565522726307,29.04266280351077,1800.0,5747.175281265776,5747.175281265776,5747.175281265776,24.175076255935068,10.620593128382637,0.0,0.0,0.0,417.1777862290185,433.63823258702973,1.0,0.0,416.482094900671,386.75000000000006,360.74649572649577,341.4108914467072,0.0,0.0,2111.509744517689,1.0,341.4108914467072,1.0,1445.3360096006509,588.643359718169,0.0,160.56771510833858,8.039104884248784,160.56771510833858
