N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_faithful_active,wu_faithful_np_bias_ratio,wu_faithful_np_cand_lambda,wu_faithful_np_cand_lambda_applied,wu_faithful_np_feasible_max,wu_faithful_np_feasible_min,wu_faithful_np_original_target,wu_faithful_np_pd_exit,wu_faithful_np_pd_iters,wu_faithful_np_pd_lam_entry,wu_faithful_np_pd_residual,wu_faithful_np_predictor_current_interval,wu_faithful_np_predictor_legacy,wu_faithful_np_predictor_mode_code,wu_faithful_np_predictor_phase_substep,wu_faithful_np_predictor_storage_aware,wu_faithful_np_projected_target,wu_faithful_np_projection_residual,wu_faithful_np_sum_nin,wu_faithful_np_target,wu_faithful_np_target_error
0.0,0.0,1.4399993233382702e-05,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,2.440001117065549e-05,0.0,0.0,0.0,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.92999723367393e-05,0.0,0.0,0.0,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,3.0199997127056122e-05,0.0,0.0,0.0,0.0,3,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.880002673715353e-05,0.0,0.0,0.0,0.0,4,0.0,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.569151800009422,0.0,0.0,0.0,355.0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,460.3893061510179,0.0,460.3893061510179
0.0,0.0,1.678564900008496,0.0,0.0,0.0,363.0,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,564.0903605057863,0.0,564.0903605057863
0.0,0.0,1.9976913999998942,0.0,0.0,0.0,363.0,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,706.5280235050109,0.0,706.5280235050109
0.0,0.0,2.0455648000352085,0.0,0.0,0.0,353.0,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,807.4685487529941,0.0,807.4685487529941
0.0,0.0,2.276397400011774,0.0,0.0,0.0,352.0,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,832.1002662569035,0.0,832.1002662569035
