scenario,controller,baseline_ttt,controller_ttt,improvement_pct,urban_ttt,freeway_ttt
low_demand,PROPOSED-FOLLOWERS-ONLY,215.60864034298186,242.07926366175116,-12.277162583401509,194.0732628713308,48.006000790420345
low_demand,PROPOSED-STACKELBERG,215.60864034298186,251.8548074739566,-16.81109211268888,206.91613518199918,44.93867229195742
peak_demand,PROPOSED-FOLLOWERS-ONLY,792.374584206269,801.9202238811126,-1.2046877657497839,420.89930723836795,381.0209166427447
peak_demand,PROPOSED-STACKELBERG,792.374584206269,617.1951155289623,22.108163508649888,540.6228132704672,76.57230225849511
