B_in,B_out,CV_boundary,MaxMin_boundary,OverflowRatio_boundary,boundary_balance_controllable,boundary_balance_degenerate,boundary_empty_ratio,boundary_in_empty_ratio,boundary_in_load_veh,boundary_in_saturation_ratio,boundary_out_empty_ratio,boundary_out_load_veh,boundary_out_saturation_ratio,boundary_out_sink_veh,boundary_saturation_ratio,capacity_drop_active,capacity_drop_lane_loss_FW_E_last,capacity_drop_lane_loss_FW_W_last,coupling_aggregate_urban_model,coupling_freeway_substeps,coupling_movement_urban_model,coupling_nested_order_active,coupling_offramp_arrivals_accepted_veh,coupling_offramp_arrivals_rejected_veh,coupling_offramp_storage_active,coupling_onramp_sync_active,coupling_onramp_two_reservoir_active,coupling_urban_substeps,density_exceedance_count,density_projection_count,freeway_ttt,inbound_service_veh,lambda_eff_FW_E_last,lambda_eff_FW_W_last,mainline_exit_flow_total,mean_ramp_receiving_factor,mean_segment_flow,metering_over_release_flow,metering_shortfall_flow,metering_target_infeasible,movement_queue_model_active,movement_queue_projection_protected_veh,movement_queue_projection_veh,net_inflow,net_inflow_target,net_inflow_tracking_error,nuf_target_flow,offramp_blocked_flow_FW_E,offramp_blocked_flow_FW_W,offramp_blocked_flow_total,offramp_departures_OR_D_E_veh,offramp_departures_OR_D_W_veh,offramp_departures_OR_F_E_veh,offramp_departures_OR_F_W_veh,offramp_departures_veh,offramp_flow_FW_E,offramp_flow_FW_W,offramp_flow_total,offramp_occupancy_ratio_OR_D_E,offramp_occupancy_ratio_OR_D_W,offramp_occupancy_ratio_OR_F_E,offramp_occupancy_ratio_OR_F_W,offramp_storage_binding,onramp_approach_queue_veh,onramp_arrivals_veh,onramp_green_release_request_veh,onramp_green_release_shortfall_veh,onramp_green_releases_veh,onramp_two_reservoir_active,outbound_service_veh,queue_overflow_count,ramp_metering_release_actual_R_D_E_veh,ramp_metering_release_actual_R_D_W_veh,ramp_metering_release_actual_R_F_E_veh,ramp_metering_release_actual_R_F_W_veh,ramp_metering_release_request_R_D_E_veh,ramp_metering_release_request_R_D_W_veh,ramp_metering_release_request_R_F_E_veh,ramp_metering_release_request_R_F_W_veh,ramp_metering_release_request_veh,ramp_metering_release_shortfall_R_D_E_veh,ramp_metering_release_shortfall_R_D_W_veh,ramp_metering_release_shortfall_R_F_E_veh,ramp_metering_release_shortfall_R_F_W_veh,ramp_metering_release_shortfall_veh,ramp_metering_releases_veh,ramp_queue_overflow_count,ramp_queue_veh,speed_projection_count,step,time_sec,total_metering_error,total_metering_flow,total_no_meter_flow,total_ramp_queue_end_veh,total_ramp_queue_start_veh,urban_accumulation_abs_error_veh,urban_accumulation_error_veh,urban_accumulation_initial_error_veh,urban_accumulation_initial_veh,urban_accumulation_mean_veh,urban_accumulation_target_veh,urban_accumulation_veh,urban_demand_arrivals_veh,urban_gate_inflow_veh,urban_link_occupancy_veh,urban_net_inflow_target_veh_h,urban_net_inflow_tracking_error_veh_h,urban_storage_active,urban_storage_occupancy,urban_substep_active,urban_total_departures_veh,urban_total_vehicles_veh,urban_ttt
0.08755313640725335,0.003399188640069273,1.2156627522788621,24.082119407713993,0.0,1.0,0.0,0.0,0.0,76.10453958521444,0.0,0.0,56.4399120464529,0.0,32.27097962222204,0.0,1.0,0.0002993384906624868,0.00028601653571758145,0.0,18.0,1.0,1.0,40.212411659292215,0.0,1.0,1.0,1.0,36.0,0.0,0.0,5.750006268800144,372.6348968550082,1.9997006615093378,1.9997139834642823,5897.8203766961915,1.0,2978.699654408164,2754.7660552775237,0.0,0.0,1.0,0.0,0.0,3753.6771630454286,-195.58140235883846,3949.2585654042673,0.0,0.0,0.0,0.0,6.309154172810439,6.202892798968217,5.979325421143107,5.873064047300886,24.36443644022265,406.8625206543193,397.3857125315249,804.2482331858442,0.019384029912463036,0.01897364251250014,0.019384029912463036,0.01897364251250014,0.0,56.4399120464529,150.5,148.38785977802132,0.0,148.38785977802132,1.0,184.95103870273675,0.0,34.579861111111114,33.63585124478103,35.416666666666664,34.105923741317376,34.579861111111114,33.63585124478103,35.416666666666664,34.105923741317376,137.7383027638762,0.0,0.0,0.0,0.0,0.0,137.7383027638762,0.0,10.64955701414512,0.0,0,180.0,2754.7660552775237,2754.7660552775237,2754.7698092583432,10.64955701414512,0.0,299.51110082012343,299.51110082012343,293.3721035382577,293.3721035382577,181.84576663030637,0.0,299.51110082012343,284.37500000000006,317.59546591019813,273.65486793174705,-195.58140235883846,3949.2585654042673,1.0,273.65486793174705,1.0,590.6444975402957,432.05555245179073,15.18599496717956
0.058858469011806996,0.0045676900731485,0.6758358492061515,15.068105102164171,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285,62.97225047227651,0.0,0.0,123.92561385204381,0.0,150.4570008002539,0.0,1.0,0.0004641240015917431,0.0004403881161409378,0.0,18.0,1.0,1.0,44.453685714643,0.0,1.0,1.0,1.0,36.0,0.0,0.0,6.76419231428311,352.792213646894,1.9995358759984083,1.999559611883859,6519.873904814308,1.0,3206.728759932412,3439.6241229295188,0.0,0.0,1.0,0.0,0.0,778.8815384525251,-290.4035927371434,1069.2851311896684,0.0,0.0,0.0,0.0,6.935852248507496,6.717966425667981,11.279659826727089,11.018570322470826,35.95204882337339,449.8932451891059,439.18046910375426,889.0737142928602,0.025752989490602455,0.025083043994034757,0.025752989490602455,0.025083043994034757,0.0,123.92561385204381,160.73155268375453,167.62030643501237,5.551115123125783e-17,167.62030643501237,1.0,313.84813672426776,0.0,41.73214104705769,42.863191262683046,43.69297378149088,43.69290005524433,41.73214104705769,42.863191262683046,43.69297378149088,43.69290005524433,171.98120614647596,0.0,0.0,0.0,0.0,0.0,171.98120614647596,0.0,6.288657302681543,0.0,1,360.0,3439.6241229295188,3439.6241229295188,3441.7443886404417,6.288657302681543,10.64955701414512,435.82895332777736,435.82895332777736,435.6053891057151,435.6053891057151,387.7879906548207,0.0,435.82895332777736,303.70787571058264,288.17283352909465,392.6504593137908,-290.4035927371434,1069.2851311896684,1.0,392.6504593137908,1.0,893.331610170652,622.7268176520976,27.01126304663845
0.0684656020681623,0.003950869845878613,0.6679358699927821,16.701857995466305,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285,61.48383736626301,0.0,0.0,217.59373270758311,0.0,252.63884120747244,0.0,1.0,0.0005067076673877082,0.0004850778950305686,0.0,18.0,1.0,1.0,46.111874470250754,0.0,1.0,1.0,1.0,36.0,0.0,0.0,7.2309680344548894,373.7338447337903,1.999493292332612,1.9995149221049695,6763.074922303448,1.0,3324.9178185174965,3214.386634725164,0.0,0.0,1.0,0.0,0.0,-99.30577627835191,-303.3823823911007,204.07660611274878,0.0,0.0,0.0,0.0,15.259462609130082,14.923167801434532,10.596663080621866,10.317823290042506,51.09711678122898,466.33455282666523,455.9029365783504,922.2374894050156,0.02691170678332133,0.026330665197960672,0.02691170678332133,0.026330665197960672,0.0,217.59373270758311,169.96156970340377,167.72033242518702,0.0,167.72033242518702,1.0,378.6991335477079,0.0,39.010738238702906,39.11585001627587,41.4512288577473,41.141514623532125,39.010738238702906,39.11585001627587,41.4512288577473,41.141514623532125,160.71933173625823,0.0,0.0,0.0,0.0,0.0,160.71933173625823,0.0,13.289657991610337,0.0,2,540.0,3214.386634725164,3214.386634725164,3215.0653603165583,13.289657991610337,6.288657302681543,460.44131092841,460.44131092841,455.07357358665104,455.07357358665104,461.8049854432213,0.0,460.44131092841,321.14831484654786,294.5445292810499,402.96414611641785,-303.3823823911007,204.07660611274878,1.0,402.96414611641785,1.0,1000.1300066480749,739.5188810022561,34.643412668292626
0.09639544342789821,0.00420608366929176,0.795166369063954,18.4987990915403,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285,66.64248171090304,0.0,0.0,316.4539231780925,0.0,265.90205059748183,0.0,1.0,0.0005321804782872919,0.0005117697562669024,0.0,18.0,1.0,1.0,47.509396114588405,0.0,1.0,1.0,1.0,36.0,0.0,0.0,7.790714061629207,369.844113223141,1.9994678195217128,1.9994882302437331,6968.044763472966,1.0,3450.9968409100056,3443.7964616015397,0.0,0.0,1.0,0.0,0.0,-295.85228719794577,-327.2506660084409,31.398378810495103,0.0,0.0,0.0,0.0,7.913026769953534,7.747262672369827,12.28943123238828,12.063911182486695,40.013631857198334,479.3129601392675,470.8749621525006,950.1879222917681,0.027581719887570817,0.027046318614504933,0.027581719887570817,0.027046318614504933,0.0,316.4539231780925,177.28655268375454,164.36624318818647,2.7755575615628914e-17,164.36624318818647,1.0,384.6367275830383,0.0,43.60500375883914,44.43168906280953,40.964980859031215,43.18814939939708,43.60500375883914,44.43168906280953,40.964980859031215,43.18814939939708,172.18982308007696,0.0,0.0,0.0,0.0,0.0,172.18982308007696,0.0,5.466078099719832,0.0,3,720.0,3443.7964616015397,3443.7964616015397,3451.1699404005903,5.466078099719832,13.289657991610337,485.8771102443006,485.8771102443006,490.8759990126613,490.8759990126613,485.2673987147761,0.0,485.8771102443006,334.9891257105827,302.3073233962045,434.62642315983123,-327.2506660084409,31.398378810495103,1.0,434.62642315983123,1.0,1027.779936177775,868.9735151332961,40.581067391994196
0.08251788058931256,0.0044543831492007135,0.7175539110718635,22.194464035592965,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285,65.99272096633091,0.0,0.0,430.8223114742343,0.0,293.5155010889293,0.0,1.0,0.0005505506792062236,0.0005372112277719251,0.0,18.0,1.0,1.0,48.171054049327296,0.0,1.0,1.0,1.0,36.0,0.0,0.0,8.162724030023895,398.1254248291241,1.999449449320794,1.9994627887722283,7065.087927234669,1.0,3496.1682981053004,3169.6816981573766,0.0,0.0,1.0,0.0,0.0,12.403320833172984,-323.6028207594278,336.0061415926008,0.0,0.0,0.0,0.0,15.3703977199423,15.134529124145452,11.64281395946351,11.452449980285097,53.60019078383636,484.56294989085825,478.8581310956875,963.4210809865458,0.028054667602664434,0.02771220647463538,0.028054667602664434,0.02771220647463538,0.0,430.8223114742343,181.98948125453254,167.13531892274926,0.0,167.13531892274926,1.0,397.50525878746544,0.0,40.118431161278096,40.95189928723307,37.582736220708455,39.831018238649214,40.118431161278096,40.95189928723307,37.582736220708455,39.831018238649214,158.48408490786883,0.0,0.0,0.0,0.0,0.0,158.48408490786883,0.0,14.117312114600256,0.0,4,900.0,3169.6816981573766,3169.6816981573766,3175.165312835281,14.117312114600256,5.466078099719832,485.50355564297865,485.50355564297865,485.4042311391417,485.4042311391417,497.40575809853755,0.0,485.50355564297865,343.87547330071556,314.23300034098673,420.6289233337502,-323.6028207594278,336.0061415926008,1.0,420.6289233337502,1.0,1064.7282569389597,982.3185880835438,46.86508310426661
0.10505462383645467,0.004830889415750994,0.8947946140694706,25.377706217503487,0.0,1.0,0.0,0.0,0.0,79.98522223575063,0.0,0.0,543.0924891406985,0.0,281.17995404847375,0.0,1.0,0.0005548219689897173,0.0005490333162531854,0.0,18.0,1.0,1.0,48.67378011081135,0.0,1.0,1.0,1.0,36.0,2.0,0.0,8.529239380758057,374.73074671637016,1.9994451780310105,1.9994509666837468,7138.821082918997,1.0,3539.155551089094,3358.415519922657,0.0,0.0,1.0,0.0,0.0,-398.85306585126636,-333.5172344421432,65.33583140912316,0.0,0.0,0.0,0.0,8.121388015792983,8.039854813934113,12.856450966876388,12.768054189186387,41.78574798578987,487.5693804425274,485.9062217736994,973.4756022162268,0.028163626819884078,0.02801595935409544,0.028163626819884078,0.02801595935409544,0.0,543.0924891406985,183.61,160.34139903232995,0.0,160.34139903232995,1.0,394.67340000893347,0.0,37.158550921777405,43.26820733493207,42.33694444321939,45.15707329620401,37.158550921777405,43.26820733493207,42.33694444321939,45.15707329620401,167.92077599613287,0.0,0.0,0.0,0.0,0.0,167.92077599613287,0.0,6.53793515079734,0.0,5,1080.0,3358.415519922657,3358.415519922657,3365.075832354345,6.53793515079734,14.117312114600256,496.9366197368054,496.9366197368054,500.27585166321484,500.27585166321484,505.85752918693134,0.0,496.9366197368054,346.9375,304.2453459528025,442.6880313926146,-333.5172344421432,65.33583140912316,1.0,442.6880313926146,1.0,1056.2345681091228,1120.0143311132545,53.16045480206546
0.057335333689553736,0.004443668253516497,0.680626856582877,23.050428781663214,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285,83.04799405569932,0.0,0.0,660.2850282470326,0.0,296.81366872149016,0.0,1.0,0.0005561116392790444,0.0005541975923570863,0.0,18.0,1.0,1.0,48.55652132686917,0.0,1.0,1.0,1.0,36.0,9.0,0.0,8.589961248162231,396.16197879554016,1.999443888360721,1.9994458024076431,7121.623127940814,1.0,3516.570958347379,3125.3542830500946,0.0,0.0,1.0,0.0,0.0,39.61297403183926,-327.2700028856511,366.88297691749034,0.0,0.0,0.0,0.0,16.89901101145601,16.868342956560106,10.801123088034917,10.780800258722266,55.3492773147733,486.1018341038801,485.02859243350366,971.1304265373838,0.028196629046747697,0.028148010998360777,0.028196629046747697,0.028148010998360777,0.0,660.2850282470326,181.98948125453254,161.69073216448635,0.0,161.69073216448635,1.0,394.1813300939482,0.0,33.81397088719436,38.75177537984756,41.793837575095495,41.90813031036733,33.81397088719436,38.75177537984756,41.793837575095495,41.90813031036733,156.26771415250474,0.0,0.0,0.0,0.0,0.0,156.26771415250474,0.0,11.960953162778928,0.0,6,1260.0,3125.3542830500946,3125.3542830500946,3125.3542830500946,11.960953162778928,6.53793515079734,492.623965594261,492.623965594261,490.90500432847665,490.90500432847665,505.7910083032848,0.0,492.623965594261,343.87547330071556,311.15231776901277,428.58871579524686,-327.2700028856511,366.88297691749034,1.0,428.58871579524686,1.0,1056.8753620077173,1235.9569878969928,59.437181588962524
0.16207581270312155,0.004528488398838626,1.1021188632019705,40.53347516211546,0.0,1.0,0.0,0.0,0.0,88.34766209525114,0.0,0.0,760.3236480240138,0.0,282.91900261495505,0.0,1.0,0.00055559232775478,0.0005513624766050082,0.0,18.0,1.0,1.0,48.71109205332635,0.0,1.0,1.0,1.0,36.0,17.0,0.0,8.657516814732846,374.4600895038161,1.999444407672245,1.9994486375233949,7144.293501154531,1.0,3507.8660686147173,3375.4287328922155,0.0,0.0,1.0,0.0,0.0,-499.12618014082454,-339.51993508162064,159.6062450592039,0.0,0.0,0.0,0.0,8.227123610659218,8.20447845320671,14.193513952593799,14.145515816325569,44.77063183278529,488.09307433658677,486.12876672994025,974.221841066527,0.028183371319029173,0.028075791234594194,0.028183371319029173,0.028075791234594194,0.0,760.3236480240138,177.28655268375454,163.7894128802086,0.0,163.7894128802086,1.0,399.41639851085733,0.0,40.916012552889704,44.088317275460646,41.59836927349445,42.16873754276597,40.916012552889704,44.088317275460646,41.59836927349445,42.16873754276597,168.77143664461076,0.0,0.0,0.0,0.0,0.0,168.77143664461076,0.0,6.978929398376756,0.0,7,1440.0,3375.4287328922155,3375.4287328922155,3375.4287328922155,6.978929398376756,11.96095316277893,501.5251419062263,501.5251419062263,509.279902622431,509.279902622431,512.5293478694188,0.0,501.5251419062263,334.9891257105827,302.22319176337675,448.6098892869737,-339.51993508162064,159.6062450592039,1.0,448.6098892869737,1.0,1070.6577604141953,1350.1964520254912,65.12810544892889
0.23853156754575466,0.004522075953859339,1.2744798668950192,38.02003840804583,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285,70.15469500104636,0.0,0.0,857.9565457313223,0.0,292.06144740828285,0.0,1.0,0.0005527605061277856,0.0005440828105797034,0.0,18.0,1.0,1.0,48.24887360547399,0.0,1.0,1.0,1.0,36.0,9.0,0.0,8.41769111116433,388.99546989142624,1.9994472394938723,1.9994559171894204,7076.501462136187,1.0,3438.750140381399,3315.9568874746865,0.0,0.0,1.0,0.0,0.0,-355.7997082539132,-331.4807696943112,24.318938559601975,0.0,0.0,0.0,0.0,15.430598618066872,15.339128079682915,9.470889460128044,9.413571792795857,49.65418795067369,484.80392147819543,480.17355063128446,964.97747210948,0.028111634473186684,0.027889705880766318,0.028111634473186684,0.027889705880766318,0.0,857.9565457313223,169.96156970340377,168.88650757422403,0.0,168.88650757422403,1.0,406.7854553041219,0.0,40.58252806850626,40.69218469352858,42.243516177075335,42.27961543462416,40.58252806850626,40.69218469352858,42.243516177075335,42.27961543462416,165.79784437373434,0.0,0.0,0.0,0.0,0.0,165.79784437373434,0.0,10.067592598866446,0.0,8,1620.0,3315.9568874746865,3315.9568874746865,3315.9568874746865,10.067592598866446,6.9789293983767555,500.5177982043012,500.5177982043012,497.22115454146683,497.22115454146683,505.32548584285985,0.0,500.5177982043012,321.14831484654786,310.45477436652857,443.0816362751462,-331.4807696943112,24.318938559601975,1.0,443.0816362751462,1.0,1067.4625209074793,1428.62903893667,69.72581290688818
0.2877783654267998,0.004578093747391931,1.4023502608423646,52.1001276034318,0.0,1.0,0.0,0.0,0.0,85.41899383146027,0.0,0.0,937.3463742935024,0.0,288.0065464901127,0.0,1.0,0.0005443632639641081,0.0005240563103363874,0.0,18.0,1.0,1.0,47.66537189313901,0.0,1.0,1.0,1.0,36.0,1.0,0.0,7.928339788336638,335.45543451708005,1.9994556367360359,1.9994759436896636,6990.921210993719,1.0,3363.910618353124,3349.167442617721,0.0,0.0,1.0,0.0,0.0,-1072.0084887670846,-316.04159176211994,755.9668970049647,0.0,0.0,0.0,0.0,8.907646285212616,8.80385527421671,14.762066468356794,14.5382896091253,47.01185763691142,481.67100242807385,471.6364354347061,953.3074378627799,0.027896695998685564,0.02737009057747021,0.027896695998685564,0.02737009057747021,0.0,937.3463742935024,160.73155268375453,164.4515831253587,0.0,164.4515831253587,1.0,389.0558589554343,0.0,42.21840674423281,42.21840674423281,41.51077932121021,41.51077932121021,42.21840674423281,42.21840674423281,41.51077932121021,41.51077932121021,167.45837213088603,0.0,0.0,0.0,0.0,0.0,167.45837213088603,0.0,7.060803593339091,0.0,9,1800.0,3349.167442617721,3349.167442617721,3349.167442617721,7.060803593339091,10.067592598866446,465.5622567076898,465.5622567076898,474.06238764317993,474.06238764317993,494.28979414589116,0.0,465.5622567076898,303.70787571058264,263.9919937548099,409.5689737304485,-316.04159176211994,755.9668970049647,1.0,409.5689737304485,1.0,1008.0695088859725,1488.3276248326524,73.26433068321913
