computation_time_sec,coordination_iterations,leader_candidate_count,leader_objective,solver_converged,solver_evaluations,step
12.138074799997412,5.0,16.0,3100.770567075267,1.0,928.0,0
12.337901099999726,5.0,16.0,3890.8962723369877,1.0,928.0,1
12.394545899998775,6.0,16.0,4885.401439665636,1.0,1104.0,2
12.46389569999883,6.0,16.0,5528.6229538965035,1.0,1104.0,3
12.400102799998422,5.0,16.0,6215.245172695793,1.0,928.0,4
12.32224000000133,5.0,16.0,7003.978227661714,1.0,928.0,5
12.71612180000011,7.0,16.0,7791.84362338063,1.0,1280.0,6
12.68514569999752,6.0,16.0,8683.523492440654,1.0,1104.0,7
12.596284799998102,5.0,16.0,9512.667907745115,1.0,928.0,8
12.852605700001732,6.0,16.0,10470.687810400314,1.0,1104.0,9
12.736472600001434,7.0,16.0,11357.884751455686,1.0,1280.0,10
12.537534700000833,6.0,16.0,12388.514772141592,1.0,1104.0,11
12.622500100002071,5.0,16.0,13519.466577316825,1.0,928.0,12
12.212082800000644,6.0,16.0,14439.895467678634,1.0,1104.0,13
12.190741899998102,6.0,16.0,15627.136977172557,1.0,1104.0,14
12.287701999997807,6.0,16.0,16780.142278736574,1.0,1104.0,15
12.518268399999215,5.0,16.0,17620.646815243614,1.0,928.0,16
12.411178499998641,5.0,16.0,18825.71198757183,1.0,928.0,17
12.543857900000148,6.0,16.0,19474.123165707693,1.0,1104.0,18
12.560768600000301,5.0,16.0,20455.767716965496,1.0,928.0,19
12.6735477000002,5.0,16.0,21766.431114710183,1.0,928.0,20
12.666505299999699,6.0,16.0,22837.251856378043,1.0,1104.0,21
12.436279399997147,6.0,16.0,23754.39660754481,1.0,1104.0,22
12.422613499998988,5.0,16.0,25044.896599417116,1.0,928.0,23
12.447746599998936,7.0,16.0,25969.998971047928,1.0,1280.0,24
12.520710699998745,6.0,16.0,26913.10651331426,1.0,1104.0,25
12.484597799997573,5.0,16.0,28071.59499325011,1.0,928.0,26
12.633660700001201,5.0,16.0,29064.434789237523,1.0,928.0,27
12.86157269999967,5.0,16.0,30210.439060588727,1.0,928.0,28
12.562226800000644,6.0,16.0,31198.659989678294,1.0,1104.0,29
12.454709400000866,5.0,16.0,32190.833163705087,1.0,928.0,30
12.33481329999995,6.0,16.0,33080.195062629624,1.0,1104.0,31
12.145240599998942,5.0,16.0,34095.27779522421,1.0,928.0,32
12.317733500000031,6.0,16.0,34784.91357891704,1.0,1104.0,33
12.095444399998087,5.0,16.0,35589.0777546544,1.0,928.0,34
12.220291600002383,6.0,16.0,36453.526528955,1.0,1104.0,35
12.177556899998308,6.0,16.0,36976.351869186874,1.0,1104.0,36
12.454097500001808,5.0,16.0,37560.58489666473,1.0,928.0,37
12.272439800002758,6.0,16.0,38327.40606695503,1.0,1104.0,38
12.307330999999976,5.0,16.0,39030.661667053,1.0,928.0,39
