N_P_star,N_UF_star,freeway_ttt,offramp_accepted_veh,offramp_blocked_veh,onramp_approach_queue_veh,onramp_transfer_veh,ramp_queue_veh,step,urban_ttt
469.1529,4000.0,6.163541591163489,29.61834789808473,0.0,86.06912859797673,101.64337625595992,101.62524292262655,0,16.098885967381413
495.21695,4000.0,10.572849667400975,40.86695320855147,0.0,165.13495204939647,171.82721258510432,73.51644936373087,1,28.384192984367512
495.21695,5700.0,8.740450585127057,47.03925908185583,0.0,298.1766808326977,99.85255738844047,7.720715931485757,2,39.48310573364305
495.21695,4000.0,7.7382578630080365,43.00265594150896,0.0,421.74779510618845,125.77920040407358,35.70001249304823,3,49.65643217843039
469.1529,4000.0,8.62644340897302,46.13908742359129,0.0,537.0651989735162,162.34545116480732,42.81114768007692,4,59.68302954169369
469.1529,4000.0,9.987406011649686,47.61039243715717,0.0,620.7250808820294,182.52175636874057,61.596157955629465,5,67.33277030538734
495.21695,4000.0,9.667310816496865,47.60865399104097,0.0,748.7081224970572,114.94661307128415,29.61448379295863,6,77.0159084862471
469.1529,4596.086335761413,9.216934225614692,47.149914486019455,0.0,858.6532511361753,164.1773980483881,45.3357184708903,7,85.13905698203813
495.21695,6000.0,9.15928450125066,46.834675119423935,0.0,974.963428670447,154.13394621062042,31.307630401689984,8,92.56713431482099
469.1529,4000.0,8.779078432927328,46.623521148483825,0.0,1062.6894564630122,164.24537752761276,47.45677442758987,9,96.89409511863924
