N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_faithful_active,wu_faithful_np_bias_ratio,wu_faithful_np_cand_lambda,wu_faithful_np_cand_lambda_applied,wu_faithful_np_feasible_max,wu_faithful_np_feasible_min,wu_faithful_np_original_target,wu_faithful_np_pd_exit,wu_faithful_np_pd_iters,wu_faithful_np_pd_lam_entry,wu_faithful_np_pd_residual,wu_faithful_np_predictor_current_interval,wu_faithful_np_predictor_legacy,wu_faithful_np_predictor_mode_code,wu_faithful_np_predictor_phase_substep,wu_faithful_np_predictor_storage_aware,wu_faithful_np_projected_target,wu_faithful_np_projection_residual,wu_faithful_np_sum_nin,wu_faithful_np_target,wu_faithful_np_target_error
0.0,0.0,2.1505233999923803,0.0,0.0,0.0,406.0,24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1767.7335885438797,0.0,1767.7335885438797
0.0,0.0,2.1751041999668814,0.0,0.0,0.0,417.0,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1777.1373172638732,0.0,1777.1373172638732
0.0,0.0,2.306215799995698,0.0,0.0,0.0,405.0,26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1672.5140442922768,0.0,1672.5140442922768
0.0,0.0,2.2298719999962486,0.0,0.0,0.0,405.0,27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1489.9390955916726,0.0,1489.9390955916726
0.0,0.0,2.180205099983141,0.0,0.0,0.0,404.0,28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1244.6746253065776,0.0,1244.6746253065776
0.0,0.0,2.2337365000275895,0.0,0.0,0.0,420.0,29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1146.9167073394353,0.0,1146.9167073394353
0.0,0.0,2.1536845000227913,0.0,0.0,0.0,414.0,30,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,933.1714245809994,0.0,933.1714245809994
0.0,0.0,1.8616238000104204,0.0,0.0,0.0,376.0,31,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,830.6862509002463,0.0,830.6862509002463
0.0,0.0,1.959425899956841,0.0,0.0,0.0,362.0,32,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,744.0951532926222,0.0,744.0951532926222
0.0,0.0,1.9157312999595888,0.0,0.0,0.0,366.0,33,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,764.9920497185524,0.0,764.9920497185524
