B_in,B_out,CV_boundary,MaxMin_boundary,OverflowRatio_boundary,boundary_balance_controllable,boundary_balance_degenerate,boundary_empty_ratio,boundary_in_empty_ratio,boundary_in_load_veh,boundary_in_saturation_ratio,boundary_out_empty_ratio,boundary_out_load_veh,boundary_out_saturation_ratio,boundary_out_sink_veh,boundary_saturation_ratio,capacity_drop_active,capacity_drop_lane_loss_FW_E_last,capacity_drop_lane_loss_FW_W_last,coupling_aggregate_urban_model,coupling_freeway_substeps,coupling_movement_urban_model,coupling_nested_order_active,coupling_offramp_arrivals_accepted_veh,coupling_offramp_arrivals_rejected_veh,coupling_offramp_storage_active,coupling_onramp_sync_active,coupling_onramp_two_reservoir_active,coupling_urban_substeps,density_exceedance_count,density_projection_count,freeway_ttt,inbound_service_veh,lambda_eff_FW_E_last,lambda_eff_FW_W_last,mainline_exit_flow_total,mean_ramp_receiving_factor,mean_segment_flow,metering_over_release_flow,metering_shortfall_flow,metering_target_infeasible,movement_queue_model_active,movement_queue_projection_protected_veh,movement_queue_projection_veh,net_inflow,net_inflow_target,net_inflow_tracking_error,nuf_target_flow,offramp_blocked_flow_FW_E,offramp_blocked_flow_FW_W,offramp_blocked_flow_total,offramp_departures_OR_D_E_veh,offramp_departures_OR_D_W_veh,offramp_departures_OR_F_E_veh,offramp_departures_OR_F_W_veh,offramp_departures_veh,offramp_flow_FW_E,offramp_flow_FW_W,offramp_flow_total,offramp_occupancy_ratio_OR_D_E,offramp_occupancy_ratio_OR_D_W,offramp_occupancy_ratio_OR_F_E,offramp_occupancy_ratio_OR_F_W,offramp_storage_binding,onramp_approach_queue_veh,onramp_arrivals_veh,onramp_green_release_request_veh,onramp_green_release_shortfall_veh,onramp_green_releases_veh,onramp_two_reservoir_active,outbound_service_veh,queue_overflow_count,ramp_metering_release_actual_R_D_E_veh,ramp_metering_release_actual_R_D_W_veh,ramp_metering_release_actual_R_F_E_veh,ramp_metering_release_actual_R_F_W_veh,ramp_metering_release_request_R_D_E_veh,ramp_metering_release_request_R_D_W_veh,ramp_metering_release_request_R_F_E_veh,ramp_metering_release_request_R_F_W_veh,ramp_metering_release_request_veh,ramp_metering_release_shortfall_R_D_E_veh,ramp_metering_release_shortfall_R_D_W_veh,ramp_metering_release_shortfall_R_F_E_veh,ramp_metering_release_shortfall_R_F_W_veh,ramp_metering_release_shortfall_veh,ramp_metering_releases_veh,ramp_queue_overflow_count,ramp_queue_veh,speed_projection_count,step,time_sec,total_metering_error,total_metering_flow,total_no_meter_flow,total_ramp_queue_end_veh,total_ramp_queue_start_veh,total_ttt,urban_accumulation_abs_error_veh,urban_accumulation_error_veh,urban_accumulation_initial_error_veh,urban_accumulation_initial_veh,urban_accumulation_mean_veh,urban_accumulation_target_veh,urban_accumulation_veh,urban_demand_arrivals_veh,urban_gate_inflow_veh,urban_link_occupancy_veh,urban_net_inflow_target_veh_h,urban_net_inflow_tracking_error_veh_h,urban_storage_active,urban_storage_occupancy,urban_substep_active,urban_total_departures_veh,urban_total_vehicles_veh,urban_ttt
0.11053699942012646,0.0008454038838541789,1.234115049827187,21.55555555555555,0.0,1.0,0.0,0.0,0.0,70.31597222222223,0.0,0.0,26.42404513888889,0.0,37.46427504245161,0.0,1.0,6.560849021075565e-05,6.16154457462449e-05,0.0,18.0,1.0,1.0,41.13281024467865,0.0,1.0,1.0,1.0,36.0,0.0,0.0,6.245016087684557,392.5019034974737,1.9999343915097891,1.9999383845542538,6032.812169219537,1.0,3058.940609618671,3442.335069444444,0.0,0.0,1.0,0.0,0.0,3411.6827353425924,-202.44580322927462,3614.128538571867,0.0,0.0,0.0,0.0,9.727898596272311,9.493539263575684,9.727898596272311,9.493539263575684,38.44287571969599,416.37541686603794,406.2807880275352,822.6562048935731,0.004980235023578271,0.004826143012018017,0.004980235023578271,0.004826143012018017,0.0,26.42404513888889,150.5,176.25520833333331,0.0,176.25520833333331,1.0,221.91776673034406,0.0,43.32964409722223,40.55881076388888,45.49956597222221,42.728732638888886,43.32964409722223,40.55881076388888,45.49956597222221,42.728732638888886,172.1167534722222,0.0,0.0,0.0,0.0,0.0,172.1167534722222,0.0,4.1384548611111125,0.0,0,180.0,3442.335069444444,3442.335069444444,3442.335069444444,4.1384548611111125,0.0,20.87144942524644,302.85837498280097,302.85837498280097,303.66870484391194,303.66870484391194,195.07647008842903,0.0,302.85837498280097,284.37500000000006,327.9131944444444,271.8305972050231,-202.44580322927462,3614.128538571867,1.0,271.8305972050231,1.0,662.8335307081618,399.598392343912,14.626433337561883
0.1793556807156768,0.0010761482467974148,0.9165855464917617,14.554986717509612,0.0,1.0,0.0,0.0,0.0,40.43284986058493,0.0,0.0,41.1597722881039,0.0,161.40314694975066,0.0,1.0,0.00022353489505345781,0.0002121632799020211,0.0,18.0,1.0,1.0,48.43997973470043,0.0,1.0,1.0,1.0,36.0,25.0,0.0,8.781349628396667,365.5686866370535,1.9997764651049463,1.9997878367200979,7104.530361089397,0.9924312510190476,3454.05418574698,4572.346409404532,0.0,0.0,1.0,0.0,0.0,-433.22500157056766,-293.7288515196054,139.49615005096223,0.0,0.0,0.0,0.0,8.108929656192986,7.879914626223803,8.108929656192986,7.879914626223803,31.977688564833578,489.82701538618323,478.97257930782536,968.7995946940086,0.013143867805415991,0.012798245998204722,0.013143867805415991,0.012798245998204722,0.0,41.1597722881039,160.73155268375453,229.83396946156512,0.0,229.83396946156512,1.0,387.22993671558186,0.0,57.19346769680227,53.50509608731454,60.80356414779878,57.11519253831106,57.19346769680227,53.50509608731454,60.80356414779878,57.11519253831106,228.61732047022664,0.0,0.0,0.0,0.0,0.0,228.61732047022664,0.0,5.3551038524495915,0.0,1,360.0,4572.346409404532,4572.346409404532,4572.346409404532,5.3551038524495915,4.1384548611111125,31.947086221024975,439.49567089351154,439.49567089351154,440.59327727940814,440.59327727940814,399.7746001121594,0.0,439.49567089351154,303.70787571058264,299.65285023239926,401.6956220190454,-293.7288515196054,139.49615005096223,1.0,401.6956220190454,1.0,1003.90232857061,521.0882930422005,23.16573659262831
0.10469662130333743,0.0011166769681457689,0.7097646275459073,19.119204717479562,0.0,1.0,0.0,0.0,0.0,67.61798203961669,0.0,0.0,39.50449617207233,0.0,273.29204294499885,0.0,1.0,0.00010325125926377885,0.00011414790512666152,0.0,18.0,1.0,1.0,46.36905215840561,0.0,1.0,1.0,1.0,36.0,70.0,0.0,11.904047582378604,357.1432801635241,1.999896748740736,1.9998858520948732,6800.7943165661545,0.9208154242705775,3381.0720990174364,5027.371461244088,0.0,0.0,1.0,0.0,0.0,-2066.989346920481,-289.5233837986228,1777.465963121858,0.0,0.0,0.0,0.0,15.39501089689779,16.19503785110624,15.39501089689779,16.19503785110624,63.18009749600806,443.53179538129893,483.84924778681307,927.381043168112,0.006341819608633264,0.0066518782871633955,0.006341819608633264,0.0066518782871633955,0.0,39.50449617207233,169.96156970340377,252.32661212885367,0.0,252.32661212885367,1.0,460.4927475095481,0.0,63.07463086915436,59.37533600613273,65.78192367811178,63.13668250880556,63.07463086915436,59.37533600613273,65.78192367811178,63.13668250880556,251.36857306220443,0.0,0.0,0.0,0.0,0.0,251.36857306220443,0.0,6.313142919098818,0.0,2,540.0,5027.371461244088,5027.371461244088,5027.371461244088,6.313142919098818,5.3551038524495915,38.47051452209283,426.32724165218906,426.32724165218906,434.2850756979342,434.2850756979342,456.58843670611964,0.0,426.32724165218906,321.14831484654786,275.7294871359355,344.1535954988059,-289.5233837986228,1777.465963121858,1.0,344.1535954988059,1.0,1061.999929707525,533.449719863878,26.56646693971422
0.1770794796716187,0.003837084284797343,0.9542849524930443,16.054118661954057,0.0,1.0,0.0,0.0,0.0,44.897861575433026,0.0,0.0,48.701135404186424,0.0,252.39840217351932,0.0,1.0,6.413792878368074e-05,0.0001420180923387878,0.0,18.0,1.0,1.0,29.244969084500923,0.0,1.0,1.0,1.0,36.0,97.0,0.0,20.591975155526015,380.82276841268515,1.9999358620712162,1.9998579819076612,4289.262132393469,0.7263450341335174,2260.0064232751374,5287.042285634859,0.0,0.0,1.0,0.0,0.0,-2292.0692302089756,-307.8096337850047,1984.2595964239708,0.0,0.0,0.0,0.0,4.6638967720714675,6.892864346887942,4.6638967720714675,6.892864346887942,23.11352223791882,220.20067568840966,364.69870600160885,584.8993816900186,0.0066772408757158706,0.010403298292985641,0.0066772408757158706,0.010403298292985641,0.0,48.701135404186424,177.28655268375454,267.0451838337376,0.0,267.0451838337376,1.0,495.4262299231339,0.0,66.31349696177213,62.97534988905321,68.53197758279927,66.53128984811832,66.31349696177213,62.97534988905321,68.53197758279927,66.53128984811832,264.35211428174296,0.0,0.0,0.0,0.0,0.0,264.35211428174296,0.0,9.00621247109349,18.0,3,720.0,5287.042285634859,5287.042285634859,5287.042285634859,9.00621247109349,6.313142919098818,47.6232059016597,463.2372879682235,463.2372879682235,461.714450677507,461.714450677507,463.70333997177306,0.0,463.2372879682235,334.9891257105827,320.06310473582204,423.69667295558827,-307.8096337850047,1984.2595964239708,1.0,423.69667295558827,1.0,1147.8267248549037,556.836284947843,27.031230746133687
0.10408964687189382,0.01379360922187095,0.7145132369189109,20.499761656545303,0.0,1.0,0.0,0.0,0.0,72.62810958832233,0.0,0.0,50.24226234734188,0.0,286.0380268250576,0.0,1.0,1.1053955145680207e-05,9.463994807439806e-06,0.0,18.0,1.0,1.0,15.594172097394383,0.0,1.0,1.0,1.0,36.0,108.0,0.0,37.519760108121936,339.30015457352624,1.999988946044854,1.9999905360051926,2287.1452409511758,0.39127352833895,1608.0586584825917,4502.853732685732,0.0,0.0,1.0,0.0,0.0,-2677.4486049902416,-285.69563199477915,2391.7529729954626,0.0,0.0,0.0,0.0,5.0113995604913555,6.566065082358634,5.0113995604913555,6.566065082358634,23.15492928569998,156.54360072492295,155.33984122296465,311.8834419478876,0.0020454648456173243,0.0019484074392508498,0.0020454648456173243,0.0019484074392508498,0.0,50.24226234734188,181.98948125453254,266.19553620079836,0.0,266.19553620079836,1.0,473.17258482303833,0.0,47.841082208233075,62.92007795745608,48.69961011376806,65.68191635482943,47.841082208233075,62.92007795745608,48.69961011376806,65.68191635482943,225.14268663428663,0.0,0.0,0.0,0.0,0.0,225.14268663428663,0.0,50.059062037605166,62.0,4,900.0,4502.853732685732,4502.853732685732,4502.853732685733,50.059062037605166,9.00621247109349,64.92400262383285,423.31128336830824,423.31128336830824,428.54344799216875,428.54344799216875,459.6422228568665,0.0,423.31128336830824,343.87547330071556,296.62115995390286,336.12495938584084,-285.69563199477915,2391.7529729954626,1.0,336.12495938584084,1.0,1069.4888389385935,546.1816553039724,27.40424251571092
0.17616063020555756,0.017564926933389013,1.0370142478598923,16.626736111111107,0.0,1.0,0.0,0.0,0.0,46.61848958333334,0.0,0.0,61.28200322081771,0.0,245.37055033570206,0.0,1.0,3.6867422322759166e-05,2.7566783768263727e-05,0.0,18.0,1.0,1.0,18.717657824706745,0.0,1.0,1.0,1.0,36.0,108.0,0.0,56.54584764508407,384.8784152154274,1.9999631325776772,1.9999724332162319,2745.2564809569903,0.10116591405090226,1874.6635224207453,1600.1535689675877,0.0,0.0,1.0,0.0,0.0,-2385.851154931561,-308.9527582016785,2076.8983967298823,0.0,0.0,0.0,0.0,3.2076304533083686,2.758017151910849,3.2076304533083686,2.758017151910849,11.931295210438435,199.13636761138946,175.21678888274553,374.35315649413496,0.005310076644304243,0.004564301556974825,0.005310076644304243,0.004564301556974825,0.0,61.28200322081771,183.61,276.1741910946138,0.0,276.1741910946138,1.0,504.17097296200546,0.0,8.07727709586515,31.464035732153327,8.07727709586515,32.389088524495754,8.07727709586515,31.464035732153327,8.07727709586515,32.389088524495754,80.00767844837938,0.0,0.0,0.0,0.0,0.0,80.00767844837938,0.0,246.2255746838394,64.0,5,1080.0,1600.1535689675877,1600.1535689675877,1600.1535689675877,246.2255746838394,50.059062037605166,84.07463895261901,465.79458712596823,465.79458712596823,463.42913730251774,463.42913730251774,458.81531058783213,0.0,465.79458712596823,346.9375,333.6382123380273,432.6983814787453,-308.9527582016785,2076.8983967298823,1.0,432.6983814787453,1.0,1157.336614736759,573.6950799301194,27.52879130753493
0.10408964687189382,0.033459522929531804,0.6983210163832387,20.499761656545303,0.0,1.0,0.0,0.0,0.0,72.62810958832233,0.0,0.0,63.494577510398955,0.0,286.9262365441106,0.0,1.0,2.2304774920057903e-05,2.0265465104042492e-05,0.0,18.0,1.0,1.0,21.19667718143829,0.0,1.0,1.0,1.0,36.0,108.0,0.0,73.9088839875881,345.5522386121951,1.99997769522508,1.9999797345348957,3108.8459866109497,0.008371350566818779,1992.1974079666495,133.94160906910048,0.0,0.0,1.0,0.0,0.0,-2517.6969826987797,-290.0203175944693,2227.6766651043104,0.0,0.0,0.0,0.0,7.181250233644079,6.661942424590194,7.181250233644079,6.661942424590194,27.686385316468545,218.66410603345486,205.26943759531105,423.93354362876585,0.002928201446325626,0.00279050230601117,0.002928201446325626,0.00279050230601117,0.0,63.494577510398955,181.98948125453254,267.1423154144972,0.0,267.1423154144972,1.0,471.4370877471341,0.0,0.0,3.348540226727512,0.0,3.348540226727512,0.0,3.348540226727512,0.0,3.348540226727512,6.697080453455024,0.0,0.0,0.0,0.0,0.0,6.697080453455024,0.0,506.67080964488184,72.0,6,1260.0,133.94160906910048,133.94160906910048,133.94160906910048,506.67080964488184,246.2255746838394,102.21805846028086,430.47580989848683,430.47580989848683,435.030476391704,435.030476391704,464.5678679233758,0.0,430.47580989848683,343.87547330071556,298.34178796180316,338.4907704140487,-290.0203175944693,2227.6766651043104,1.0,338.4907704140487,1.0,1076.0972536496324,566.598496997208,28.309174472692764
0.10183142784111682,0.10438778834429657,0.8309978621367676,16.054118661954057,0.0,1.0,0.0,0.0,0.0,54.407626133151034,0.0,0.0,146.74661856495948,0.0,249.1428419795381,0.0,1.0,4.966376142752823e-05,4.446804707611582e-05,0.0,18.0,1.0,1.0,22.445702254696002,0.0,1.0,1.0,1.0,36.0,108.0,0.0,89.00724329801514,368.02026408096526,1.9999503362385722,1.9999555319529239,3292.0363306887466,0.0,2040.329574034541,0.0,0.0,0.0,1.0,0.0,0.0,-1012.2538241060847,-307.9323867301213,704.3214373759633,0.0,0.0,0.0,0.0,3.8026803510821594,3.6026471065234773,3.8026803510821594,3.6026471065234773,14.810654915211273,230.42034403340676,218.49370106051322,448.91404509392,0.0061743816367224435,0.005844268840672687,0.0061743816367224435,0.005844268840672687,0.0,146.74661856495948,177.28655268375454,311.5875143636035,124.74767291482723,186.83984144877624,1.0,418.6329552862695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.5106510936582,80.0,7,1440.0,0.0,0.0,0.0,693.5106510936582,506.6708096448818,118.66575176335894,464.1200199553532,464.1200199553532,461.89858009518196,461.89858009518196,463.1141350651265,0.0,464.1200199553532,334.9891257105827,324.4280473833563,429.7877319972582,-307.9323867301213,704.3214373759633,1.0,429.7877319972582,1.0,1068.2907710420984,665.2742646534637,29.658508465343807
0.1250345729296773,0.03410670084180567,0.9197655399502581,33.43840992485945,0.0,1.0,0.0,0.0,0.0,95.36144212891523,0.0,0.0,356.1270570650131,0.0,286.3763483771398,0.0,1.0,2.6929825748552478e-05,2.406252355675104e-05,0.0,18.0,1.0,1.0,23.243097868888366,0.0,1.0,1.0,1.0,36.0,108.0,0.0,95.63953252234137,310.97320228346945,1.9999730701742513,1.9999759374764432,3408.987687436961,0.0,2067.600467354499,0.0,0.0,0.0,1.0,0.0,0.0,1632.9528236995066,-280.24475210889716,1913.1975758084036,0.0,0.0,0.0,0.0,7.90262030715725,7.48673140918568,7.90262030715725,7.48673140918568,30.77870343268586,238.78001800164216,226.0819393761252,464.8619573777674,0.0032158933231454657,0.003039740421831651,0.0032158933231454657,0.003039740421831651,0.0,356.1270570650131,169.96156970340377,348.32500359895687,321.83565469261526,26.489348906341622,1.0,229.32556109849412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,78.0,8,1620.0,0.0,0.0,0.0,720.0,693.5106510936582,133.6104759515365,415.23653838367295,415.23653838367295,420.36712816334574,420.36712816334574,455.37005815697853,0.0,415.23653838367295,321.14831484654786,280.19449885078365,325.06078449635254,-280.24475210889716,1913.1975758084036,1.0,325.06078449635254,1.0,814.351478060801,866.7250375776013,37.970943429195124
0.0803941255369906,0.014849003407548245,1.0973547109469846,32.60623906093143,0.0,1.0,0.0,0.0,0.0,103.1583888888278,0.0,0.0,577.319115289722,0.0,241.57651943919106,0.0,1.0,5.6395824953228394e-05,5.08272406895364e-05,0.0,18.0,1.0,1.0,23.820747678484775,0.0,1.0,1.0,1.0,36.0,108.0,0.0,97.05128140901697,311.72434229842344,1.9999436041750467,1.9999491727593106,3493.709659511103,0.0,2046.2058558942854,0.0,0.0,0.0,1.0,0.0,0.0,1804.0539187330724,-287.3791359985926,2091.433054731665,0.0,0.0,0.0,0.0,4.0560953101430215,3.8506113637336625,4.0560953101430215,3.8506113637336625,15.813413347753368,244.3759440068216,232.0390095628742,476.41495356969585,0.006585019643559735,0.006251064903709319,0.006585019643559735,0.006251064903709319,0.0,577.319115289722,160.73155268375453,435.55555555555554,435.55555555555554,0.0,1.0,221.52164636176983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,95.0,9,1800.0,0.0,0.0,0.0,720.0,720.0,146.67434519084972,432.9044119432776,432.9044119432776,431.06870399788886,431.06870399788886,439.8158876354881,0.0,432.9044119432776,303.70787571058264,295.9109289506701,398.8792181252276,-287.3791359985926,2091.433054731665,1.0,398.8792181252276,1.0,823.5780762492966,1113.3819161218273,49.623063781832755
