computation_time_sec,controller_id,solver_converged_rate,solver_evaluations
0.01,WU-CD-F,1.0,1640.0
60.78,WU-MATCHED-STACKELBERG,1.0,15840.0
551.5,WU-CC-F,0.95,3200.0
23.46,PROPOSED-FOLLOWERS-ONLY,1.0,1716.0
500.81,PROPOSED-STACKELBERG,1.0,39760.0
519.48,PROPOSED-CENTRALIZED,0.975,3200.0
